Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L1_p170101_tr100_type_pulpo;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr101_speak_iglesia;iglesia;1488.000;584.000;;;;;;
recording_V1L1_p170101_tr103_type_columna;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr104_speak_muñeca;muñeca;680.000;504.000;;;;;;
recording_V1L1_p170101_tr105_speak_muñeca;muñeca;662.540;499.404;;;;;;
recording_V1L1_p170101_tr106_type_pierna;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr107_speak_traje;traje;978.339;463.974;;;;;;
recording_V1L1_p170101_tr108_speak_traje;traje;650.689;425.517;;;;;;
recording_V1L1_p170101_tr109_type_tenedor;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr10_type_traje;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr110_speak_pulpo;pulpo;848.000;464.000;;;;;;
recording_V1L1_p170101_tr111_speak_cazador;cazador;1086.269;721.731;;;;tongue;;
recording_V1L1_p170101_tr112_type_cazador;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr113_type_taza;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr114_type_fresa;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr115_speak_fresa;fresa;980.200;460.873;;;;;;
recording_V1L1_p170101_tr116_speak_puente;puente;949.806;462.734;;;;;;
recording_V1L1_p170101_tr117_type_puente;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr118_speak_baño;baño;1240.000;395.843;;;;;;
recording_V1L1_p170101_tr119_type_espalda;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr11_speak_camisa;camisa;891.499;496.229;;;;sounds like swallowing before speaking;;
recording_V1L1_p170101_tr120_type_espalda;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr121_speak_bombero;bombero;867.928;511.116;;;;tongue;;
recording_V1L1_p170101_tr122_type_pavo;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr123_type_pavo;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr124_speak_vaca;vaca;1104.000;412.127;;;;;;
recording_V1L1_p170101_tr125_type_regalo;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr126_type_vaso;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr127_speak_vaso;vaso;1294.685;377.134;;;;;;
recording_V1L1_p170101_tr128_type_camisa;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr129_type_granja;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr12_type_muñeca;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr130_type_granja;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr131_speak_muñeca;muñeca;917.551;522.449;;;;;;
recording_V1L1_p170101_tr132_type_mano;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr133_type_mano;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr134_type_pintor;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr135_speak_pintor;pintor;856.000;466.598;;;;;;
recording_V1L1_p170101_tr136_speak_traje;traje;1069.521;466.479;;;;;;
recording_V1L1_p170101_tr137_speak_cerdo;cerdo;980.200;506.154;;;;;;
recording_V1L1_p170101_tr138_type_cerdo;[type];0;3000.000;;;;;;
recording_V1L1_p170101_tr139_type_caracol;[type];0;3000.000;;;;;;
