image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l1.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
REPSWITCH1/PICTURE_135.png;traje;speak;gold;nontarget;2;NT;1;1;1;1;Stim3_Set1;0;None;9;8;9;0;8;8;8;;;;;;;;;;;;;;;;;;;;;;;62.5805378;63.6848488;63.6848488;63.6848488;63.6848488;63.6848488;63.6848488;63.6848488;63.6848488;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.48.082.wav;66.713005;67.2131167;None;66.713005;66.713005;66.713005;66.713005;66.713005;66.713005;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_135.png;traje;type;darkblue;switch;1;T;1;1;1;1;Stim3_Set1;0;None;10;9;10;0;9;9;9;;;;;;;;;;;;;;;;;;;;;;;67.2131167;68.275694;68.275694;68.275694;68.275694;68.275694;68.275694;68.275694;68.275694;['t', 'r', 'a', 'j', 'e'];0;[1.2480166000023019, 1.4064944000274409, 1.590841300028842, 1.8154232000233606, 1.933024000027217];traje;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.52.671.wav;71.296913;71.7969784;None;71.296913;71.296913;71.296913;71.296913;71.296913;71.296913;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_687.png;camisa;speak;gold;filler;2;F;1;1;1;1;Stim5_Set4;0;None;11;10;11;0;10;10;10;;;;;;;;;;;;;;;;;;;;;;;71.7969784;72.9360452;72.9360452;72.9360452;72.9360452;72.9360452;72.9360452;72.9360452;72.9360452;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.57.334.wav;75.9641861;76.464239;None;75.9641861;75.9641861;75.9641861;75.9641861;75.9641861;75.9641861;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_128.png;muñeca;type;darkblue;nontarget;1;NT;1;1;1;1;Stim4_Set1;1;switch;12;11;12;0;11;11;11;;;;;;;;;;;;;;;;;;;;;;;76.464239;77.5824444;77.5824444;77.5824444;77.5824444;77.5824444;77.5824444;77.5824444;77.5824444;['m', 'u', 'n', 'e', 'c', 'a'];0;[1.039519800018752, 1.2557876000064425, 1.5528557000216097, 1.748435600020457, 2.343440800003009, 2.43051900001592];muneca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.01.979.wav;80.610707;;None;80.610707;80.610707;80.610707;80.610707;80.610707;80.610707;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_128.png;muñeca;speak;gold;switch;2;T;1;1;1;1;Stim4_Set1;0;None;13;12;13;0;12;12;12;;;;;;;;;;;;;;;;;;;;;;;81.1107742;82.2150251;82.2150251;82.2150251;82.2150251;82.2150251;82.2150251;82.2150251;82.2150251;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.06.612.wav;85.2362163;85.7363477;None;85.2362163;85.2362163;85.2362163;85.2362163;85.2362163;85.2362163;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_8.png;pierna;speak;gold;filler;2;F;1;1;1;1;Stim3_Set4;0;None;14;13;14;0;13;13;13;;;;;;;;;;;;;;;;;;;;;;;85.7363477;86.8475547;86.8475547;86.8475547;86.8475547;86.8475547;86.8475547;86.8475547;86.8475547;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.11.244.wav;89.8757579;;None;89.8757579;89.8757579;89.8757579;89.8757579;89.8757579;89.8757579;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;nontarget;2;NT;1;1;1;1;Stim5_Set1;0;None;15;14;15;0;14;14;14;;;;;;;;;;;;;;;;;;;;;;;90.3757946;91.4593127;91.4593127;91.4593127;91.4593127;91.4593127;91.4593127;91.4593127;91.4593127;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.15.857.wav;94.4874238;94.9874908;None;94.4874238;94.4874238;94.4874238;94.4874238;94.4874238;94.4874238;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_19.png;pavo;type;darkblue;switch;1;T;1;1;1;1;Stim5_Set1;0;None;16;15;16;0;15;15;15;;;;;;;;;;;;;;;;;;;;;;;94.9874908;96.1682028;96.1682028;96.1682028;96.1682028;96.1682028;96.1682028;96.1682028;96.1682028;['p', 'a', 'v', 'o'];0;[0.9589226999960374, 1.0675898999907076, 1.302794699993683, 1.4672124999924563];pavo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.20.564.wav;99.1964338;;None;99.1964338;99.1964338;99.1964338;99.1964338;99.1964338;99.1964338;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_16.png;cazador;type;darkblue;nontarget;1;NT;1;1;1;1;Stim6_Set1;1;switch;17;16;17;0;16;16;16;;;;;;;;;;;;;;;;;;;;;;;99.6964343;100.8354882;100.8354882;100.8354882;100.8354882;100.8354882;100.8354882;100.8354882;100.8354882;['c', 'a', 'z', 'a', 'd', 'o', 'r'];0;[1.4858970000059344, 1.6078211000130977, 1.8709146000037435, 1.9722669000038877, 2.2066914000024553, 2.403036100004101, 2.589416100003291];cazador;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.25.232.wav;103.8636736;104.3637245;None;103.8636736;103.8636736;103.8636736;103.8636736;103.8636736;103.8636736;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
REPSWITCH1/PICTURE_16.png;cazador;type;darkblue;repeat;1;T;1;1;1;1;Stim6_Set1;0;None;18;17;18;0;17;17;17;;;;;;;;;;;;;;;;;;;;;;;104.3637245;105.4403376;105.4403376;105.4403376;105.4403376;105.4403376;105.4403376;105.4403376;105.4403376;['c', 'a', 'z', 'a', 'd', 'o', 'r'];0;[1.021748099999968, 1.192201700003352, 1.3795816999918316, 1.485860999993747, 1.7605604999989737, 1.8861129000142682, 2.02367699999013];cazador;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h56.29.836.wav;108.4684773;;None;108.4684773;108.4684773;108.4684773;108.4684773;108.4684773;108.4684773;;;;;;10101;1;2023-11-10_13h54.48.695;REPSWITCH1_version1_list1;2022.2.4;143.9951157;
