Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
21;20;REPSWITCH1/PICTURE_169.png;espalda;type;['s', 'p', 'a', 'l'];1.362.453.198.991.710;25.301.762.986.928.200;2.722.607.798.874.370;2.8345748987048864];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;spal;darkblue;nontarget;1;NT;1;Stim8_Set1;1,42E+16;3,61E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.52.201.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.362453198991716, 2.5301762986928225, 2.722607798874378, 2.8345748987048864]
23;22;REPSWITCH1/PICTURE_48.png;bombero;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];1.505.966.898.985.200;15.859.691.994.264.700;17.772.952.988.743.700;2.001.286.598.853.760;22.252.920.996.397.700;23.695.810.995.996;2.466578599065542];NA;NA;NA;NA;NA;NA;NA;NA;;;bombero;darkblue;filler;1;F;1;Stim7_Set4;1,51E+15;3,82E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.01.529.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.505966898985207, 1.5859691994264722, 1.7772952988743782, 2.001286598853767, 2.2252920996397734, 2.3695810995996, 2.466578599065542]
24;23;REPSWITCH1/PICTURE_728.png;pulpo;type;['p', 'u', 'l', 'p', 'o'];16.240.207.990.631.400;2.087.954.799.644.640;23.278.881.991.282.100;2.583.849.499.002.090;2.7603660989552736];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pulpo;darkblue;filler;1;F;1;Stim8_Set4;1,56E+16;3,79E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.06.269.wav;1,59E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.6240207990631461, 2.087954799644649, 2.3278881991282105, 2.583849499002099, 2.7603660989552736]
26;25;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'n', 'backspace', 'i', 'n', 't', 'o'];12.664.624.992.758.000;16.504.226.988.181.400;2.163.106.099.702.410;24.506.176.989.525.500;2.594.320.999.458.430;27.387.392.995.879.000;2.8347353991121054];NA;NA;NA;NA;NA;NA;NA;NA;;;pinto;darkblue;nontarget;1;NT;2;Stim1_Set2;1,65E+16;3,78E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.15.506.wav;1,68E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2664624992758036, 1.6504226988181472, 2.163106099702418, 2.4506176989525557, 2.594320999458432, 2.7387392995879054, 2.8347353991121054]
27;26;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'i', 'n', 't', 'o', 'r'];14.108.200.995.251.500;1.634.807.899.594.300;17.788.071.995.601.000;19.548.038.002.103.500;20.835.910.998.284.800;2.7868483001366258];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pintor;darkblue;repeat;1;T;2;Stim1_Set2;1,70E+16;1,41E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.20.133.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.4108200995251536, 1.634807899594307, 1.7788071995601058, 1.9548038002103567, 2.0835910998284817, 2.7868483001366258]
29;28;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];12.843.643.995.001.900;1.524.232.399.649.910;1.747.770.399.786.530;19.399.044.001.474.900;2.163.906.999.863.680;2.227.899.800.054.720;2.403891899622977];NA;NA;NA;NA;NA;NA;NA;NA;;;caracol;darkblue;nontarget;1;NT;2;Stim2_Set2;1,79E+16;4,47E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.29.352.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2843643995001912, 1.524232399649918, 1.747770399786532, 1.9399044001474977, 2.163906999863684, 2.227899800054729, 2.403891899622977]
30;29;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];0.7315365988761187;0.922970999032259;11.315.721.990.540.600;13.229.380.995.035.100;15.149.483.988.061.500;15.950.096.994.638.400;1.7869089990854263];NA;NA;NA;NA;NA;NA;NA;NA;;;caracol;darkblue;repeat;1;T;2;Stim2_Set2;1,83E+15;1,49E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.33.944.wav;1,86E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.7315365988761187, 0.922970999032259, 1.1315721990540624, 1.3229380995035172, 1.5149483988061547, 1.5950096994638443, 1.7869089990854263]
31;30;REPSWITCH1/PICTURE_264.png;mano;type;['m', 'a', 'n', 'o'];0.8672851994633675;0.9633006993681192;10.599.804.995.581.500;1.2195034995675087];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;mano;darkblue;nontarget;1;NT;2;Stim3_Set2;1,88E+15;4,29E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.38.531.wav;1,91E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8672851994633675, 0.9633006993681192, 1.0599804995581508, 1.2195034995675087]
34;33;REPSWITCH1/PICTURE_517.png;cuerda;type;['c', 'u', 'e', 'r', 'd', 'a'];1.005.949.699.319.890;1.133.937.600.068.740;12.779.105.994.850.300;14.379.755.994.305.000;15.983.133.995.905.500;1.790515199303627];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;cuerda;darkblue;switch;1;T;2;Stim4_Set2;2,02E+16;1,46E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.52.603.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.005949699319899, 1.133937600068748, 1.2779105994850397, 1.4379755994305015, 1.5983133995905519, 1.790515199303627]
36;35;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];11.866.432.996.466.700;13.630.756.996.572.000;1.538.711.099.885.400;1.683.042.399.585.240;1.938.994.700.089.090;2.018984599970281];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;granja;darkblue;nontarget;1;NT;2;Stim5_Set2;2,11E+15;4,34E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.01.860.wav;2,14E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1866432996466756, 1.3630756996572018, 1.538711099885404, 1.683042399585247, 1.938994700089097, 2.018984599970281]
38;37;REPSWITCH1/PICTURE_128.png;muñeca;type;['m', 'u', 'ñ', 'e', 'c', 'a'];10.744.558.991.864.300;1.299.023.998.901.240;20.187.016.995.623.700;2.242.454.999.126.490;24.348.586.993.291.900;2.642226099036634];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;muñeca;darkblue;filler;1;F;2;Stim4_Set1;2,21E+15;1,37E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.11.173.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0744558991864324, 1.299023998901248, 2.0187016995623708, 2.242454999126494, 2.4348586993291974, 2.642226099036634]
39;38;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];10.554.990.991.950.000;11.675.284.998.491.400;13.912.592.995.911.800;1.4713263995945454];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pavo;darkblue;filler;1;F;2;Stim5_Set1;2,25E+16;1,75E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.15.796.wav;2,28E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0554990991950035, 1.1675284998491406, 1.3912592995911837, 1.4713263995945454]
42;41;REPSWITCH1/PICTURE_16.png;cazador;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];102.954.759.914.428;12.380.499.988.794.300;1.414.049.499.668.180;15.734.808.994.457.100;1.749.805.899.336.930;1.862.093.299.627.300;1.9580996995791793];NA;NA;NA;NA;NA;NA;NA;NA;;;cazador;darkblue;filler;1;F;2;Stim6_Set1;2,39E+16;1,51E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.29.693.wav;2,42E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.02954759914428, 1.2380499988794327, 1.414049499668181, 1.5734808994457126, 1.749805899336934, 1.862093299627304, 1.9580996995791793]
46;45;REPSWITCH1/PICTURE_169.png;espalda;type;['e', 's', 'p', 'a', 'l', 'a', 'backspace', 'd'];13.746.565.990.149.900;1.534.554.598.852.990;16.783.065.991.476.100;18.549.901.992.082.500;1.966.987.798.921.760;20.469.865.994.527.900;28.782.914.988.696.500;2.9422968989238143];NA;NA;NA;NA;NA;NA;NA;;;espald;darkblue;filler;1;F;2;Stim8_Set1;2,58E+15;1,27E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.48.337.wav;2,61E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3746565990149975, 1.534554598852992, 1.6783065991476178, 1.8549901992082596, 1.966987798921764, 2.0469865994527936, 2.8782914988696575, 2.9422968989238143]
48;47;REPSWITCH1/PICTURE_199.png;falda;type;['f', 'a', 'l', 'd', 'a'];0.98223099950701;11.582.228.988.409.000;1.254.225.199.110.800;13.819.177.988.916.600;1.5419177990406752];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;falda;darkblue;switch;1;T;2;Stim8_Set2;2,67E+15;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.57.564.wav;2,70E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.98223099950701, 1.1582228988409042, 1.254225199110806, 1.3819177988916636, 1.5419177990406752]
49;48;REPSWITCH1/PICTURE_576.png;guante;type;['g', 'u', 'a', 'n', 't', 'e'];1.241.694.999.858.730;13.385.840.002.447.300;14.665.455.995.127.500;16.098.531.996.831.200;1.770.304.299.890.990;1.945911199785769];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;guante;darkblue;nontarget;1;NT;3;Stim1_Set3;2,72E+16;3,72E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.02.209.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.241694999858737, 1.3385840002447367, 1.4665455995127559, 1.6098531996831298, 1.770304299890995, 1.945911199785769]
