Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
52;51;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];0.9274427993223071;10.554.080.000.147.200;1.183.509.700.000.280;1.3117641992866993];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;miel;darkblue;switch;1;T;3;Stim2_Set3;2,85E+16;1,40E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.15.956.wav;2,88E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9274427993223071, 1.0554080000147223, 1.183509700000286, 1.3117641992866993]
53;52;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'i', 'n', 't', 'o', 'r'];0.9896766990423203;12.142.062.997.445.400;13.102.628.998.458.300;14.222.622.998.058.700;15.182.281.993.329.500;1.5982303991913795];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pintor;darkblue;filler;1;F;3;Stim1_Set2;2,90E+16;1,42E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.20.571.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9896766990423203, 1.2142062997445464, 1.3102628998458385, 1.4222622998058796, 1.5182281993329525, 1.5982303991913795]
54;53;REPSWITCH1/PICTURE_242.png;cartero;type;['c', 'a', 'r', 'e', 't', 'e', 'r'];12.505.232.999.101.200;14.420.103.002.339.600;17.783.485.995.605.500;17.793.447.999.283.600;24.182.077.003.642.900;26.099.309.995.770.400;2.785791900008917];NA;NA;NA;NA;NA;NA;NA;NA;;;caeter;darkblue;nontarget;1;NT;3;Stim3_Set3;2,95E+15;3,79E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.25.290.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2505232999101281, 1.4420103002339602, 1.7783485995605588, 1.7793447999283671, 2.4182077003642917, 2.6099309995770454, 2.785791900008917]
56;55;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];10.219.468.995.928.700;12.299.363.994.970.900;14.694.523.001.089.600;16.775.059.001.520.200;1.869.450.599.886.470;19.654.188.994.318.200;2.1574502997100353];NA;NA;NA;NA;NA;NA;NA;NA;;;caracol;darkblue;filler;1;F;3;Stim2_Set2;3,04E+15;1,48E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.34.635.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0219468995928764, 1.2299363994970918, 1.4694523001089692, 1.6775059001520276, 1.869450599886477, 1.9654188994318247, 2.1574502997100353]
60;59;REPSWITCH1/PICTURE_517.png;cuerda;type;['c', 'u', 'i', 'e', 'r', 'd', 'a', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace'];10.179.219.990.968.700;1.145.906.899.124.380;11.619.119.998.067.600;12.739.110.998.809.300;14.034.934.993.833.300;16.105.319.997.295.700;178.656.189.981.848;2.138.316.499.069.330;22.983.576.990.664.000;25.540.164.997.801.100;26.983.366.990.461.900;2.8584408992901444];NA;NA;NA;;;cu;darkblue;filler;1;F;3;Stim4_Set2;3,23E+16;1,44E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.53.112.wav;3,26E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0179219990968704, 1.145906899124384, 1.1619119998067617, 1.2739110998809338, 1.4034934993833303, 1.6105319997295737, 1.78656189981848, 2.138316499069333, 2.2983576990664005, 2.5540164997801185, 2.6983366990461946, 2.8584408992901444]
61;60;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];10.810.755.994.170.900;1.273.077.399.469.910;14.658.541.996.032;17.208.128.990.605.400;18.488.137.992.098.900;1.9288122989237309];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;granja;darkblue;filler;1;F;3;Stim5_Set2;3,27E+16;1,98E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.57.738.wav;3,30E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0810755994170904, 1.273077399469912, 1.4658541996032, 1.7208128990605474, 1.8488137992098927, 1.9288122989237309]
65;64;REPSWITCH1/PICTURE_464.png;goma;type;['g', 'o', 'm', 'a'];10.329.558.989.033.100;11.612.314.991.652.900;12.570.971.995.592.100;1.4010933991521597];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;goma;darkblue;switch;1;T;3;Stim6_Set3;3,46E+15;1,19E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.16.233.wav;3,49E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0329558989033103, 1.1612314991652966, 1.2570971995592117, 1.4010933991521597]
67;66;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'j', 'o'];1.061.337.299.644.940;1.205.427.199.602.120;1.413.906.299.509.100;15.259.061.995.893.700;16.539.046.997.204.400;1.9423261992633343];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;conejo;darkblue;nontarget;1;NT;3;Stim7_Set3;3,55E+16;4,14E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.25.535.wav;3,58E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.061337299644947, 1.205427199602127, 1.413906299509108, 1.5259061995893717, 1.6539046997204423, 1.9423261992633343]
68;67;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'k', 'o'];11.971.652.992.069.700;12.458.606.995.642.100;14.378.418.996.930.100;15.167.954.992.502.900;17.410.741.997.882.700;1.8530719997361302];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;coneko;darkblue;repeat;1;T;3;Stim7_Set3;3,60E+16;1,60E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.30.166.wav;3,63E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1971652992069721, 1.2458606995642185, 1.4378418996930122, 1.5167954992502928, 1.7410741997882724, 1.8530719997361302]
71;70;REPSWITCH1/PICTURE_320.png;iglesia;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];1.152.038.099.244.230;14.567.922.996.357.000;16.159.499.995.410.400;17.909.088.991.582.300;19.669.702.993.705.800;20.630.242.992.192.500;2.158945999108255];NA;NA;NA;NA;NA;NA;NA;NA;;;iglesia;darkblue;nontarget;1;NT;3;Stim8_Set3;3,73E+16;4,68E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.44.028.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.152038099244237, 1.4567922996357083, 1.6159499995410442, 1.7909088991582394, 1.9669702993705869, 2.0630242992192507, 2.158945999108255]
72;71;REPSWITCH1/PICTURE_320.png;iglesia;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];0.9409774001687765;1.180.702.599.696.810;12.766.992.999.240.700;16.447.067.996.487.000;18.210.869.999.602.400;19.326.010.001.823.300;1.996593900024891];NA;NA;NA;NA;NA;NA;NA;NA;;;iglesia;darkblue;repeat;1;T;3;Stim8_Set3;3,78E+15;1,51E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.48.598.wav;3,81E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9409774001687765, 1.180702599696815, 1.2766992999240756, 1.6447067996487021, 1.8210869999602437, 1.9326010001823306, 1.996593900024891]
74;73;REPSWITCH1/PICTURE_319.png;vaca;type;['v', 'a', 'c', 'a'];0.8488188991323113;11.200.592.992.827.200;13.440.748.993.307.300;1.552181899547577];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaca;darkblue;nontarget;1;NT;4;Stim1_Set4;3,87E+16;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.57.842.wav;3,90E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8488188991323113, 1.1200592992827296, 1.3440748993307352, 1.552181899547577]
75;74;REPSWITCH1/PICTURE_319.png;vaca;type;['v', 'a', 'c', 'a'];0.8794405991211534;1.103.597.299.195.820;13.275.201.991.200.400;1.5202298993244767];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaca;darkblue;repeat;1;T;4;Stim1_Set4;3,92E+16;1,28E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h34.02.569.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8794405991211534, 1.103597299195826, 1.3275201991200447, 1.5202298993244767]
76;75;REPSWITCH1/PICTURE_719.png;baño;type;['b', 'a', 'ñ', 'o'];1.062.292.299.233.370;11.901.178.993.284.700;18.297.070.991.247.800;2.086159098893404];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;baño;darkblue;nontarget;1;NT;4;Stim2_Set4;3,97E+14;1,61E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h34.07.308.wav;4,00E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.062292299233377, 1.1901178993284702, 1.8297070991247892, 2.086159098893404]
78;77;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];0.9815279990434647;11.414.239.993.318.900;12.544.582.998.380.000;1.3654226996004581];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;miel;darkblue;filler;1;F;4;Stim2_Set3;4,06E+15;1,42E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h34.16.515.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9815279990434647, 1.1414239993318915, 1.2544582998380065, 1.3654226996004581]
79;78;REPSWITCH1/PICTURE_242.png;cartero;type;['c', 'a', 'r', 't', 'e', 'r', 'o'];0.8270030999556184;10.354.010.993.614.700;1.243.427.800.014.610;141.906.030.010.432;1.578.928.799.368.440;17.239.908.995.106.800;1.8352455999702215];NA;NA;NA;NA;NA;NA;NA;NA;;;cartero;darkblue;filler;1;F;4;Stim3_Set3;4,11E+15;1,37E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h34.21.143.wav;4,14E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8270030999556184, 1.0354010993614793, 1.243427800014615, 1.41906030010432, 1.578928799368441, 1.7239908995106816, 1.8352455999702215]
83;82;REPSWITCH1/PICTURE_498.png;taza;type;['t', 'a', 'z', 'a'];12.109.754.988.923.600;13.549.704.989.418.300;14.989.665.988.832.700;1.6588461995124817];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;taza;darkblue;switch;1;T;4;Stim4_Set4;4,29E+16;1,22E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h34.39.734.wav;4,32E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2109754988923669, 1.3549704989418387, 1.4989665988832712, 1.6588461995124817]
85;84;REPSWITCH1/PICTURE_687.png;camisa;type;['c', 'a', 'm', 'i', 's', 'a'];11.833.383.990.451.600;13.913.323.991.000.600;14.873.308.995.738.600;1.632.268.499.583.000;17.269.034.991.040.800;1.8706464990973473];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;camisa;darkblue;nontarget;1;NT;4;Stim5_Set4;4,38E+16;1,26E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h34.48.930.wav;4,41E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1833383990451694, 1.3913323991000652, 1.4873308995738626, 1.632268499583006, 1.7269034991040826, 1.8706464990973473]
89;88;REPSWITCH1/PICTURE_35.png;oreja;type;['o', 'r', 'e', 'j', 'a'];11.436.559.995.636.300;12.556.659.001.857.000;13.996.660.001.575.900;15.916.753.001.511.000;1.720664999447763];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;oreja;darkblue;filler;1;F;4;Stim5_Set3;4,57E+16;1,33E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h35.07.531.wav;4,60E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1436559995636344, 1.2556659001857042, 1.3996660001575947, 1.5916753001511097, 1.720664999447763]
91;90;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'j', 'o'];0.9185066996142268;1.031.500.899.232.920;12.548.788.990.825.400;13.683.353.997.766.900;15.425.271.997.228.200;1.7025253996253014];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;conejo;darkblue;filler;1;F;4;Stim7_Set3;4,66E+16;1,60E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h35.16.795.wav;4,69E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9185066996142268, 1.031500899232924, 1.2548788990825415, 1.3683353997766972, 1.5425271997228265, 1.7025253996253014]
93;92;REPSWITCH1/PICTURE_48.png;bombero;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];12.678.869.003.430.000;13.478.798.996.657.100;1.491.805.199.533.700;17.158.097.000.792.600;1.908.479.600.213.460;20.685.658.995.062.100;2.148310899734497];NA;NA;NA;NA;NA;NA;NA;NA;;;bombero;darkblue;switch;1;T;4;Stim7_Set4;4,75E+15;1,38E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h35.25.987.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2678869003430009, 1.3478798996657133, 1.491805199533701, 1.7158097000792623, 1.908479600213468, 2.0685658995062113, 2.148310899734497]
95;94;REPSWITCH1/PICTURE_728.png;pulpo;type;['p', 'u', 'l', 'o', 'p', 'backspace', 'backspace'];12.207.011.003.047.200;14.605.962.000.787.200;17.165.944.995.358.500;19.885.973.995.551.400;2.228.595.199.994.740;2.693.320.400.081.570;2.837.041.400.372.980;2.9805770004168153];NA;NA;NA;NA;NA;NA;NA;;;pulp;darkblue;nontarget;1;NT;4;Stim8_Set4;4,85E+15;1,34E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h35.35.314.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2207011003047228, 1.4605962000787258, 1.7165944995358586, 1.9885973995551467, 2.228595199994743, 2.693320400081575, 2.837041400372982, 2.9805770004168153]
96;95;REPSWITCH1/PICTURE_728.png;pulpo;type;['p', 'u', 'l', 'p', 'o'];11.207.105.992.361.900;1.425.242.398.865.520;1.665.684.498.846.530;18.403.310.989.961.000;2.0163210993632674];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pulpo;darkblue;repeat;1;T;4;Stim8_Set4;4,89E+15;1,31E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h35.39.975.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1207105992361903, 1.425242398865521, 1.665684498846531, 1.8403310989961028, 2.0163210993632674]
99;98;REPSWITCH1/PICTURE_8.png;pierna;type;['p', 'i', 'e', 'r', 'n', 'a'];0.9146819990128279;11.066.727.992.147.200;12.513.821.991.160.500;14.113.813.992.589.700;15.233.797.989.785.600;1.6674234988167882];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pierna;darkblue;filler;1;F;1;Stim3_Set4;5,80E+15;1,16E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h37.10.597.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9146819990128279, 1.1066727992147207, 1.2513821991160512, 1.4113813992589712, 1.5233797989785671, 1.6674234988167882]
100;99;REPSWITCH1/PICTURE_728.png;pulpo;type;['p', 'u', 'l', 'p', 'o'];0.9409371996298432;11.813.113.000.243.900;16.131.965.992.972.200;1.789.656.599.983.570;1.9175812993198633];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pulpo;darkblue;filler;1;F;1;Stim8_Set4;5,85E+15;1,43E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h37.15.194.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9409371996298432, 1.1813113000243902, 1.6131965992972255, 1.789656599983573, 1.9175812993198633]
104;103;REPSWITCH1/PICTURE_16.png;cazador;type;['c', 'a', 'x', 'a', 'd', 'o', 'r'];0.8790526995435357;115.107.879.973.948;14.550.490.994.006.300;16.638.020.994.141.600;2.303.173.399.530.350;239.913.069.922.477;2.527152099646628];NA;NA;NA;NA;NA;NA;NA;NA;;;caxador;darkblue;switch;1;T;1;Stim6_Set1;6,03E+15;1,58E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h37.33.603.wav;6,06E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8790526995435357, 1.15107879973948, 1.4550490994006395, 1.6638020994141698, 2.303173399530351, 2.39913069922477, 2.527152099646628]
106;105;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];0.9240929000079632;11.320.596.998.557.400;1.292.090.899.311.000;1.3560977997258306];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;nontarget;1;NT;1;Stim2_Set1;6,12E+15;1,29E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h37.42.843.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9240929000079632, 1.1320596998557448, 1.292090899311006, 1.3560977997258306]
109;108;REPSWITCH1/PICTURE_178.png;puente;type;['p', 'u', 'e', 'n', 't', 'e'];14.154.268.996.790.000;1.718.835.199.251.770;18.794.171.996.414.600;19.753.305.995.836.800;21.026.728.991.419.000;2.262638899497688];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;puente;darkblue;switch;1;T;1;Stim1_Set1;6,26E+14;1,32E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h37.56.778.wav;6,29E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.4154268996790051, 1.718835199251771, 1.8794171996414661, 1.9753305995836854, 2.1026728991419077, 2.262638899497688]
111;110;REPSWITCH1/PICTURE_169.png;espalda;type;['e', 's', 'p', 'a', 'l', 'a', 'backspace', 'd', 'a'];11.098.361.993.208.500;12.858.343.990.519.600;13.818.093.994.632.300;14.777.973.992.750.000;16.058.279.993.012.500;16.858.431.994.915.000;21.026.145.992.800.500;2.198.675.399.646.160;2.3576635997742414];NA;NA;NA;NA;NA;NA;;;espalda;darkblue;nontarget;1;NT;1;Stim8_Set1;6,35E+15;1,31E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.06.043.wav;6,39E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1098361993208528, 1.2858343990519643, 1.3818093994632363, 1.4777973992750049, 1.6058279993012547, 1.6858431994915009, 2.1026145992800593, 2.198675399646163, 2.3576635997742414]
112;111;REPSWITCH1/PICTURE_169.png;espalda;type;['e', 'l', 'p', 'a', 'l', 'd', 'a'];0.799291399307549;0.8954816991463304;10.717.400.992.289.100;12.477.356.987.074.000;17.757.931.994.274.200;19.033.391.987.904.900;2.0473006991669536];NA;NA;NA;NA;NA;NA;NA;NA;;;elpalda;darkblue;repeat;1;T;1;Stim8_Set1;6,40E+15;1,26E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.10.680.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.799291399307549, 0.8954816991463304, 1.0717400992289186, 1.2477356987074018, 1.7757931994274259, 1.9033391987904906, 2.0473006991669536]
114;113;REPSWITCH1/PICTURE_19.png;pavo;type;['a', 'backspace', 'a', 'backspace', 'p', 'a', 'v', 'o'];10.891.717.988.997.600;14.413.969.991.728.600;17.130.283.992.737.500;21.292.000.990.360.900;2.593.074.799.515.300;26.742.686.992.511.100;28.654.898.991.808.200;2.8814692990854383];NA;NA;NA;NA;NA;NA;NA;;;pavo;darkblue;nontarget;1;NT;1;Stim5_Set1;6,49E+15;1,68E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.19.921.wav;6,52E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0891717988997698, 1.4413969991728663, 1.7130283992737532, 2.1292000990360975, 2.593074799515307, 2.6742686992511153, 2.8654898991808295, 2.8814692990854383]
115;114;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];0.8668681001290679;0.9941720003262162;1.218.172.200.024.120;1.3141713002696633];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pavo;darkblue;repeat;1;T;1;Stim5_Set1;6,54E+15;1,67E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.24.511.wav;6,57E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8668681001290679, 0.9941720003262162, 1.218172200024128, 1.3141713002696633]
116;115;REPSWITCH1/PICTURE_319.png;vaca;type;['v', 'a', 'c', 'a'];0.9620607001706958;11.540.074.003.860.300;13.616.864.997.893.500;1.5216717002913356];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaca;darkblue;filler;1;F;1;Stim1_Set4;6,59E+15;1,24E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.29.133.wav;6,62E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9620607001706958, 1.1540074003860354, 1.3616864997893572, 1.5216717002913356]
118;117;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];0.8432925995439291;10.678.782.993.927.500;12.277.536.997.571.500;1.3238820992410183];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;nontarget;1;NT;1;Stim7_Set1;6,68E+15;1,31E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.38.307.wav;6,71E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8432925995439291, 1.0678782993927598, 1.2277536997571588, 1.3238820992410183]
120;119;REPSWITCH1/PICTURE_687.png;camisa;type;['c', 'a', 'i', 'backspace', 'm', 'i', 's', 'a'];100.592.349.935.323;1.197.936.199.605.460;14.539.353.996.515.200;17.418.799.996.376.000;19.499.074.993.655.000;2.045.908.799.394.960;21.898.727.994.412.100;2.3338417997583747];NA;NA;NA;NA;NA;NA;NA;;;camisa;darkblue;filler;1;F;1;Stim5_Set4;6,77E+15;1,26E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.47.555.wav;6,80E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.00592349935323, 1.197936199605465, 1.4539353996515274, 1.7418799996376038, 1.9499074993655086, 2.045908799394965, 2.1898727994412184, 2.3338417997583747]
