order;psychopy_order;image;correctAns;respModal;keyResp_keys;keyResp_rt;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion
136;135;REPSWITCH1/PICTURE_517.png;cuerda;speak;None;;;gold;repeat;2;T;2;Stim4_Set2;7,51E+15;1,42E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.01.422.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
138;137;REPSWITCH1/PICTURE_199.png;falda;speak;None;;;gold;nontarget;2;NT;2;Stim8_Set2;7,60E+15;1,44E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.10.693.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
139;138;REPSWITCH1/PICTURE_199.png;falda;speak;None;;;gold;repeat;2;T;2;Stim8_Set2;7,65E+15;1,37E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.15.357.wav;7,68E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
140;139;REPSWITCH1/PICTURE_169.png;espalda;speak;['e', 's', 'p', 'a', 'l', 'd', 'a'];[0.9993818989023566, 1.622384799644351, 1.7839905992150307, 1.8949778992682695, 2.007009998895228, 2.374819199554622, 2.534818299114704];espalda;gold;filler;2;F;2;Stim8_Set1;7,69E+15;1,22E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.20.001.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
142;141;REPSWITCH1/PICTURE_142.png;vaso;speak;None;;;gold;filler;2;F;2;Stim7_Set1;7,79E+14;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.29.265.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
143;142;REPSWITCH1/PICTURE_552.png;manzana;speak;None;;;gold;nontarget;2;NT;2;Stim6_Set2;7,83E+15;1,50E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.33.887.wav;7,86E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
145;144;REPSWITCH1/PICTURE_30.png;granja;speak;None;;;gold;filler;2;F;3;Stim5_Set2;7,93E+15;1,95E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.43.097.wav;7,96E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
147;146;REPSWITCH1/PICTURE_464.png;goma;speak;None;;;gold;switch;2;T;3;Stim6_Set3;8,02E+15;1,25E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.52.337.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
148;147;REPSWITCH1/PICTURE_264.png;mano;speak;None;;;gold;filler;2;F;3;Stim3_Set2;8,06E+15;1,41E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.57.019.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
149;148;REPSWITCH1/PICTURE_235.png;aguja;speak;None;;;gold;nontarget;2;NT;3;Stim4_Set3;8,11E+15;1,23E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.01.609.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
152;151;REPSWITCH1/PICTURE_320.png;iglesia;speak;None;;;gold;switch;2;T;3;Stim8_Set3;8,25E+14;1,54E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.15.493.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
154;153;REPSWITCH1/PICTURE_271.png;conejo;speak;None;;;gold;nontarget;2;NT;3;Stim7_Set3;8,34E+14;1,61E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.24.647.wav;8,37E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
155;154;REPSWITCH1/PICTURE_271.png;conejo;speak;None;;;gold;repeat;2;T;3;Stim7_Set3;8,39E+15;1,63E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.29.224.wav;8,42E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
158;157;REPSWITCH1/PICTURE_576.png;guante;speak;None;;;gold;nontarget;2;NT;3;Stim1_Set3;8,53E+15;1,30E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.43.201.wav;8,56E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
