Column2;Column1;Response;Image;respModal;Target;RepSwitch;Accuracy;RT;Duration;Notes
92;306;vaso;vaso;type;T;switch;1;0,952;0,464;NA
93;309;muneca;muneca;type;T;repeat;1;1,141;1,552;NA
94;315;cazador;cazador;speak;T;switch;1;0,927;0,6785;too close to the mic (37_857)
95;317;falda;falda;type;T;repeat;1;1,296;0,511;NA
96;320;cuerda;cuerda;type;T;repeat;1;0,721;0,705;NA
97;323;manzana;manzana;speak;T;switch;1;0,822;0,7435;too close to the mic (14_836)
98;325;caracol;caracol;type;T;switch;1;0,967;1,088;NA
99;330;cerdo;cerdo;speak;T;switch;1;0,639;0,668;NA
100;332;mano;mano;speak;T;repeat;1;0,607;0,7437;NA
101;335;granja;granja;speak;T;repeat;1;1,258;0,6484;too close to the mic (10_499)
102;339;pintor;pintor;type;T;switch;1;1,213;0,769;NA
103;341;oreja;oreja;speak;T;switch;1;0,793;0,5578;too close to the mic (38_133)
104;343;guante;guante;type;T;switch;1;0,975;0,72;NA
105;347;conejo;conejo;speak;T;switch;1;1,249;0,6271;NA
106;350;cartero;cartero;speak;T;repeat;1;0,594;0,6348;NA
107;354;miel;miel;speak;T;repeat;1;0,728;0,636;NA
108;356;iglesia;iglesia;type;T;switch;1;1,342;0,719;NA
109;360;goma;goma;type;T;repeat;1;0,9;0,785;NA
110;363;aguja;aguja;type;T;repeat;1;0,724;0,737;NA
111;367;regalo;regalo;type;T;repeat;1;0,799;0,704;NA
112;369;pierna;pierna;speak;T;switch;1;0,872;0,5923;NA
113;372;camisa;camisa;speak;T;repeat;1;0,615;0,6828;NA
114;374;vaca;vaca;type;T;switch;1;0,81;0,592;NA
115;377;taza;taza;speak;T;switch;1;0,998;0,5205;NA
116;379;bombero;bombero;speak;T;repeat;1;0,822;0,6579;NA
117;385;bano;bano;type;T;repeat;1;0,869;1,04;NA
;;;;;;;;;;
