"","Trial_no","CorrectAns","SubjResponse","Backspace","Item_correct","RespModal","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","RepSwitch","FrameColor","sequence","Target","set","block","list","exp_version","stimulus","baseline","baseline_condition","fixationITI.started","fixationITI.stopped","polygonColour.started","polygonWhite.started","imageObject.started","polygonType.started","textInput.started","keyResp.started","micRespv2l1.started","participant","session","date","psychopyVersion"
"14",14,"pierna","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",1,1,1,2,"Stim3_Set4",0,"None",139.496754399966,140.580058800057,140.580058800057,140.580058800057,140.580058800057,140.580058800057,140.580058800057,140.580058800057,140.580058800057,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"15",15,"pavo","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",1,1,1,2,"Stim5_Set1",0,"None",144.101220499957,145.198731400073,145.198731400073,145.198731400073,145.198731400073,145.198731400073,145.198731400073,145.198731400073,145.198731400073,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"16",16,"pavo","pavo","0","1","type","['p', 'a', 'v', 'o']",0.992577800061554,1.07253729994409,1.21675019990653,1.45675799995661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","gold",1,"T",1,1,1,2,"Stim5_Set1",0,"None",148.719944900135,149.796717199963,149.796717199963,149.796717199963,149.796717199963,149.796717199963,149.796717199963,149.796717199963,149.796717199963,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"17",17,"cazador","cazado","0","0","type","['c', 'a', 'z', 'a', 'd', 'o']",1.99804989993572,2.12587690004148,2.3983744001016,2.5273663001135,2.830372299999,2.92638540011831,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",1,1,1,2,"Stim6_Set1",1,"switch",153.324028300121,154.407249700045,154.407249700045,154.407249700045,154.407249700045,154.407249700045,154.407249700045,154.407249700045,154.407249700045,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"18",18,"cazador","cazador","0","1","type","['c', 'a', 'z', 'a', 'd', 'o', 'r']",1.11888199998066,1.19887749990448,1.35886779986322,1.45491359988227,1.79128669993952,1.85511709982529,1.96704189991578,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","gold",1,"T",1,1,1,2,"Stim6_Set1",0,"None",157.943436700152,159.110325100133,159.110325100133,159.110325100133,159.110325100133,159.110325100133,159.110325100133,159.110325100133,159.110325100133,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"19",19,"taza","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",1,1,1,2,"Stim4_Set4",0,"None",162.637587700039,163.804275300121,163.804275300121,163.804275300121,163.804275300121,163.804275300121,163.804275300121,163.804275300121,163.804275300121,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"20",20,"bombero","bombero","0","1","type","['b', 'o', 'm', 'b', 'e', 'r', 'o']",1.20882139983587,1.52802410000004,1.70405159983784,1.99280609982088,2.07383089978248,2.23283749981783,2.32882399996743,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",1,1,1,2,"Stim7_Set4",0,"None",167.333548699971,168.444830100052,168.444830100052,168.444830100052,168.444830100052,168.444830100052,168.444830100052,168.444830100052,168.444830100052,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"21",21,"vaso","vaso","0","1","type","['v', 'a', 's', 'o']",1.49520160001703,1.55915720015764,1.71915520005859,1.86325610009953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",1,1,1,2,"Stim7_Set1",1,"repeat",171.972771500004,173.070397900185,173.070397900185,173.070397900185,173.070397900185,173.070397900185,173.070397900185,173.070397900185,173.070397900185,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"22",22,"vaso","vaso","0","1","type","['v', 'a', 's', 'o']",0.884075499838218,0.996073500020429,1.15540479985066,1.26978259999305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","gold",1,"T",1,1,1,2,"Stim7_Set1",0,"None",176.597885000054,177.633514800109,177.633514800109,177.633514800109,177.633514800109,177.633514800109,177.633514800109,177.633514800109,177.633514800109,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"23",23,"regalo","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",1,1,1,2,"Stim6_Set4",1,"switch",181.154825000092,182.266031800071,182.266031800071,182.266031800071,182.266031800071,182.266031800071,182.266031800071,182.266031800071,182.266031800071,201,1,"2023-10-06_09h41.18.571","2022.2.4"
