Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L2_p040202_tr174_type_conejo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr175_type_conejo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr176_speak_cerdo;cerdo;782.329;521.671;;;;;;
recording_V2L2_p040202_tr177_type_falda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr178_type_iglesia;[type];0;3000;;;;;;
recording_V2L2_p040202_tr179_type_iglesia;[type];0;3000;;;;;;
recording_V2L2_p040202_tr17_speak_vaca;vaca;792;496;;;;;;
recording_V2L2_p040202_tr180_speak_guante;guante;1061.457;570.543;;;;tongue;;
recording_V2L2_p040202_tr181_type_vaca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr182_type_vaca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr183_type_baño;[type];0;3000;;;;;;
recording_V2L2_p040202_tr184_speak_baño;baño;920;481.374;;;;;;
recording_V2L2_p040202_tr185_speak_cartero;cartero;968;574.8;;;;tongue;;
recording_V2L2_p040202_tr186_type_miel;[type];0;3000;;;;;;
recording_V2L2_p040202_tr187_speak_pierna;pierna;936;472;;;;;;
recording_V2L2_p040202_tr188_speak_pierna;pierna;1280;472;;;;;;
recording_V2L2_p040202_tr189_speak_taza;taza;763.737;421.778;;;;;;
recording_V2L2_p040202_tr18_speak_pulpo;pulpo;928;472;;;;;;
recording_V2L2_p040202_tr190_type_taza;[type];0;3000;;;;;;
recording_V2L2_p040202_tr191_speak_aguja;aguja;1208;698.705;;;;;;
recording_V2L2_p040202_tr192_type_oreja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr193_type_camisa;[type];0;3000;;;;some mouth noise, did not speak;;
recording_V2L2_p040202_tr194_speak_camisa;camisa;936.16;589.272;;;;;;
recording_V2L2_p040202_tr195_speak_regalo;regalo;728;595.218;;;;tongue;;
recording_V2L2_p040202_tr196_speak_regalo;regalo;689.906;614.094;;;;tongue;;
recording_V2L2_p040202_tr197_type_columna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr198_speak_conejo;conejo;963.452;524.548;;;;tongue;;
recording_V2L2_p040202_tr199_speak_bombero;bombero;976;552;;;;;;
recording_V2L2_p040202_tr19_type_fresa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr1_speak_tronco;tronco;1386;392;;;;;;
recording_V2L2_p040202_tr200_type_bombero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr201_type_pulpo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr202_type_pulpo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr203_speak_iglesia;iglesia;784;640;;;;;;
recording_V2L2_p040202_tr204_type_goma;[type];0;3000;;;;;;
recording_V2L2_p040202_tr205_type_pierna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr206_speak_taza;taza;784;384;;;;;;
recording_V2L2_p040202_tr207_speak_pavo;pavo;704;369.701;;;;;;
recording_V2L2_p040202_tr208_speak_pavo;pavo;528;375.216;;;;;;
recording_V2L2_p040202_tr209_type_vaca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr20_type_fresa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr210_speak_espalda;espalda;776;664;;;;;;
recording_V2L2_p040202_tr211_speak_espalda;espalda;672;664;;;;tongue;;
recording_V2L2_p040202_tr212_type_pulpo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr213_speak_vaso;vaso;960;471.148;;;;;;
recording_V2L2_p040202_tr214_type_vaso;[type];0;3000;;;;;;
recording_V2L2_p040202_tr215_type_regalo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr216_type_traje;[type];0;3000;;;;;;
recording_V2L2_p040202_tr217_speak_traje;traje;820.969;431.719;;;;;;
recording_V2L2_p040202_tr218_speak_fresa;fresa;751.934;486.925;;;;;;
recording_V2L2_p040202_tr219_type_fresa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr21_speak_pierna;pierna;1138.373;477.627;;;;;;
recording_V2L2_p040202_tr220_type_bombero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr221_speak_camisa;camisa;695.665;613.907;;;;tongue;;
recording_V2L2_p040202_tr222_type_muñeca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr223_type_muñeca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr224_speak_baño;baño;656;454.058;;;;;;
recording_V2L2_p040202_tr225_type_puente;[type];0;3000;;;;;;
recording_V2L2_p040202_tr226_type_puente;[type];0;3000;;;;;;
recording_V2L2_p040202_tr227_type_cazador;[type];0;3000;;;;;;
recording_V2L2_p040202_tr228_speak_cazador;cazador;774.164;638.375;;;;;;
recording_V2L2_p040202_tr229_type_pavo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr22_speak_bombero;bombero;760;640;;;;;;
recording_V2L2_p040202_tr230_type_falda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr231_type_falda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr232_speak_puente;puente;859.244;430.479;;;;;;
recording_V2L2_p040202_tr233_type_cuerda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr234_type_cuerda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr235_type_espalda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr236_speak_tenedor;tenedor;744;508.506;;;;tongue;;
recording_V2L2_p040202_tr237_type_vaso;[type];0;3000;;;;;;
recording_V2L2_p040202_tr238_type_manzana;[type];0;3000;;;;;;
recording_V2L2_p040202_tr239_speak_manzana;manzana;696;624;;;;;;
recording_V2L2_p040202_tr23_type_traje;[type];0;3000;;;;;;
recording_V2L2_p040202_tr240_speak_traje;traje;848.079;462.734;;;;;;
recording_V2L2_p040202_tr241_speak_caracol;caracol;713.376;611.083;;;;tongue;;
recording_V2L2_p040202_tr242_type_caracol;[type];0;3000;;;;;;
recording_V2L2_p040202_tr243_type_fresa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr244_type_cerdo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr245_speak_cerdo;cerdo;700.807;583.954;;;;;;
recording_V2L2_p040202_tr246_speak_mano;mano;582.622;418.073;;;;;;
recording_V2L2_p040202_tr247_speak_mano;mano;568;409.472;;;;;;
recording_V2L2_p040202_tr248_type_muñeca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr249_speak_granja;granja;745.658;630.342;;;;tongue;;
