Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L3_p130103_tr176_type_aguja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr177_type_aguja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr178_type_guante;[type];0;3000;;;;;;
recording_V1L3_p130103_tr179_speak_espejo;espejo;752;573.079;;;;;;
recording_V1L3_p130103_tr17_type_espalda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr180_speak_goma;goma;1136;416;;;;;;
recording_V1L3_p130103_tr181_type_regalo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr182_type_regalo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr183_type_pierna;[type];0;3000;;;;;;
recording_V1L3_p130103_tr184_speak_pierna;pierna;760;453.428;;;;;;
recording_V1L3_p130103_tr185_type_conejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr186_speak_camisa;camisa;680;543.352;;;;;;
recording_V1L3_p130103_tr187_speak_camisa;camisa;627.877;570.664;;;;;;
recording_V1L3_p130103_tr188_speak_vaca;vaca;744;452.06;;;;;;
recording_V1L3_p130103_tr189_type_vaca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr18_type_espalda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr190_speak_cartero;cartero;1151.399;533.446;;;;;;
recording_V1L3_p130103_tr191_type_taza;[type];0;3000;;;;;;
recording_V1L3_p130103_tr192_speak_taza;taza;768;375.956;;;;;;
recording_V1L3_p130103_tr193_type_cadena;[type];0;3000;;;;;;
recording_V1L3_p130103_tr194_speak_miel;miel;808;384.958;;;;;;
recording_V1L3_p130103_tr195_speak_bombero;bombero;1168;586.317;;;;;;
recording_V1L3_p130103_tr196_speak_bombero;bombero;528;632;;;;;;
recording_V1L3_p130103_tr197_type_iglesia;[type];0;3000;;;;;;
recording_V1L3_p130103_tr198_speak_oreja;oreja;992;480;;;;;;
recording_V1L3_p130103_tr199_speak_pulpo;pulpo;915.69;426.757;;;;;;
recording_V1L3_p130103_tr19_speak_bombero;bombero;1200;616;;;;;;
recording_V1L3_p130103_tr1_type_columna;[type];0;2980;;;;;;
recording_V1L3_p130103_tr200_type_pulpo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr201_speak_escoba;escoba;920;603.571;;;;;;
recording_V1L3_p130103_tr202_type_aguja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr203_type_baño;[type];0;3000;;;;;;
recording_V1L3_p130103_tr204_type_baño;[type];0;3000;;;;;;
recording_V1L3_p130103_tr205_type_espejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr206_speak_cadena;cadena;696;512;;;;;;
recording_V1L3_p130103_tr207_speak_puente;puente;760;456;;;;;;
recording_V1L3_p130103_tr208_speak_puente;puente;624;492.663;;;;;;
recording_V1L3_p130103_tr209_type_vaca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr20_type_pavo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr210_speak_fresa;fresa;684.944;563.22;;;;;;
recording_V1L3_p130103_tr211_speak_fresa;fresa;672.538;599.462;;;;;;
recording_V1L3_p130103_tr212_type_baño;[type];0;3000;;;;;;
recording_V1L3_p130103_tr213_speak_traje;traje;801.557;446.606;;;;;;
recording_V1L3_p130103_tr214_type_traje;[type];0;3000;;;;;;
recording_V1L3_p130103_tr215_speak_camisa;camisa;1048;530.156;;;;;;
recording_V1L3_p130103_tr216_type_muñeca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr217_speak_muñeca;muñeca;704.793;655.023;;;;;;
recording_V1L3_p130103_tr218_speak_pierna;pierna;947.945;471.418;;;;;;
recording_V1L3_p130103_tr219_speak_pavo;pavo;779.227;320.068;;;;;;
recording_V1L3_p130103_tr21_type_pavo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr220_type_pavo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr221_type_cazador;[type];0;3000;;;;;;
recording_V1L3_p130103_tr222_type_cazador;[type];0;3000;;;;;;
recording_V1L3_p130103_tr223_speak_taza;taza;928;348.077;;;;;;
recording_V1L3_p130103_tr224_type_bombero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr225_type_vaso;[type];0;3000;;;;;;
recording_V1L3_p130103_tr226_type_vaso;[type];0;3000;;;;;;
recording_V1L3_p130103_tr227_speak_regalo;regalo;1067.04;492.96;;;;;;
recording_V1L3_p130103_tr228_type_pulpo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr229_type_espalda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr22_speak_vaca;vaca;832;431.051;;;;;;
recording_V1L3_p130103_tr230_speak_espalda;espalda;721.195;574.805;;;;;;
recording_V1L3_p130103_tr231_speak_puente;puente;766.821;526.003;;;;;;
recording_V1L3_p130103_tr232_type_pintor;[type];0;3000;;;;;;
recording_V1L3_p130103_tr233_type_pintor;[type];0;3000;;;;;;
recording_V1L3_p130103_tr234_speak_fresa;fresa;727.123;506.154;;;;;;
recording_V1L3_p130103_tr235_type_caracol;[type];0;3000;;;;;;
recording_V1L3_p130103_tr236_type_caracol;[type];0;3000;;;;;;
recording_V1L3_p130103_tr237_speak_muñeca;muñeca;688;632;;;;;;
recording_V1L3_p130103_tr238_type_mano;[type];0;3000;;;;;;
recording_V1L3_p130103_tr239_speak_mano;mano;688;392;;;;;;
