"","Response","Image","respModal","Target","RepSwitch","Accuracy","RT","Duration","Notes"
"368","pierna","pierna","type","NT","nontarget","1","0,991","1,44",NA
"369","pierna","pierna","speak","T","switch","1","0.87224000000000002","0.59231",NA
"370","conejo","conejo","type","F","filler","1","0,978","1,808",NA
"371","camisa","camisa","speak","NT","nontarget","1","0.79924600000000001","0.66759299999999999",NA
"372","camisa","camisa","speak","T","repeat","1","0.61464700000000005","0.68276499999999996",NA
"373","vaca","vaca","speak","NT","nontarget","1","0.82081199999999999","0.63641800000000004",NA
"374","vaca","vaca","type","T","switch","1","0,81","0,592",NA
"375","cartero","cartero","speak","F","filler","1","0.853877","0.63053200000000009",NA
"376","taza","taza","type","NT","nontarget","1","1,572","0,399",NA
"377","taza","taza","speak","T","switch","1","0.99826300000000001","0.52047699999999997",NA
"378","bombero","bombero","speak","NT","nontarget","1","0.604325","0.67928000000000011",NA
"379","bombero","bombero","speak","T","repeat","1","0.82221","0.65789200000000003",NA
"380","miel","miel","type","F","filler","1","0,995","0,385",NA
"381","iglesia","iglesia","type","F","filler","0","1,005","1,504","corrected with backspace"
"382","pulpo","pulpo","speak","NT","nontarget","1","1.061275","0.64019899999999996",NA
"383","pulp","pulpo","type","T","switch","0","2,005","0,912",NA
"384","bano","bano","type","NT","nontarget","1","0,905","0,816",NA
"385","bano","bano","type","T","repeat","1","0,869","1,04",NA
"386","goma","goma","speak","F","filler","1","0.58787400000000001","0.47790099999999991",NA
"387","aguja","aguja","type","F","filler","1","0,88","0,752",NA
