image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l1.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate
REPSWITCH1/PICTURE_135.png;traje;speak;gold;nontarget;2;NT;1;1;1;1;Stim3_Set1;0;None;9;8;9;0;8;8;8;;;;;;;;;;;;;;;;;;;;;;;58.8626585;60.0364733;60.0364733;60.0364733;60.0364733;60.0364733;60.0364733;60.0364733;60.0364733;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.55.422.wav;63.0645823;;None;63.0645823;63.0645823;63.0645823;63.0645823;63.0645823;63.0645823;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_135.png;traje;type;darkblue;switch;1;T;1;1;1;1;Stim3_Set1;0;None;10;9;10;0;9;9;9;;;;;;;;;;;;;;;;;;;;;;;63.564662;64.5925896;64.5925896;64.5925896;64.5925896;64.5925896;64.5925896;64.5925896;64.5925896;['t', 'r', 'a', 'j', 'e'];0;[1.0130302000325173, 1.1190961999818683, 1.1898932000622153, 1.3782816000748426, 1.4928949000313878];traje;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.59.977.wav;67.6138272;68.1138549;None;67.6138272;67.6138272;67.6138272;67.6138272;67.6138272;67.6138272;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_687.png;camisa;speak;gold;filler;2;F;1;1;1;1;Stim5_Set4;0;None;11;10;11;0;10;10;10;;;;;;;;;;;;;;;;;;;;;;;68.1138549;69.2807139;69.2807139;69.2807139;69.2807139;69.2807139;69.2807139;69.2807139;69.2807139;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.04.665.wav;72.3019072;72.8019999;None;72.3019072;72.3019072;72.3019072;72.3019072;72.3019072;72.3019072;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_128.png;muñeca;type;darkblue;nontarget;1;NT;1;1;1;1;Stim4_Set1;1;switch;12;11;12;0;11;11;11;;;;;;;;;;;;;;;;;;;;;;;72.8019999;73.8715824;73.8715824;73.8715824;73.8715824;73.8715824;73.8715824;73.8715824;73.8715824;['m', 'u', 'ñ', 'e', 'c', 'a'];0;[0.8523105001077056, 1.09481479995884, 1.387825099984184, 1.4835010999813676, 1.6389417999889702, 1.7190302999224514];muñeca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.09.256.wav;76.8928019;77.3928883;None;76.8928019;76.8928019;76.8928019;76.8928019;76.8928019;76.8928019;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_128.png;muñeca;speak;gold;switch;2;T;1;1;1;1;Stim4_Set1;0;None;13;12;13;0;12;12;12;;;;;;;;;;;;;;;;;;;;;;;77.3928883;78.4208575;78.4208575;78.4208575;78.4208575;78.4208575;78.4208575;78.4208575;78.4208575;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.13.806.wav;81.4421012;81.9421671;None;81.4421012;81.4421012;81.4421012;81.4421012;81.4421012;81.4421012;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_8.png;pierna;speak;gold;filler;2;F;1;1;1;1;Stim3_Set4;0;None;14;13;14;0;13;13;13;;;;;;;;;;;;;;;;;;;;;;;81.9421671;83.0255562;83.0255562;83.0255562;83.0255562;83.0255562;83.0255562;83.0255562;83.0255562;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.18.410.wav;86.0468018;86.5468577;None;86.0468018;86.0468018;86.0468018;86.0468018;86.0468018;86.0468018;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;nontarget;2;NT;1;1;1;1;Stim5_Set1;0;None;15;14;15;0;14;14;14;;;;;;;;;;;;;;;;;;;;;;;86.5468577;87.6164518;87.6164518;87.6164518;87.6164518;87.6164518;87.6164518;87.6164518;87.6164518;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.23.002.wav;90.6446693;;None;90.6446693;90.6446693;90.6446693;90.6446693;90.6446693;90.6446693;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_19.png;pavo;type;darkblue;switch;1;T;1;1;1;1;Stim5_Set1;0;None;16;15;16;0;15;15;15;;;;;;;;;;;;;;;;;;;;;;;91.1446771;92.2698092;92.2698092;92.2698092;92.2698092;92.2698092;92.2698092;92.2698092;92.2698092;['p', 'a', 'v', 'o'];0;[0.6621967998798937, 0.7256210998166353, 0.8273266998585314, 0.9152596998028457];pavo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.27.655.wav;95.2910695;95.7911964;None;95.2910695;95.2910695;95.2910695;95.2910695;95.2910695;95.2910695;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_16.png;cazador;type;darkblue;nontarget;1;NT;1;1;1;1;Stim6_Set1;1;switch;17;16;17;0;16;16;16;;;;;;;;;;;;;;;;;;;;;;;95.7911964;96.8537532;96.8537532;96.8537532;96.8537532;96.8537532;96.8537532;96.8537532;96.8537532;['c', 'a', 'z', 'a', 'd', 'o', 'r'];0;[0.877715100068599, 0.9464827000629157, 1.5990115001332015, 1.724574000108987, 1.900966500164941, 1.9570277000311762, 2.1526774000376463];cazador;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.32.239.wav;99.8819943;;None;99.8819943;99.8819943;99.8819943;99.8819943;99.8819943;99.8819943;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_16.png;cazador;type;darkblue;repeat;1;T;1;1;1;1;Stim6_Set1;0;None;18;17;18;0;17;17;17;;;;;;;;;;;;;;;;;;;;;;;100.3819987;101.5280675;101.5280675;101.5280675;101.5280675;101.5280675;101.5280675;101.5280675;101.5280675;['x', 'a', 'backspace', 'backspace', 'c', 'a', 'z', 'a', 'd', 'o', 'r'];0;[0.7436804000753909, 0.8466475999448448, 1.260654600104317, 1.410464100074023, 1.4732536000665277, 1.5231176998931915, 1.7174619000870734, 1.8659717999398708, 1.9876131999772042, 2.076328899944201, 2.2337921999860555];cazador;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h46.36.913.wav;104.5492011;105.0492903;None;104.5492011;104.5492011;104.5492011;104.5492011;104.5492011;104.5492011;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
