order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
23;22;REPSWITCH1/PICTURE_48.png;bombero;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];1,50597E+15;1,58597E+16;1.7772952988743782;2.001286598853767;2.2252920996397734;2.3695810995996;NA;NA;NA;NA;NA;NA;NA;NA;1,50597E+15;;;bombero;darkblue;filler;1;F;1;Stim7_Set4;1,51E+15;3,82E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.01.529.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.505966898985207, 1.5859691994264722, 1.7772952988743782, 2.001286598853767, 2.2252920996397734, 2.3695810995996, 2.466578599065542]
24;23;REPSWITCH1/PICTURE_728.png;pulpo;type;['p', 'u', 'l', 'p', 'o'];1,62402E+16;2,08795E+15;2.3278881991282105;2.583849499002099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,62402E+16;;;pulpo;darkblue;filler;1;F;1;Stim8_Set4;1,56E+16;3,79E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.06.269.wav;1,59E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.6240207990631461, 2.087954799644649, 2.3278881991282105, 2.583849499002099, 2.7603660989552736]
26;25;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'n', 'backspace', 'i', 'n', 't', 'o'];1,26646E+16;1,65042E+16;2.163106099702418;2.4506176989525557;2.594320999458432;2.7387392995879054;NA;NA;NA;NA;NA;NA;NA;NA;1,26646E+16;;;pinto;darkblue;nontarget;1;NT;2;Stim1_Set2;1,65E+16;3,78E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.15.506.wav;1,68E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2664624992758036, 1.6504226988181472, 2.163106099702418, 2.4506176989525557, 2.594320999458432, 2.7387392995879054, 2.8347353991121054]
27;26;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'i', 'n', 't', 'o', 'r'];1,41082E+16;1,63481E+15;1.7788071995601058;1.9548038002103567;2.0835910998284817;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,41082E+16;;;pintor;darkblue;repeat;1;T;2;Stim1_Set2;1,7E+16;1,41E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.20.133.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.4108200995251536, 1.634807899594307, 1.7788071995601058, 1.9548038002103567, 2.0835910998284817, 2.7868483001366258]
29;28;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];1,28436E+16;1,52423E+15;1.747770399786532;1.9399044001474977;2.163906999863684;2.227899800054729;NA;NA;NA;NA;NA;NA;NA;NA;1,28436E+16;;;caracol;darkblue;nontarget;1;NT;2;Stim2_Set2;1,79E+16;4,47E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.29.352.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2843643995001912, 1.524232399649918, 1.747770399786532, 1.9399044001474977, 2.163906999863684, 2.227899800054729, 2.403891899622977]
30;29;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];7,31537E+15;9,22971E+14;1.1315721990540624;1.3229380995035172;1.5149483988061547;1.5950096994638443;NA;NA;NA;NA;NA;NA;NA;NA;7,31537E+15;;;caracol;darkblue;repeat;1;T;2;Stim2_Set2;1,83E+15;1,49E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.33.944.wav;1,86E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.7315365988761187, 0.922970999032259, 1.1315721990540624, 1.3229380995035172, 1.5149483988061547, 1.5950096994638443, 1.7869089990854263]
31;30;REPSWITCH1/PICTURE_264.png;mano;type;['m', 'a', 'n', 'o'];8,67285E+15;9,63301E+15;1.0599804995581508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,67285E+15;;;mano;darkblue;nontarget;1;NT;2;Stim3_Set2;1,88E+15;4,29E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.38.531.wav;1,91E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8672851994633675, 0.9633006993681192, 1.0599804995581508, 1.2195034995675087]
34;33;REPSWITCH1/PICTURE_517.png;cuerda;type;['c', 'u', 'e', 'r', 'd', 'a'];1,00595E+15;1,13394E+15;1.2779105994850397;1.4379755994305015;1.5983133995905519;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00595E+15;;;cuerda;darkblue;switch;1;T;2;Stim4_Set2;2,02E+16;1,46E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h30.52.603.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.005949699319899, 1.133937600068748, 1.2779105994850397, 1.4379755994305015, 1.5983133995905519, 1.790515199303627]
36;35;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];1,18664E+16;1,36308E+16;1.538711099885404;1.683042399585247;1.938994700089097;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,18664E+16;;;granja;darkblue;nontarget;1;NT;2;Stim5_Set2;2,11E+15;4,34E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.01.860.wav;2,14E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1866432996466756, 1.3630756996572018, 1.538711099885404, 1.683042399585247, 1.938994700089097, 2.018984599970281]
38;37;REPSWITCH1/PICTURE_128.png;muñeca;type;['m', 'u', 'ñ', 'e', 'c', 'a'];1,07446E+16;1,29902E+15;2.0187016995623708;2.242454999126494;2.4348586993291974;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,07446E+16;;;muñeca;darkblue;filler;1;F;2;Stim4_Set1;2,21E+15;1,37E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.11.173.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0744558991864324, 1.299023998901248, 2.0187016995623708, 2.242454999126494, 2.4348586993291974, 2.642226099036634]
39;38;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];1,0555E+16;1,16753E+16;1.3912592995911837;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,0555E+16;;;pavo;darkblue;filler;1;F;2;Stim5_Set1;2,25E+16;1,75E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.15.796.wav;2,28E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0554990991950035, 1.1675284998491406, 1.3912592995911837, 1.4713263995945454]
42;41;REPSWITCH1/PICTURE_16.png;cazador;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];1,02955E+14;1,23805E+16;1.414049499668181;1.5734808994457126;1.749805899336934;1.862093299627304;NA;NA;NA;NA;NA;NA;NA;NA;1,02955E+14;;;cazador;darkblue;filler;1;F;2;Stim6_Set1;2,39E+16;1,51E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.29.693.wav;2,42E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.02954759914428, 1.2380499988794327, 1.414049499668181, 1.5734808994457126, 1.749805899336934, 1.862093299627304, 1.9580996995791793]
46;45;REPSWITCH1/PICTURE_169.png;espalda;type;['e', 's', 'p', 'a', 'l', 'a', 'backspace', 'd'];1,37466E+16;1,53455E+15;1.6783065991476178;1.8549901992082596;1.966987798921764;2.0469865994527936;2.8782914988696575;NA;NA;NA;NA;NA;NA;NA;1,37466E+16;;;espald;darkblue;filler;1;F;2;Stim8_Set1;2,58E+15;1,27E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.48.337.wav;2,61E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3746565990149975, 1.534554598852992, 1.6783065991476178, 1.8549901992082596, 1.966987798921764, 2.0469865994527936, 2.8782914988696575, 2.9422968989238143]
48;47;REPSWITCH1/PICTURE_199.png;falda;type;['f', 'a', 'l', 'd', 'a'];9,82231E+13;1,15822E+16;1.254225199110806;1.3819177988916636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,82231E+13;;;falda;darkblue;switch;1;T;2;Stim8_Set2;2,67E+15;1,4E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h31.57.564.wav;2,7E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.98223099950701, 1.1582228988409042, 1.254225199110806, 1.3819177988916636, 1.5419177990406752]
49;48;REPSWITCH1/PICTURE_576.png;guante;type;['g', 'u', 'a', 'n', 't', 'e'];1,24169E+15;1,33858E+16;1.4665455995127559;1.6098531996831298;1.770304299890995;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,24169E+15;;;guante;darkblue;nontarget;1;NT;3;Stim1_Set3;2,72E+16;3,72E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.02.209.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.241694999858737, 1.3385840002447367, 1.4665455995127559, 1.6098531996831298, 1.770304299890995, 1.945911199785769]
52;51;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];9,27443E+15;1,05541E+16;1.183509700000286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,27443E+15;;;miel;darkblue;switch;1;T;3;Stim2_Set3;2,85E+16;1,4E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.15.956.wav;2,88E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9274427993223071, 1.0554080000147223, 1.183509700000286, 1.3117641992866993]
