image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l1.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_135.png,traje,speak,gold,nontarget,2,NT,1,1,1,1,Stim3_Set1,0,None,9,8,9,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,60.472698500030674,61.67439669999294,61.67439669999294,61.67439669999294,61.67439669999294,61.67439669999294,61.67439669999294,61.67439669999294,61.67439669999294,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.11.693.wav,64.70240189996548,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_135.png,traje,type,darkblue,switch,1,T,1,1,1,1,Stim3_Set1,0,None,10,9,10,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,65.20249309996143,66.31370639998931,66.31370639998931,66.31370639998931,66.31370639998931,66.31370639998931,66.31370639998931,66.31370639998931,66.31370639998931,"['t', 'r', 'a', 'j', 'e']",0,"[1.0531188999302685, 1.2290729000233114, 1.2930978999938816, 1.6452155000297353, 1.742071499931626]",traje,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.16.330.wav,69.33478529995773,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_687.png,camisa,speak,gold,filler,2,F,1,1,1,1,Stim5_Set4,0,None,11,10,11,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,69.83527459995821,70.93925479997415,70.93925479997415,70.93925479997415,70.93925479997415,70.93925479997415,70.93925479997415,70.93925479997415,70.93925479997415,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.20.969.wav,73.97426869999617,,None,73.97426869999617,73.97426869999617,73.97426869999617,73.97426869999617,73.97426869999617,73.97426869999617,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_128.png,muñeca,type,darkblue,nontarget,1,NT,1,1,1,1,Stim4_Set1,1,switch,12,11,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,74.47421899996698,75.55107739998493,75.55107739998493,75.55107739998493,75.55107739998493,75.55107739998493,75.55107739998493,75.55107739998493,75.55107739998493,"['m', 'u', 'ñ', 'e', 'c', 'a']",0,"[1.2712538000196218, 1.5275862000416964, 1.9430790999904275, 2.1836468999972567, 2.551761499955319, 2.679207199951634]",muñeca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.25.579.wav,78.58599619998131,,None,78.58599619998131,78.58599619998131,78.58599619998131,78.58599619998131,78.58599619998131,78.58599619998131,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_128.png,muñeca,speak,gold,switch,2,T,1,1,1,1,Stim4_Set1,0,None,13,12,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,79.08607049996499,80.19744429993443,80.19744429993443,80.19744429993443,80.19744429993443,80.19744429993443,80.19744429993443,80.19744429993443,80.19744429993443,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.30.214.wav,83.21853079996072,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_8.png,pierna,speak,gold,filler,2,F,1,1,1,1,Stim3_Set4,0,None,14,13,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,83.7185962999938,84.78844849998131,84.78844849998131,84.78844849998131,84.78844849998131,84.78844849998131,84.78844849998131,84.78844849998131,84.78844849998131,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.34.817.wav,87.82330119994003,,None,87.82330119994003,87.82330119994003,87.82330119994003,87.82330119994003,87.82330119994003,87.82330119994003,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_19.png,pavo,speak,gold,nontarget,2,NT,1,1,1,1,Stim5_Set1,0,None,15,14,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,88.32354999997187,89.44179529999383,89.44179529999383,89.44179529999383,89.44179529999383,89.44179529999383,89.44179529999383,89.44179529999383,89.44179529999383,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.39.461.wav,92.46378819993697,92.96315299998969,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,switch,1,T,1,1,1,1,Stim5_Set1,0,None,16,15,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,92.96315299998969,94.01187359995674,94.01187359995674,94.01187359995674,94.01187359995674,94.01187359995674,94.01187359995674,94.01187359995674,94.01187359995674,"['p', 'a', 'v', 'o']",0,"[1.1791784000815824, 1.8351717999903485, 2.4107786000240594, 2.5387376999715343]",pavo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.44.038.wav,97.03901339997537,97.53923530003522,None,97.03901339997537,97.03901339997537,97.03901339997537,97.03901339997537,97.03901339997537,97.03901339997537,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,nontarget,1,NT,1,1,1,1,Stim6_Set1,1,switch,17,16,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,97.53923530003522,98.61709880002309,98.61709880002309,98.61709880002309,98.61709880002309,98.61709880002309,98.61709880002309,98.61709880002309,98.61709880002309,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,"[1.1018073000013828, 1.229812000063248, 1.4370688000926748, 1.6137320999987423, 1.837660500081256, 2.061634200043045, 2.2225141000235453]",cazador,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.48.635.wav,101.63702140003443,102.1378423999995,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,repeat,1,T,1,1,1,1,Stim6_Set1,0,None,18,17,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,102.1378423999995,103.20051100000273,103.20051100000273,103.20051100000273,103.20051100000273,103.20051100000273,103.20051100000273,103.20051100000273,103.20051100000273,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,"[1.3816163999726996, 1.4776187000097707, 1.6696168999187648, 1.8456799000268802, 2.0857946999603882, 2.3101250999607146, 2.502126900013536]",cazador,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.53.218.wav,106.22152859997004,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
