Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L1p180201_tr100_type_pulpo;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr101_speak_iglesia;iglesia;1007.514;835.734;;;;;;
recording_V2L1p180201_tr102_type_goma;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr103_type_columna;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr104_speak_muñeca;muñeca;1200.000;676.827;;;;;;
recording_V2L1p180201_tr105_speak_muñeca;muñeca;520.000;698.935;;;;;;
recording_V2L1p180201_tr106_type_pierna;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr107_speak_traje;traje;1266.815;453.185;;;;;;
recording_V2L1p180201_tr108_speak_traje;traje;583.096;541.322;;;;;;
recording_V2L1p180201_tr109_type_tenedor;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr10_type_traje;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr110_speak_pulpo;pulpo;1129.392;494.974;;;;;;
recording_V2L1p180201_tr111_speak_cazador;cazador;682.228;705.151;;;;;;
recording_V2L1p180201_tr112_type_cazador;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr113_type_taza;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr114_type_fresa;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr115_speak_fresa;fresa;824.697;573.324;;;;;;
recording_V2L1p180201_tr116_speak_puente;puente;1024.925;634.263;;;;;;
recording_V2L1p180201_tr117_type_puente;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr118_speak_baño;baño;752.000;544.000;;;;;;
recording_V2L1p180201_tr119_type_espalda;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr11_speak_camisa;camisa;936.000;659.761;;;;tongue;;
recording_V2L1p180201_tr120_type_espalda;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr121_speak_bombero;bombero;840.000;727.157;;;;;;
recording_V2L1p180201_tr122_type_pavo;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr123_type_pavo;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr124_speak_vaca;vaca;1080.000;452.335;;;;;;
recording_V2L1p180201_tr125_type_regalo;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr126_type_vaso;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr127_speak_vaso;vaso;788.372;531.039;;;;;;
recording_V2L1p180201_tr128_type_camisa;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr129_type_granja;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr12_type_muñeca;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr130_type_granja;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr131_speak_muñeca;muñeca;776.000;751.360;;;;;;
recording_V2L1p180201_tr132_type_mano;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr133_type_mano;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr134_type_pintor;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr135_speak_pintor;pintor;952.793;667.841;;;;;;
recording_V2L1p180201_tr136_speak_traje;traje;1206.498;492.486;;;;;;
recording_V2L1p180201_tr137_speak_cerdo;cerdo;768.733;674.059;;;;tongue;;
recording_V2L1p180201_tr138_type_cerdo;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr139_type_caracol;[type];0;3000.000;;;;;;
recording_V2L1p180201_tr13_speak_muñeca;muñeca;720.000;633.249;;;;;;
