Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L3_p210103_tr100_type_camisa;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr101_speak_espejo;espejo;1014.134;487.109;;;;;;
recording_V1L3_p210103_tr102_type_miel;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr103_type_pierna;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr104_speak_taza;taza;832.000;353.616;;;;;;
recording_V1L3_p210103_tr105_speak_pavo;pavo;1040.000;329.524;;;;;;
recording_V1L3_p210103_tr106_speak_pavo;pavo;824.000;316.882;;;;;;
recording_V1L3_p210103_tr107_type_vaca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr108_speak_espalda;espalda;1019.105;509.476;;;;;;
recording_V1L3_p210103_tr109_speak_espalda;espalda;825.255;561.666;;;;;;
recording_V1L3_p210103_tr10_type_cazador;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr110_type_pulpo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr111_speak_vaso;vaso;927.150;417.522;;;;;;
recording_V1L3_p210103_tr112_type_vaso;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr113_type_regalo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr114_type_traje;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr115_speak_traje;traje;949.518;400.125;;;;;;
recording_V1L3_p210103_tr116_speak_fresa;fresa;795.432;524.387;;;;;;
recording_V1L3_p210103_tr117_type_fresa;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr118_type_bombero;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr119_speak_camisa;camsia;1024.075;474.682;;;;tongue;;
recording_V1L3_p210103_tr11_type_taza;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr120_type_muñeca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr121_type_muñeca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr122_speak_baño;baño;869.990;439.889;;;;;;
recording_V1L3_p210103_tr123_type_puente;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr124_type_puente;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr125_type_cazador;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr126_speak_cazador;cazador;920.000;591.184;;;;tongue;;
recording_V1L3_p210103_tr127_type_pavo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr128_type_falda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr129_type_falda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr12_type_fresa;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr130_speak_puente;puente;1240.292;434.918;;;;;;
recording_V1L3_p210103_tr131_type_cuerda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr132_type_cuerda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr133_type_espalda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr134_speak_tenedor;tenedor;1760.000;543.978;;;;;;
recording_V1L3_p210103_tr135_type_vaso;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr136_type_manzana;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr137_speak_manzana;manzana;805.373;576.578;;;;;;
recording_V1L3_p210103_tr138_speak_traje;traje;1192.000;411.138;;;;;;
recording_V1L3_p210103_tr139_speak_caracol;caracol;1220.410;561.666;;;;;;
recording_V1L3_p210103_tr13_speak_fresa;fresa;922.180;526.873;;;;;;
recording_V1L3_p210103_tr140_type_caracol;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr141_type_fresa;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr142_type_cerdo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr143_speak_cerdo;cerdo;1170.705;521.902;;;;;;
recording_V1L3_p210103_tr144_speak_mano;mano;1096.000;405.243;;;;;;
recording_V1L3_p210103_tr145_speak_mano;mano;867.504;529.358;;;;;;
recording_V1L3_p210103_tr146_type_muñeca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr147_speak_granja;granja;1248.000;504.253;;;;tongue;;
recording_V1L3_p210103_tr148_speak_granja;granja;872.000;567.111;;;;;;
recording_V1L3_p210103_tr149_type_tronco;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr14_speak_puente;puente;1545.977;424.977;;;;;;
recording_V1L3_p210103_tr150_speak_cazador;cazador;884.901;603.915;;;;tongue;;
recording_V1L3_p210103_tr151_speak_pintor;pintor;976.000;574.948;;;;;;
recording_V1L3_p210103_tr152_type_pintor;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr153_speak_columna;columna;952.000;574.095;;;;;;
recording_V1L3_p210103_tr154_type_oreja;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr155_speak_oreja;oreja;792.000;490.541;;;;;;
recording_V1L3_p210103_tr156_speak_falda;falda;909.754;484.623;;;;;;
recording_V1L3_p210103_tr157_speak_guante;guante;792.000;438.351;;;;;;
recording_V1L3_p210103_tr158_type_guante;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr159_type_cuerda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr15_type_puente;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr160_type_conejo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr161_speak_conejo;conejo;728.331;529.358;;;;;;
recording_V1L3_p210103_tr162_type_manzana;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr163_speak_cartero;cartero;907.268;541.784;;;;;;
recording_V1L3_p210103_tr164_speak_cartero;cartero;683.596;521.902;;;;;;
recording_V1L3_p210103_tr165_speak_caracol;caracol;802.888;561.666;;;;tongue;;
recording_V1L3_p210103_tr166_type_cerdo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr167_speak_miel;miel;1072.000;384.508;;;;;;
recording_V1L3_p210103_tr168_speak_miel;miel;862.534;544.269;;;;;;
recording_V1L3_p210103_tr169_speak_iglesia;iglesia;981.826;616.341;;;;;;
recording_V1L3_p210103_tr16_speak_baño;baño;1384.000;435.354;;;;;;
recording_V1L3_p210103_tr170_type_iglesia;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr171_speak_granja;granja;969.400;484.623;;;;;;
recording_V1L3_p210103_tr172_type_mano;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr173_type_goma;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr174_type_goma;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr175_speak_pintor;pintor;816.000;521.216;;;;;;
recording_V1L3_p210103_tr176_type_aguja;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr177_type_aguja;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr178_type_guante;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr179_speak_espejo;espejo;784.000;590.495;;;;tongue;;
recording_V1L3_p210103_tr17_type_espalda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr180_speak_goma;goma;976.000;473.052;;;;;;
recording_V1L3_p210103_tr181_type_regalo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr182_type_regalo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr183_type_pierna;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr184_speak_pierna;pierna;991.767;402.610;;;;;;
recording_V1L3_p210103_tr185_type_conejo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr186_speak_camisa;camisa;936.000;465.833;;;;exhale before word;;
recording_V1L3_p210103_tr187_speak_camisa;camisa;840.000;462.423;;;;;;
recording_V1L3_p210103_tr188_speak_vaca;vaca;872.000;375.747;;;;;;
recording_V1L3_p210103_tr189_type_vaca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr18_type_espalda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr190_speak_cartero;cartero;937.091;509.476;;;;;;
recording_V1L3_p210103_tr191_type_taza;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr192_speak_taza;taza;1176.000;372.462;;;;;;
recording_V1L3_p210103_tr193_type_cadena;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr194_speak_miel;miel;872.000;410.541;;;;;;
recording_V1L3_p210103_tr195_speak_bombero;bombero;936.000;485.715;;;;;;
recording_V1L3_p210103_tr196_speak_bombero;bombero;848.000;526.495;;;;;;
recording_V1L3_p210103_tr197_type_iglesia;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr198_speak_oreja;oreja;1004.193;519.417;;;;;;
recording_V1L3_p210103_tr199_speak_pulpo;pulpo;952.003;467.227;;;;;;
recording_V1L3_p210103_tr19_speak_bombero;bombero;984.000;456.000;;;;;;
recording_V1L3_p210103_tr1_type_columna;[type];0;2980.000;;;;;;
recording_V1L3_p210103_tr200_type_pulpo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr201_speak_escoba;escoba;835.196;616.341;;;;tongue;;
recording_V1L3_p210103_tr202_type_aguja;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr203_type_baño;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr204_type_baño;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr205_type_espejo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr206_speak_cadena;cadena;960.000;416.000;;;;;;
recording_V1L3_p210103_tr207_speak_puente;puente;896.000;423.820;;;;;;
recording_V1L3_p210103_tr208_speak_puente;puente;745.727;420.007;;;;;;
recording_V1L3_p210103_tr209_type_vaca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr20_type_pavo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr210_speak_fresa;fresa;837.681;489.594;;;;tongue;;
recording_V1L3_p210103_tr211_speak_fresa;fresa;815.314;680.686;;;;;;
recording_V1L3_p210103_tr212_type_baño;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr213_speak_traje;traje;1176.000;402.285;;;;;;
recording_V1L3_p210103_tr214_type_traje;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr215_speak_camisa;camisa;896.000;490.921;;;;;;
recording_V1L3_p210103_tr216_type_muñeca;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr217_speak_muñeca;muñeca;1096.147;559.181;;;;;;
recording_V1L3_p210103_tr218_speak_pierna;pierna;1066.324;454.800;;;;;;
recording_V1L3_p210103_tr219_speak_pavo;pavo;1533.551;347.935;;;;;;
recording_V1L3_p210103_tr21_type_pavo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr220_type_pavo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr221_type_cazador;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr222_type_cazador;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr223_speak_taza;taza;1040.000;364.318;;;;;;
recording_V1L3_p210103_tr224_type_bombero;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr225_type_vaso;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr226_type_vaso;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr227_speak_regalo;regalo;984.311;559.181;;;;inhale end of audio;;
recording_V1L3_p210103_tr228_type_pulpo;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr229_type_espalda;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr22_speak_vaca;vaca;1360.000;414.620;;;;;;
recording_V1L3_p210103_tr230_speak_espalda;espalda;832.711;579.063;;;;;;
recording_V1L3_p210103_tr231_speak_puente;puente;1240.292;434.918;;;;;;
recording_V1L3_p210103_tr232_type_pintor;[type];0;3000.000;;;;;;
recording_V1L3_p210103_tr233_type_pintor;[type];0;3000.000;;;;;;
