image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,textBlank500.stopped,textboxPause.started,textboxPause.stopped,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_128.png,muñeca,speak,yellow,switch,2,T,1,Stim4_Set1,10,9,0,9,9,9,,69.73059749999084,,,,,,,,,,,,,,,,,,,,,,65.56502870004624,66.73109319992363,66.73109319992363,66.73109319992363,66.73109319992363,66.73109319992363,66.73109319992363,66.73109319992363,0.002378900069743395,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_8.png,pierna,speak,yellow,filler,2,F,1,Stim3_Set4,11,10,0,10,10,10,,74.36284739989787,,,,,,,,,,,,,,,,,,,,,,70.23053539986722,71.36349390004762,71.36349390004762,71.36349390004762,71.36349390004762,71.36349390004762,71.36349390004762,71.36349390004762,0.002179499948397279,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_19.png,pavo,speak,yellow,nontarget,2,NT,1,Stim5_Set1,12,11,0,11,11,11,,79.02830759994686,,,,,,,,,,,,,,,,,,,,,,74.86261159996502,76.02900539990515,76.02900539990515,76.02900539990515,76.02900539990515,76.02900539990515,76.02900539990515,76.02900539990515,0.0031742998398840427,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,switch,1,T,1,Stim5_Set1,13,12,0,12,12,12,,83.77721720002592,,,,,,,,,,,,,,,,,,,,,,79.52843829989433,80.77813389990479,80.77813389990479,80.77813389990479,80.77813389990479,80.77813389990479,80.77813389990479,80.77813389990479,0.0029919000808149576,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_498.png,taza,speak,yellow,filler,2,F,1,Stim4_Set4,14,13,0,13,13,13,,88.35965220001526,,,,,,,,,,,,,,,,,,,,,,84.2772462000139,85.36007329984568,85.36007329984568,85.36007329984568,85.36007329984568,85.36007329984568,85.36007329984568,85.36007329984568,0.0025211998727172613,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,nontarget,1,NT,1,Stim6_Set1,15,14,0,14,14,14,,93.07498749997467,,,,,,,,,,,,,,,,,,,,,,88.85933530004695,90.06050899997354,90.06050899997354,90.06050899997354,90.06050899997354,90.06050899997354,90.06050899997354,90.06050899997354,0.002798799891024828,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,repeat,1,T,1,Stim6_Set1,16,15,0,15,15,15,,97.62363309995271,,,,,,,,,,,,,,,,,,,,,,93.5748749000486,94.62437610002235,94.62437610002235,94.62437610002235,94.62437610002235,94.62437610002235,94.62437610002235,94.62437610002235,0.0026747998781502247,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_687.png,camisa,speak,yellow,filler,2,F,1,Stim5_Set4,17,16,0,16,16,16,,102.33937379997224,,,,,,,,,,,,,,,,,,,,,,98.12372529995628,99.34028419991955,99.34028419991955,99.34028419991955,99.34028419991955,99.34028419991955,99.34028419991955,99.34028419991955,0.0022636998910456896,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,nontarget,1,NT,1,Stim7_Set1,18,17,0,17,17,17,,106.90358949988149,,,,,,,,,,,,,,,,,,,,,,102.8395378999412,103.8901664998848,103.8901664998848,103.8901664998848,103.8901664998848,103.8901664998848,103.8901664998848,103.8901664998848,0.0021964001934975386,None,0,,None,106.90358949988149,106.90358949988149,106.90358949988149,106.90358949988149,106.90358949988149,106.90358949988149,2.999745300039649,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,repeat,1,T,1,Stim7_Set1,19,18,0,18,18,18,,111.45403279992752,,,,,,,,,,,,,,,,,,,,,,107.40490580000915,108.43932949984446,108.43932949984446,108.43932949984446,108.43932949984446,108.43932949984446,108.43932949984446,108.43932949984446,0.0022647001314908266,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
