image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l1.clip,textBlankLoop.started,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textBlankLoop.stopped,textboxPause.started,keyPause.started,keyPause.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_30.png,granja,speak,gold,switch,2,T,2,1,1,1,Stim5_Set2,0,None,40,39,40,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,197.35582589998376,198.43924929999048,198.43924929999048,198.43924929999048,198.43924929999048,198.43924929999048,198.43924929999048,198.43924929999048,198.43924929999048,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h51.59.750.wav,201.4604908999754,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,filler,1,F,2,1,1,1,Stim7_Set1,0,None,41,40,41,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,201.96057599998312,203.06485889997566,203.06485889997566,203.06485889997566,203.06485889997566,203.06485889997566,203.06485889997566,203.06485889997566,203.06485889997566,"['v', 'a', 's', 'o']",0,"[0.9165993000206072, 0.9968301000189967, 1.2527356000209693, 1.3487292999925558]",vaso,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.04.373.wav,206.08602369998698,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_19.png,pavo,speak,gold,filler,2,F,2,1,1,1,Stim5_Set1,1,switch,42,41,42,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,206.58601129997987,207.628023999976,207.628023999976,207.628023999976,207.628023999976,207.628023999976,207.628023999976,207.628023999976,207.628023999976,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.08.948.wav,210.6621737999958,None,210.6621737999958,210.6621737999958,210.6621737999958,210.6621737999958,210.6621737999958,210.6621737999958,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_552.png,manzana,speak,gold,nontarget,2,NT,2,1,1,1,Stim6_Set2,1,repeat,43,42,43,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,211.16227429997525,212.23185209999792,212.23185209999792,212.23185209999792,212.23185209999792,212.23185209999792,212.23185209999792,212.23185209999792,212.23185209999792,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.13.544.wav,215.25334549997933,None,,,,,,,215.75405119999778,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_552.png,manzana,speak,gold,repeat,2,T,2,1,1,1,Stim6_Set2,0,None,44,43,44,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,215.75405119999778,216.8653204999864,216.8653204999864,216.8653204999864,216.8653204999864,216.8653204999864,216.8653204999864,216.8653204999864,216.8653204999864,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.18.185.wav,219.8926833999867,None,219.8926833999867,219.8926833999867,219.8926833999867,219.8926833999867,219.8926833999867,219.8926833999867,220.39273069999763,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,filler,1,F,2,1,1,1,Stim6_Set1,0,None,45,44,45,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,220.39273069999763,221.55972329998622,221.55972329998622,221.55972329998622,221.55972329998622,221.55972329998622,221.55972329998622,221.55972329998622,221.55972329998622,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,"[1.0294853000086732, 1.12641260001692, 1.3817895000101998, 1.55779680001433, 1.7017557000217494, 1.8457873000006657, 1.9897847000102047]",cazador,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.22.876.wav,224.58835509998607,None,224.58835509998607,224.58835509998607,224.58835509998607,224.58835509998607,224.58835509998607,224.58835509998607,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_446.png,cerdo,speak,gold,nontarget,2,NT,2,1,1,1,Stim7_Set2,1,switch,46,45,46,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,225.08879449998494,226.22072909999406,226.22072909999406,226.22072909999406,226.22072909999406,226.22072909999406,226.22072909999406,226.22072909999406,226.22072909999406,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.27.533.wav,229.24887749998015,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_446.png,cerdo,speak,gold,repeat,2,T,2,1,1,1,Stim7_Set2,0,None,47,46,47,0,46,46,46,,,,,,,,,,,,,,,,,,,,,,,229.74905729998136,230.9156970999902,230.9156970999902,230.9156970999902,230.9156970999902,230.9156970999902,230.9156970999902,230.9156970999902,230.9156970999902,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.32.225.wav,233.93691689998377,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_590.png,escoba,type,darkblue,filler,1,F,2,1,1,1,Extra3,0,None,48,47,48,0,47,47,47,,,,,,,,,,,,,,,,,,,,,,,234.43704219997744,235.56237819997477,235.56237819997477,235.56237819997477,235.56237819997477,235.56237819997477,235.56237819997477,235.56237819997477,235.56237819997477,"['e', 's', 'x', 'o', 'b', 'a']",0,"[0.9310876999807078, 1.1871225999784656, 1.4591242999886163, 1.8268038999813143, 2.0027809999883175, 2.1787851999979466]",esxoba,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.36.874.wav,238.58347679997678,None,,,,,,,239.08373929999652,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_169.png,espalda,speak,gold,filler,2,F,2,1,1,1,Stim8_Set1,0,None,49,48,49,0,48,48,48,,,,,,,,,,,,,,,,,,,,,,,239.08373929999652,240.14613219999592,240.14613219999592,240.14613219999592,240.14613219999592,240.14613219999592,240.14613219999592,240.14613219999592,240.14613219999592,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.41.455.wav,243.16728169997805,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_199.png,falda,speak,gold,nontarget,2,NT,2,1,1,1,Stim8_Set2,1,repeat,50,49,50,0,49,49,49,,,,,,,,,,,,,,,,,,,,,,,243.6673164999811,244.7648482999939,244.7648482999939,244.7648482999939,244.7648482999939,244.7648482999939,244.7648482999939,244.7648482999939,244.7648482999939,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.46.075.wav,247.78534349999973,None,,,,,,,248.28597349999472,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_199.png,falda,type,darkblue,switch,1,T,2,1,1,1,Stim8_Set2,0,None,51,50,51,0,50,50,50,,,,,,,,,,,,,,,,,,,,,,,248.28597349999472,249.43207429998438,249.43207429998438,249.43207429998438,249.43207429998438,249.43207429998438,249.43207429998438,249.43207429998438,249.43207429998438,"['f', 'a', 'l', 'd', 'a']",0,"[1.0291559999750461, 1.1251386999792885, 1.2850100999930874, 1.3810069999890402, 1.4773161999764852]",falda,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h52.50.751.wav,252.46020559998578,space,252.46020559998578,252.46020559998578,252.46020559998578,252.46020559998578,252.46020559998578,252.46020559998578,252.96029209997505,252.96029209997505,252.96029209997505,3.6768639000074472,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.64817919998313,257.8429173999757,257.8429173999757,257.8429173999757,257.8429173999757,257.8429173999757,257.8429173999757,257.8429173999757,257.8429173999757,,,,,,,,,,,,,,,,,,,,,,,,
