image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.started,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l1.clip,textBlankLoop.started,keyPause.keys,textBlankLoop.stopped,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_498.png,taza,speak,gold,filler,2,F,1,1,1,1,Stim4_Set4,0,None,19,18,19,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,93.33199400000012,94.39359269999977,94.39359269999977,94.39359269999977,94.39359269999977,94.39359269999977,94.39359269999977,94.39359269999977,0.004902700000002369,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.54.406.wav,97.41125710000006,None,97.91109329999972,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_48.png,bombero,type,darkblue,filler,1,F,1,1,1,1,Stim7_Set4,0,None,20,19,20,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,97.91109329999972,99.09521020000011,99.09521020000011,99.09521020000011,99.09521020000011,99.09521020000011,99.09521020000011,99.09521020000011,0.005262799999854906,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.59.107.wav,102.11533589999999,None,,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,nontarget,1,NT,1,1,1,1,Stim7_Set1,1,repeat,21,20,21,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,102.61514339999985,103.7405905999999,103.7405905999999,103.7405905999999,103.7405905999999,103.7405905999999,103.7405905999999,103.7405905999999,0.004696499999681691,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.03.753.wav,106.75814309999987,None,107.25810129999991,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,repeat,1,T,1,1,1,1,Stim7_Set1,0,None,22,21,22,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,107.25810129999991,108.35314190000008,108.35314190000008,108.35314190000008,108.35314190000008,108.35314190000008,108.35314190000008,108.35314190000008,0.001274100000046019,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.08.365.wav,111.37068679999993,None,111.87052459999995,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_338.png,regalo,speak,gold,filler,2,F,1,1,1,1,Stim6_Set4,1,switch,23,22,23,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,111.87052459999995,112.90711969999984,112.90711969999984,112.90711969999984,112.90711969999984,112.90711969999984,112.90711969999984,112.90711969999984,0.00445480000007592,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.12.919.wav,115.9249807000001,None,116.42461890000004,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_728.png,pulpo,type,darkblue,filler,1,F,1,1,1,1,Stim8_Set4,1,switch,24,23,24,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,116.42461890000004,117.44757789999994,117.44757789999994,117.44757789999994,117.44757789999994,117.44757789999994,117.44757789999994,117.44757789999994,0.00492420000000493,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.17.460.wav,120.4649000999998,None,120.96485080000002,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_169.png,espalda,type,darkblue,nontarget,1,NT,1,1,1,1,Stim8_Set1,1,repeat,25,24,25,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,120.96485080000002,122.07073989999981,122.07073989999981,122.07073989999981,122.07073989999981,122.07073989999981,122.07073989999981,122.07073989999981,0.004884500000116532,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.22.083.wav,125.08853739999995,None,125.5883758,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_169.png,espalda,speak,gold,switch,2,T,1,1,1,1,Stim8_Set1,0,None,26,25,26,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,125.5883758,126.64701089999971,126.64701089999971,126.64701089999971,126.64701089999971,126.64701089999971,126.64701089999971,126.64701089999971,0.0013315999999576889,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.26.661.wav,129.66785489999984,None,,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,filler,2,F,2,1,1,1,Stim1_Set1,0,None,27,26,27,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,130.16747039999973,131.2373431000001,131.2373431000001,131.2373431000001,131.2373431000001,131.2373431000001,131.2373431000001,131.2373431000001,0.0013781000002381916,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.31.252.wav,134.2578327000001,None,134.7576826999998,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
REPSWITCH1/PICTURE_175.png,pintor,type,darkblue,nontarget,1,NT,2,1,1,1,Stim1_Set2,1,switch,28,27,28,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,134.7576826999998,135.7912339999998,135.7912339999998,135.7912339999998,135.7912339999998,135.7912339999998,135.7912339999998,135.7912339999998,0.004399699999794393,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h34.35.803.wav,138.80912450000005,None,139.30899709999994,,,,,,,,,231845,001,2023-09-15_12h32.21.379,REPSWITCH1_version1_list1,2022.2.4,355.8123730212573,
