image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,micFam.clip,textFam.stopped,textEndFam.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_498.png,taza,0,11,11,23,,146.39967620000243,,,,,,138.23672960000113,139.35266099998262,139.35266099998262,139.35266099998262,0.024858899996615946,143.83470750006381,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h30.50.005.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,12,12,17,,155.04769609996583,,,,,,146.8353290000232,148.0009590999689,148.0009590999689,148.0009590999689,0.025990599999204278,152.4823400999885,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h30.58.654.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,13,13,1,,163.71192400006112,,,,,,155.482515300042,156.6484598000534,156.6484598000534,156.6484598000534,0.026764200069010258,161.1301669999957,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.07.306.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,14,14,8,,172.22655050002504,,,,,,164.13079880003352,165.17973159998655,165.17973159998655,165.17973159998655,0.02796370000578463,169.66196409997065,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.15.837.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,15,15,7,,180.9245412000455,,,,,,172.66126059996895,173.87801190000027,173.87801190000027,173.87801190000027,0.026051399996504188,178.35971280001104,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.24.532.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Practice/PICTURE_612.png,rana,0,16,16,32,,189.6557791000232,,,,,,181.35950530006085,182.57576330006123,182.57576330006123,182.57576330006123,0.014528500032611191,187.0742981999647,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.33.247.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Practice/PICTURE_570.png,toro,0,17,17,34,,198.30387649999466,,,,,,190.07408579997718,191.2246781999711,191.2246781999711,191.2246781999711,0.009368699975311756,195.7224942999892,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.41.900.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,18,18,30,,207.05217130004894,,,,,,198.7221908000065,199.98775169998407,199.98775169998407,199.98775169998407,0.02965119993314147,204.47007060004398,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.50.646.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,19,19,15,,215.68288790003862,,,,,,207.47005360003095,208.63585059996694,208.63585059996694,208.63585059996694,0.03299570002127439,213.117816700018,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h31.59.289.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,20,20,38,,224.36444649996702,,,,,,216.1178867999697,217.30069449997973,217.30069449997973,217.30069449997973,0.010879200068302453,221.79920979996677,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.07.969.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,21,21,13,,232.96213909995276,,,,,,224.79919659998268,225.91500360006467,225.91500360006467,225.91500360006467,0.027474000002257526,230.39691630005836,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.16.570.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,22,22,31,,241.57667490001768,,,,,,233.3971141000511,234.51301049999893,234.51301049999893,234.51301049999893,0.028194100013934076,238.99484699999448,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.25.172.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,23,23,18,,250.24136880005244,,,,,,241.99518009996973,243.1949679000536,243.1949679000536,243.1949679000536,0.027909399941563606,247.67656060005538,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.33.851.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,24,24,12,,258.80582660005894,,,,,,250.67624549998436,251.7589175000321,251.7589175000321,251.7589175000321,0.024257499957457185,256.2409633999923,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.42.412.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,25,25,5,,267.487041400047,,,,,,259.2409506000113,260.423455900047,260.423455900047,260.423455900047,0.029607999953441322,264.9055944000138,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.51.082.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,26,26,2,,276.1849819000345,,,,,,267.9054301000433,269.137912999955,269.137912999955,269.137912999955,0.03021150000859052,273.6044187999796,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h32.59.797.wav,276.10405309998896,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,27,27,24,,284.8829396000365,,,,,,276.6201251000166,277.83598830003757,277.83598830003757,277.83598830003757,0.02749140001833439,282.3178475999739,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h33.08.490.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,28,28,10,,293.54745309997816,,,,,,285.31784819997847,286.5000500000315,286.5000500000315,286.5000500000315,0.022901399992406368,290.9822784999851,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h33.17.150.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_446.png,cerdo,0,29,29,20,,302.3952520999592,,,,,,293.9832381999586,295.3482600999996,295.3482600999996,295.3482600999996,0.02845130010973662,299.8303848999785,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h33.26.005.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,30,30,25,,311.1599797999952,,,,,,302.83129999996163,304.09612340002786,304.09612340002786,304.09612340002786,0.02913150005042553,308.5782243000576,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h33.34.756.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,31,31,0,,319.7579299999634,,,,,,311.57949459995143,312.71077210002113,312.71077210002113,312.71077210002113,0.02374740003142506,317.1929976999527,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h33.43.362.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,32,32,21,,328.3558238999685,,,,,,320.1929597000126,321.30876329995226,321.30876329995226,321.30876329995226,0.031482999911531806,325.7907615000149,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h33.51.958.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Practice/PICTURE_599.png,nube,0,33,33,33,,336.9035433999961,,,,,,328.7909883999964,329.82401860004757,329.82401860004757,329.82401860004757,0.007113100029528141,334.32221220002975,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h34.00.497.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,34,34,16,,345.4851574000204,,,,,,337.3221960000228,338.43824289995246,338.43824289995246,338.43824289995246,0.032280500046908855,342.920075800037,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h34.09.090.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,35,35,14,,354.18285159999505,,,,,,345.9219297999516,347.1358774000546,347.1358774000546,347.1358774000546,0.03145089989993721,351.61792890005745,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h34.17.786.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,36,36,3,,362.7810462999623,,,,,,354.6182409999892,355.7170198999811,355.7170198999811,355.7170198999811,0.028813599958084524,360.19916119996924,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h34.26.375.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,37,37,22,,371.49576119997073,,,,,,363.2008003999945,364.43163530004676,364.43163530004676,364.43163530004676,0.026840600068680942,368.89713489997666,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h34.35.088.wav,371.39995820005424,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
REPSWITCH1_Practice/PICTURE_733.png,gafas,0,38,38,35,,380.12657710001804,,,,,,371.9155892999843,373.04646510002203,373.04646510002203,373.04646510002203,0.007478300016373396,377.54512869997416,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h28.46.938_micFam_recorded\recording_micFam_2023-06-26_12h34.43.723.wav,,,01,001,2023-06-26_12h28.46.938,Fam,2022.2.4,59.98515967022708,
,,,,,,,380.5449188000057,,,,,,,,,,,,,,381.0461030000588,,,,,,,
