Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
image;correctAns;famTrials.thisRepN;famTrials.thisTrialN;famTrials.thisN;famTrials.thisIndex;textWelcomeFam.started;textboxInstrFam.started;keyInstrFam.started;keyInstrFam.keys;keyInstrFam.rt;fixationITI.started;fixationITI.stopped;polygonWhiteFam.started;imageFam.started;micFam.started;textFam.started;textFam.stopped;micFam.clip;textBlankLoop.started;textBlankLoop.stopped;polygonWhiteFam.stopped;imageFam.stopped;textboxEndFam.started;keyEndFam.started;keyEndFam.keys;keyEndFam.rt;participant;session;date;expName;psychopyVersion;frameRate;
REPSWITCH1_Fam/PICTURE_19.png;pavo;0;19;19;8;;;;;;171.02427689998876;172.1147357999871;172.1147357999871;172.1147357999871;172.1147357999871;175.60029080000822;178.10079500000575;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.12.267.wav;178.15634670000873;;178.15634670000873;178.15634670000873;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_498.png;taza;0;20;20;23;;;;;;178.65640800000983;179.7685480999935;179.7685480999935;179.7685480999935;179.7685480999935;183.25475289998576;185.7544568000012;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.19.919.wav;185.80321320000803;186.30386129999533;185.80321320000803;185.80321320000803;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_610.png;miel;0;21;21;27;;;;;;186.30386129999533;187.38862799998606;187.38862799998606;187.38862799998606;187.38862799998606;190.87374740000814;193.37346329999855;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.27.538.wav;193.42232369998237;193.9222882000031;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_110.png;mesa;0;22;22;37;;;;;;193.9222882000031;195.11080510000465;195.11080510000465;195.11080510000465;195.11080510000465;198.59709359999397;201.09665799999493;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.35.261.wav;201.14530709999963;201.64551740000024;201.14530709999963;201.14530709999963;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_733.png;gafas;0;23;23;35;;;;;;201.64551740000024;202.71597499999916;202.71597499999916;202.71597499999916;202.71597499999916;206.20218389999354;208.701836799999;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.42.867.wav;208.75059340000735;209.2506679999933;208.75059340000735;208.75059340000735;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_271.png;conejo;0;24;24;13;;;;;;209.2506679999933;210.3348694999877;210.3348694999877;210.3348694999877;210.3348694999877;213.8211672999896;216.32165949998307;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.50.476.wav;216.3703961999854;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_169.png;espalda;0;25;25;5;;;;;;216.8705178000091;217.933194799989;217.933194799989;217.933194799989;217.933194799989;221.4193835000042;223.91924389998894;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h32.58.084.wav;223.96801229999983;224.4679044999939;223.96801229999983;223.96801229999983;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_517.png;cuerda;0;26;26;24;;;;;;224.4679044999939;225.60077640000964;225.60077640000964;225.60077640000964;225.60077640000964;229.0870503000042;231.5869357000047;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.05.750.wav;231.63552409998374;232.13559029999305;231.63552409998374;231.63552409998374;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_381.png;fresa;0;27;27;19;;;;;;232.13559029999305;233.22713579999981;233.22713579999981;233.22713579999981;233.22713579999981;236.7132844000007;239.21276920000673;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.13.379.wav;239.260956299986;239.7615831999865;239.260956299986;239.260956299986;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_16.png;cazador;0;28;28;4;;;;;;239.7615831999865;240.86690379999345;240.86690379999345;240.86690379999345;240.86690379999345;244.35305089998292;246.85278230000404;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.21.018.wav;246.90156639998895;247.40146389999427;246.90156639998895;246.90156639998895;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_391.png;cadena;0;29;29;40;;;;;;247.40146389999427;248.55526170000667;248.55526170000667;248.55526170000667;248.55526170000667;252.04143700000714;254.54106280000997;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.28.706.wav;254.58993459999328;255.09015219999128;254.58993459999328;254.58993459999328;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
