image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,polygonWhiteFam.stopped,imageFam.stopped,micFam.stopped,textFam.started,micFam.clip,textFam.stopped,textEndFam.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,33.92899590000161,35.93285710000782,36.43440610001562,36.43440610001562,space,12.83217239996884,,,,,,,,,,,,,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,0,0,0,,58.570956900017336,,,,,49.924539900006494,49.924539900006494,51.155647700012196,51.155647700012196,51.155647700012196,0.051673300011316314,55.1617244000081,55.1617244000081,4.132552399998531,55.538509200006956,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h24.38.461.wav,,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,1,1,1,,67.62747050001053,,,,,,59.044525000004796,60.13645879999967,60.13645879999967,60.13645879999967,0.0240332999965176,64.14485930002411,64.14485930002411,4.0318134000117425,64.60976700001629,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h24.47.527.wav,67.62747050001053,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,2,2,2,,76.74302920000628,,,,,,68.12565460000769,69.24823970001307,69.24823970001307,69.24823970001307,0.026146500022150576,73.25761790000251,73.25761790000251,4.031936000013957,73.72417390000192,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h24.56.642.wav,76.74302920000628,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,3,3,3,,85.86963600001764,,,,,,77.24020440000459,78.38050190001377,78.38050190001377,78.38050190001377,0.039291499997489154,82.39178270002594,82.39178270002594,4.047930800006725,82.8491641000146,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h25.05.771.wav,,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,4,4,4,,94.9920333000191,,,,,,86.35474880001857,87.55108860001201,87.55108860001201,87.55108860001201,0.08265799999935552,91.5533794000221,91.5533794000221,4.081582200014964,91.96984540001722,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h25.14.887.wav,94.9920333000191,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,5,5,5,,104.085496100015,,,,,,95.48592060001101,96.59306430001743,96.59306430001743,96.59306430001743,0.028127600002335384,100.60104270000011,100.60104270000011,4.03149829999893,101.06774030000088,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h25.23.985.wav,104.085496100015,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,6,6,6,,113.19864010001766,,,,,,104.58380910000415,105.7076359000057,105.7076359000057,105.7076359000057,0.02821260000928305,109.7191870000097,109.7191870000097,4.031831400003284,110.18222220000462,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h25.33.099.wav,113.19864010001766,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,7,7,7,,122.34667560001253,,,,,,113.69803100000718,114.86392620002152,114.86392620002152,114.86392620002152,0.038129799999296665,118.86295970002539,118.86295970002539,4.031706899986602,119.33329520002007,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h25.42.262.wav,,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,8,8,8,,131.50020290000248,,,,,,122.84571310001775,123.98684050000156,123.98684050000156,123.98684050000156,0.015496299980441108,127.99449890002143,127.99449890002143,4.016327499994077,128.4779239000054,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h25.51.396.wav,131.50020290000248,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,9,9,9,,140.74253390001832,,,,,,131.9937502000248,133.2510189000168,133.2510189000168,133.2510189000168,0.028103899996494874,137.26009510000586,137.26009510000586,4.031804700003704,137.72558560001198,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h26.00.643.wav,140.74253390001832,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,10,10,10,,149.94242780000786,,,,,,141.24124620002112,142.4521442000114,142.4521442000114,142.4521442000114,0.03210840001702309,146.46093610001844,146.46093610001844,4.0321162000182085,146.9234059000155,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h26.09.841.wav,149.94242780000786,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,11,11,11,,159.30493920002482,,,,,,150.4392883000255,151.80439740000293,151.80439740000293,151.80439740000293,0.036812499980442226,155.81142030001502,155.81142030001502,4.0318135999841616,156.2769316000049,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h26.19.204.wav,,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,12,12,12,,168.46180110002751,,,,,,159.78705390001414,160.95794180000667,160.95794180000667,160.95794180000667,0.02426560001913458,164.9716871000128,164.9716871000128,4.031981700012693,165.4355748000089,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h26.28.353.wav,168.46180110002751,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,13,13,13,,177.7813051000121,,,,,,168.9515201000031,170.2904925000039,170.2904925000039,170.2904925000039,0.027176600007805973,174.302216400014,174.302216400014,4.03203579998808,174.7669098000042,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h26.37.683.wav,177.7813051000121,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,14,14,14,,186.92095490000793,,,,,,178.2826740000164,179.42956580000464,179.42956580000464,179.42956580000464,0.035227499989559874,183.4375300000247,183.4375300000247,4.032140099996468,183.8980538000178,D:\GitHub\experiment1\data/1_REPSWITCH_1_Fam_2023-06-09_09h24.01.346_micFam_recorded\recording_micFam_2023-06-09_09h26.46.815.wav,186.92095490000793,,1,001,2023-06-09_09h24.01.346,REPSWITCH_1_Fam,2022.2.5,59.97008691976817,
