Column1;Trial_no;CorrectAns;SubjResponse;Notes;Backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv2l1.started
23;23;regalo;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.82266E+14
24;24;pulpo;pulpo;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'u', 'l', 'p', 'o'];0.947495100088418;1.21882799989544;1.55548249999993;1.68309410009533;1.8270966000855;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.87058E+13
25;25;espalda;espalda;NA;0;1;NA;NA;NA;NA;NA;type;['e', 's', 'p', 'a', 'l', 'd', 'a'];1.2649395999033;1.37692290008999;1.47289759991691;1.55291999992914;1.64890579995699;1.77693319995888;1.95293230004609;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.91684E+14
26;26;espalda;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.9631E+14
27;27;puente;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;2.00894E+14
28;28;pintor;pintor;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'i', 'n', 't', 'o', 'r'];0.630009099841118;0.933856199961156;1.06169889983721;1.25369229982607;1.33366329991259;1.43071029987186;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;2.05568E+13
29;29;pintor;pintor;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'i', 'n', 't', 'o', 'r'];1.0031407000497;1.21075720014051;1.37075550016016;1.48274540016428;1.5947583001107;1.69076370005496;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;2.10186E+14
30;30;fresa;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;2.14777E+14
31;31;caracol;caracol;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];0.796713700052351;0.924744799965993;0.988700799876824;1.11669629998505;1.14870289992541;1.43655960005708;1.56449160003103;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;2.19417E+14
32;32;caracol;carcaol;NA;0;0;NA;NA;NA;NA;NA;type;['c', 'a', 'r', 'c', 'a', 'o', 'l'];0.734171399846673;0.862113399896771;0.878154499921948;1.05415099998936;1.07021789997816;1.4383445000276;1.58233279990964;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;2.24007E+14
33;33;mu?eca;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;2.28696E+14
