Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L2_p440202_tr100_type_bombero;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr101_speak_cadena;cadena;816.000;424.000;;;;;;
recording_V2L2_p440202_tr102_type_escoba;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr103_type_espejo;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr104_speak_cadena;cadena;728.000;368.000;;;;;;
recording_V2L2_p440202_tr105_speak_puente;puente;685.667;418.333;;;;;;
recording_V2L2_p440202_tr106_speak_puente;puente;615.617;416.383;;;;;;
recording_V2L2_p440202_tr107_type_vaca;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr108_speak_fresa;fresa;790.742;521.258;;;;;;
recording_V2L2_p440202_tr109_speak_fresa;fresa;495.531;512.469;;;;;;
recording_V2L2_p440202_tr10_speak_espalda;espalda;600.000;606.039;;;;;;
recording_V2L2_p440202_tr110_type_baño;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr111_speak_traje;traje;668.154;430.308;;;;;;
recording_V2L2_p440202_tr112_type_traje;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr113_speak_camisa;camisa;650.642;429.358;;;;;;
recording_V2L2_p440202_tr114_type_muñeca;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr115_speak_muñeca;muñeca;584.000;480.000;;;;;;
recording_V2L2_p440202_tr116_speak_pierna;pierna;578.090;420.301;;;;;;
recording_V2L2_p440202_tr117_speak_pavo;pavo;623.122;327.735;;;;;;
recording_V2L2_p440202_tr118_type_pavo;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr119_type_cazador;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr11_type_espalda;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr120_type_cazador;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr121_speak_taza;taza;798.247;392.781;;;;;;
recording_V2L2_p440202_tr122_type_bombero;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr123_type_vaso;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr124_type_vaso;[type];0;3000.000;;;;;;
recording_V2L2_p440202_tr125_speak_regalo;regalo;544.000;440.000;;;;;;
