Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1;Column2
recording_V1L3_p050103_tr100_type_camisa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr101_speak_espejo;espejo;832;618.997;;;;;;;
recording_V1L3_p050103_tr102_type_miel;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr103_type_pierna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr104_speak_taza;taza;;729.171;390.829;;;;;;
recording_V1L3_p050103_tr105_speak_pavo;pavo;812.102;349.842;;;;;;;
recording_V1L3_p050103_tr106_speak_pavo;pavo;728;352;;;;tongue;;;
recording_V1L3_p050103_tr107_type_vaca;[type];0;3000;0;;;started speaking, then typed;1;;
recording_V1L3_p050103_tr108_speak_espalda;espalda;1082.547;640.136;;;;;;;
recording_V1L3_p050103_tr109_speak_espalda;espalda;712;634.789;;;;;;;
recording_V1L3_p050103_tr10_type_cazador;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr110_type_pulpo;;0;3000;[type];;;;;;
recording_V1L3_p050103_tr111_speak_vaso;vaso;693.533;480.817;;;;;;;
recording_V1L3_p050103_tr112_type_vaso;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr113_type_regalo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr114_type_traje;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr115_speak_traje;traje;744.222;501.192;;;;;;;
recording_V1L3_p050103_tr116_speak_fresa;fresa;712.236;562.6;;;;;;;
recording_V1L3_p050103_tr117_type_fresa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr118_type_bombero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr119_speak_camisa;camisa;993.226;615.324;;;;;;;
recording_V1L3_p050103_tr11_type_taza;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr120_type_muñeca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr121_type_muñeca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr122_speak_baño;baño;937.4;501.192;;;;tongue;;;
recording_V1L3_p050103_tr123_type_puente;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr124_type_puente;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr125_type_cazador;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr126_speak_cazador;cazador;763.041;633.933;;;;tongue;;;
recording_V1L3_p050103_tr127_type_pavo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr128_type_falda;[type];0;3000;;;;yawn;;;
recording_V1L3_p050103_tr129_type_falda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr12_type_fresa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr130_speak_puente;puente;908.867;439.163;;;;;;;
recording_V1L3_p050103_tr131_type_cuerda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr132_type_cuerda;[type];0;3000;;;;;;;
