Word	PhoWord	Length_Ortho	Length_Phono	Freq_per_million	OTAN	PTAN
board	b.or.d	5	3	64.1569	6	37
lung	l.V.N	4	3	8.2353	16	22
mouth	m.aU.T	5	3	104.4118	5	8
bowling	b.oU.l.I.N	7	5	10.6863	4	13
pin	p.I.n	3	3	16.3725	30	45
clover	k.l.oU.v.56	6	5	1.3137	8	7
strawberry	s.t.r0.O.b.E.r0.i	10	8	5.5294	0	0
dress	d.r0.E.s	5	4	87.1961	4	9
choir	k.w.aI.56	5	4	5.3137	2	6
frog	f.r0.A.g	4	4	11.8235	5	5
watermelon	w.O.t.56.m.E.l.5.n	10	9	2.1961	1	1
candle	k.1.n.d.l	6	5	8.0196	3	9
bib	b.I.b	3	3	0.4902	13	20
drum	d.r0.V.m	4	4	8.4706	3	9
island	aI.l.5.n.d	6	5	39.5686	2	5
church	tS.36.tS	6	3	69.6667	0	6
football	f.U.t.b.O.l	8	6	37.5294	0	0
hand	h.1.n.d	4	4	279.6471	15	24
keyboard	k.i.b.or.d	8	5	1.8039	1	2
pillar	p.I.l.56	6	4	1.5882	1	16
windmill	w.I.n.d.m.I.l	8	7	1.2745	1	1
jumper	dZ.V.m.p.56	6	5	2.2941	4	8
shirt	S.36.t	5	3	46.3725	6	16
bull	b.U.l	4	3	27.5098	15	20
octopus	A.k.t.A.p.5.s	7	7	1.9412	0	0
cage	k.eI.dZ	4	3	20.2745	18	21
battery	b.1.t.56.r0.i	7	6	12.4118	1	1
jellyfish	dZ.E.l.I.f.I0.S	9	7	1.451	0	0
controller	k.A.n.t.r0.oU.l.56	10	8	1.2941	2	4
tongue	t.V.N	6	3	31.1569	1	24
recorder	r0.I0.k.or.d.56	8	6	4.9412	2	1
tie	t.aI	3	2	44.4314	23	58
walking	w.O.k.I.N	7	5	75.0196	3	7
stick	s.t.I.k	5	4	97.1176	10	26
leg	l.E.g	3	3	56.5098	19	16
of	V.v	2	2	11577.2353	9	14
meat	m.i.t	4	3	43.6471	18	35
honey	h.V.n.i	5	4	300.4902	9	16
bracelet	b.r0.eI.s.l.5.t	8	7	7.8039	1	1
scales	s.k.eI.l.z	6	5	2.0196	5	8
sledge	s.l.E.dZ	6	4	0.47059	3	4
bath	b.1.T	4	3	31.1176	15	21
fishing	f.I.S.I.N	7	5	23.6078	1	3
rod	r0.A.d	3	3	10.7255	20	31
glass	g.l.1.s	5	4	60.7059	5	9
drum	d.r0.V.m	4	4	8.4706	3	9
kit	k.I.t	3	3	17.6471	20	44
folder	f.oU.l.d.56	6	5	1.6275	8	10
