image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;stimulus;order;psychopy_order;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textBlank500.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micResp.started;keyResp.keys;keyResp.corr;subjResponse;micResp.clip;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column1
REPSWITCH1/PICTURE_517.png;cuerda;type;darkblue;filler;1;F;3;Stim4_Set2;249;248;0;248;248;248;;1.35E+16;;;;;;;;;;;;;;;;;;;;;;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.42E+15;['c', 'u', 'e', 'r', 'd', 'a'];0;cuerda;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h49.58.522.wav;None;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;[0.983105399645865, 1.0470995996147394, 1.191224099136889, 1.3512221993878484, 1.5112216994166374, 1.6712193991988897];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_464.png;goma;speak;gold;nontarget;2;NT;3;Stim6_Set3;250;249;0;249;249;249;;1.36E+16;;;;;;;;;;;;;;;;;;;;;;;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.35E+16;1.26E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.03.200.wav;None;1.36E+16;1.36E+16;1.36E+16;1.36E+16;1.36E+16;1.36E+16;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_464.png;goma;speak;gold;repeat;2;T;3;Stim6_Set3;251;250;0;250;250;250;;1.36E+16;;;;;;;;;;;;;;;;;;;;;;1.36E+16;1.36E+16;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.20E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.07.877.wav;None;1.36E+16;1.36E+16;1.36E+16;1.36E+16;1.36E+16;1.36E+16;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_30.png;granja;type;darkblue;filler;1;F;3;Stim5_Set2;252;251;0;251;251;251;;1.36E+16;;;;;;;;;;;;;;;;;;;;;;1.37E+16;1.36E+16;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.36E+15;1.36E+15;2.09E+16;['g', 'r', 'a', 'n', 'j', 'a'];0;granja;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.12.519.wav;None;1.36E+16;1.36E+16;1.36E+16;1.36E+16;1.36E+16;1.36E+16;[1.3037973986938596, 1.463799599558115, 1.6557567995041609, 1.783789198845625, 1.8789805993437767, 1.9588681990280747];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_199.png;falda;speak;gold;filler;2;F;3;Stim8_Set2;253;252;0;252;252;252;;1.37E+16;;;;;;;;;;;;;;;;;;;;;;;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.47E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.17.159.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_152.png;caracol;type;darkblue;filler;1;F;3;Stim2_Set2;254;253;0;253;253;253;;1.37E+16;;;;;;;;;;;;;;;;;;;;;;1.37E+16;1.37E+15;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.50E+16;['c', 'a', 'r', 'a', 'c', 'i', 'backspace', 'o', 'l'];0;caracol;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.21.712.wav;None;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;1.37E+16;[0.8655254999175668, 1.0736471991986036, 1.2976428996771574, 1.4896508995443583, 1.6656040996313095, 1.7626337995752692, 2.1929480992257595, 2.3699560994282365, 2.5449214996770024];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_320.png;iglesia;speak;gold;nontarget;2;NT;3;Stim8_Set3;255;254;0;254;254;254;;1.38E+16;;;;;;;;;;;;;;;;;;;;;;1.38E+16;1.37E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.53E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.26.268.wav;None;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_320.png;iglesia;speak;gold;repeat;2;T;3;Stim8_Set3;256;255;0;255;255;255;;1.38E+15;;;;;;;;;;;;;;;;;;;;;;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.38E+16;1.48E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.30.936.wav;None;1.38E+15;1.38E+15;1.38E+15;1.38E+15;1.38E+15;1.38E+15;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_35.png;oreja;speak;gold;nontarget;2;NT;3;Stim5_Set3;257;256;0;256;256;256;;1.39E+16;;;;;;;;;;;;;;;;;;;;;;;1.38E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.36E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.35.544.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_35.png;oreja;type;darkblue;switch;1;T;3;Stim5_Set3;258;257;0;257;257;257;;1.39E+15;;;;;;;;;;;;;;;;;;;;;;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.35E+15;['o', 'r', 'e', 'j', 'a'];0;oreja;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.40.130.wav;None;1.39E+15;1.39E+15;1.39E+15;1.39E+15;1.39E+15;1.39E+15;[1.6940564000979066, 1.8387690000236034, 1.9821988996118307, 2.110160400159657, 2.238709599711001];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
