Trial_no;CorrectAns;SubjResponse;Notes;backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv1l1.started
24;pulpo;pulp;;0;;1;0;0;2.0580738;0.863001;type;['p', 'u', 'l', 'p'];2.0580738;2.3450395;2.745127;2.9210748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;130.9889396
25;espalda;espalda;;0;;1;0;0;1.306085;1.0879593;type;['e', 's', 'p', 'a', 'l', 'd', 'a'];1.306085;1.4822349;1.6102109;1.7062112;1.898004;2.1859987;2.3940443;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;135.788148
26;espalda;espalda;;0;;1;0;0;0.538784;0.843341;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;140.4275782
27;puente;puente;;0;;1;0;0;1.176;0.480735;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;145.1574833
28;pintor;pinmtor;;0;;1;0;0;1.2692992;0.9432986;type;['p', 'i', 'n', 'm', 't', 'o', 'r'];1.2692992;1.5087501;1.7168069;1.7342603;1.9571593;2.0686;2.2125978;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;149.8733848
29;pintor;pintor;;0;;1;0;0;0.7563113;1.6157648;type;['p', 'i', 'n', 't', 'o', 'r'];0.7563113;0.9957539;1.3000714;1.4920737;1.6200775;2.3720761;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;154.4502386
30;fresa;fresa;;0;;1;0;0;1.412745;0.47938;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;159.1245273
31;caracol;caracol;;0;;1;0;0;1.1854427;1.0085063;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];1.1854427;1.2814466;1.4733624;1.5533489;1.7939271;2.0179664;2.193949;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;163.8127194
32;caracol;caracol;;0;;1;0;0;1.037181;1.0398341;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];1.037181;1.1332059;1.3410483;1.4210611;1.6770476;1.9330169;2.0770151;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;168.4730118
33;muñeca;muñeca;;0;;1;0;0;1.32;0.592684;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;173.0778494
34;mano;mano;;0;;1;0;0;1.0756309;0.5602119;type;['m', 'a', 'n', 'o'];1.0756309;1.1885769;1.4113324;1.6358428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;177.7306696
35;mano;mano;;0;;1;0;0;0.864;0.392986;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;182.3427412
36;cuerda;cuerda;;0;;1;0;0;2.104124;0.48378;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;186.9684452
37;cuerda;cuerda;;0;;1;0;0;1.0478686;0.8957387;type;['c', 'u', 'e', 'r', 'd', 'a'];1.0478686;1.2557779;1.4155634;1.5755948;1.7675951;1.9436073;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;191.6147798
38;traje;traje;;0;;1;0;0;1.1048667;0.671135;type;['t', 'r', 'a', 'j', 'e'];1.1048667;1.2800492;1.3280333;1.6799917;1.7760017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;196.3099958
39;granja;granja;;0;;1;0;0;1.562864;0.8154471;type;['g', 'r', 'a', 'n', 'j', 'a'];1.562864;1.7710517;1.834322;2.138346;2.3303423;2.3783111;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;200.9075785
40;granja;granja;;0;;1;0;0;1.025988;0.603652;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;205.580928
41;vaso;vaso;;0;;1;0;0;1.0645484;0.3999791;type;['v', 'a', 's', 'o'];1.0645484;1.1285279;1.3044909;1.4645275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;210.2214559
