image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv2l1.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_135.png,traje,speak,darkblue,nontarget,2,NT,1,1,1,2,Stim3_Set1,0,None,9,8,9,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,68.25878049992025,69.34220189996995,69.34220189996995,69.34220189996995,69.34220189996995,69.34220189996995,69.34220189996995,69.34220189996995,69.34220189996995,"['t', 'r', 'a', 'j', 'e']",0,"[1.2117878999561071, 1.367296600015834, 1.4609791999682784, 1.8748922999948263, 1.9129732998553663]",traje,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.00.619.wav,72.37036549998447,,None,72.37036549998447,72.37036549998447,72.37036549998447,72.37036549998447,72.37036549998447,72.37036549998447,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_135.png,traje,type,gold,switch,1,T,1,1,1,2,Stim3_Set1,0,None,10,9,10,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,72.87042489997111,73.94007909996435,73.94007909996435,73.94007909996435,73.94007909996435,73.94007909996435,73.94007909996435,73.94007909996435,73.94007909996435,"['t', 'r', 'a', 'j', 'e']",0,"[1.2839344998355955, 1.4311712000053376, 1.5467896999325603, 1.8647242998704314, 1.9170240999665111]",traje,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.05.216.wav,76.96128459996544,77.46130470000207,None,76.96128459996544,76.96128459996544,76.96128459996544,76.96128459996544,76.96128459996544,76.96128459996544,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_687.png,camisa,speak,darkblue,filler,2,F,1,1,1,2,Stim5_Set4,0,None,11,10,11,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,77.46130470000207,78.48229219997302,78.48229219997302,78.48229219997302,78.48229219997302,78.48229219997302,78.48229219997302,78.48229219997302,78.48229219997302,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.09.759.wav,81.5035143001005,82.00363599997945,None,81.5035143001005,81.5035143001005,81.5035143001005,81.5035143001005,81.5035143001005,81.5035143001005,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_128.png,muñeca,type,gold,nontarget,1,NT,1,1,1,2,Stim4_Set1,1,switch,12,11,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,82.00363599997945,83.13573909993283,83.13573909993283,83.13573909993283,83.13573909993283,83.13573909993283,83.13573909993283,83.13573909993283,83.13573909993283,"['m', 'u', 'ñ', 'e', 'c', 'a']",0,"[1.2632894997950643, 1.4655819998588413, 2.0344533999450505, 2.107165099820122, 2.427272099768743, 2.503111199941486]",muñeca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.14.412.wav,86.16384040005505,,None,86.16384040005505,86.16384040005505,86.16384040005505,86.16384040005505,86.16384040005505,86.16384040005505,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_128.png,muñeca,speak,darkblue,switch,2,T,1,1,1,2,Stim4_Set1,0,None,13,12,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,86.66386709990911,87.80986510007642,87.80986510007642,87.80986510007642,87.80986510007642,87.80986510007642,87.80986510007642,87.80986510007642,87.80986510007642,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.19.087.wav,90.83109949994832,91.3312427001074,None,90.83109949994832,90.83109949994832,90.83109949994832,90.83109949994832,90.83109949994832,90.83109949994832,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_8.png,pierna,speak,darkblue,filler,2,F,1,1,1,2,Stim3_Set4,0,None,14,13,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,91.3312427001074,92.4771897001192,92.4771897001192,92.4771897001192,92.4771897001192,92.4771897001192,92.4771897001192,92.4771897001192,92.4771897001192,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.23.753.wav,95.50540019990876,,None,95.50540019990876,95.50540019990876,95.50540019990876,95.50540019990876,95.50540019990876,95.50540019990876,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_19.png,pavo,speak,darkblue,nontarget,2,NT,1,1,1,2,Stim5_Set1,0,None,15,14,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,96.00546090002172,97.08193619991653,97.08193619991653,97.08193619991653,97.08193619991653,97.08193619991653,97.08193619991653,97.08193619991653,97.08193619991653,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.28.359.wav,100.11008400004357,,None,100.11008400004357,100.11008400004357,100.11008400004357,100.11008400004357,100.11008400004357,100.11008400004357,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_19.png,pavo,type,gold,switch,1,T,1,1,1,2,Stim5_Set1,0,None,16,15,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,100.61022779997438,101.82563539990224,101.82563539990224,101.82563539990224,101.82563539990224,101.82563539990224,101.82563539990224,101.82563539990224,101.82563539990224,"['p', 'a', 'v', 'o']",0,"[1.1177799999713898, 1.2174404999241233, 1.6864107998553663, 1.7910490999929607]",pavo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.33.102.wav,104.84691540012136,105.3469026000239,None,104.84691540012136,104.84691540012136,104.84691540012136,104.84691540012136,104.84691540012136,104.84691540012136,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_16.png,cazador,type,gold,nontarget,1,NT,1,1,1,2,Stim6_Set1,1,switch,17,16,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,105.3469026000239,106.4235046999529,106.4235046999529,106.4235046999529,106.4235046999529,106.4235046999529,106.4235046999529,106.4235046999529,106.4235046999529,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,"[1.092232699971646, 1.1675056000240147, 1.3528872998431325, 1.540260799927637, 1.7488591999281198, 1.8555821999907494, 1.9960274000186473]",cazador,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.37.700.wav,109.44463040004484,109.9447230999358,None,109.44463040004484,109.44463040004484,109.44463040004484,109.44463040004484,109.44463040004484,109.44463040004484,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_16.png,cazador,type,gold,repeat,1,T,1,1,1,2,Stim6_Set1,0,None,18,17,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,109.9447230999358,110.98655289993621,110.98655289993621,110.98655289993621,110.98655289993621,110.98655289993621,110.98655289993621,110.98655289993621,110.98655289993621,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,"[1.2621355999726802, 1.3657366000115871, 1.6713512998539954, 1.8836823999881744, 2.114908899879083, 2.468014699872583, 2.5833246000111103]",cazador,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h34.42.263.wav,114.00774069991894,114.50783000001684,None,114.00774069991894,114.00774069991894,114.00774069991894,114.00774069991894,114.00774069991894,114.00774069991894,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
