image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textboxEndFam.started,keyEndFam.started,textboxEndFam.stopped,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,29,29,18,,250.0065468000248,,,,,,242.926270699827,244.09188069985248,244.09188069985248,244.09188069985248,0.10793260019272566,247.4590567999985,249.95844369987026,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h09.39.539.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,30,30,7,,257.67170049995184,,,,,,250.49121410003863,251.64138929988258,251.64138929988258,251.64138929988258,0.008022500202059746,255.12399269989692,257.6231253000442,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h09.47.204.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,31,31,22,,265.23618440004066,,,,,,258.15618309983984,259.221894999966,259.221894999966,259.221894999966,0.01770800002850592,262.68858859990723,265.1881371999625,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h09.54.767.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,32,32,14,,272.884910200024,,,,,,265.7209037998691,266.97099589998834,266.97099589998834,266.97099589998834,0.10907270014286041,270.3369769998826,272.83616840001196,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.02.417.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,33,33,24,,280.54947369988076,,,,,,273.3688383998815,274.6179035999812,274.6179035999812,274.6179035999812,0.09774270001798868,278.0017399999779,280.50090670003556,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.10.081.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,34,34,31,,288.2639607999008,,,,,,281.0336656998843,282.34952379995957,282.34952379995957,282.34952379995957,0.1103318000677973,285.71656519989483,288.21571779996157,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.17.799.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Practice/PICTURE_733.png,gafas,0,35,35,35,,295.7954635999631,,,,,,288.74839970003814,289.89749609981664,289.89749609981664,289.89749609981664,0.13053039996884763,293.2483613998629,295.74742289981805,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.25.331.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,36,36,25,,303.3940969998948,,,,,,296.28005119995214,297.49592849984765,297.49592849984765,297.49592849984765,0.12832870008423924,300.8464936998207,303.34577719983645,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.32.926.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Practice/PICTURE_614.png,reina,0,37,37,36,,311.1255077000242,,,,,,303.8784355998505,305.21046409988776,305.21046409988776,305.21046409988776,0.11638320004567504,308.5776682998985,311.0771706998348,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.40.656.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,38,38,5,,318.94021589984186,,,,,,311.60972649999894,313.02534179994836,313.02534179994836,313.02534179994836,0.1208281998988241,316.3925286999438,318.8921878999099,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h10.48.475.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
,,,,,,,319.42454589996487,,,,,,,,,,,,,,319.9247438998427,319.9247438998427,320.9241408999078,space,3.332306600175798,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
