image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,micResp.clip,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,repeat,1,T,1,Stim2_Set1,210,209,0,209,209,209,,1170.2514169001952,,,,,,,,,,,,,,,,,,,,,,,1166.187676500529,1167.2226668000221,1167.2226668000221,1167.2226668000221,1167.2226668000221,1167.2226668000221,1167.2226668000221,1167.2226668000221,0.0012298999354243279,"['v', 'a', 's', 'o']",0,vaso,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h46.57.775.wav,None,1170.2514169001952,1170.2514169001952,1170.2514169001952,1170.2514169001952,1170.2514169001952,1170.2514169001952,"[0.783259498886764, 0.9757585991173983, 1.119772999547422, 1.1837726989760995]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_8.png,pierna,type,darkblue,filler,1,F,1,Stim3_Set4,211,210,0,210,210,210,,1174.8622652003542,,,,,,,,,,,,,,,,,,,,,,1175.3623036006466,1170.7513572005555,1171.8351889001206,1171.8351889001206,1171.8351889001206,1171.8351889001206,1171.8351889001206,1171.8351889001206,1171.8351889001206,0.001305699348449707,"['p', 'i', 'e', 'r', 'n', 'a']",0,pierna,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.02.389.wav,None,1174.8622652003542,1174.8622652003542,1174.8622652003542,1174.8622652003542,1174.8622652003542,1174.8622652003542,"[1.1152290999889374, 1.30697609949857, 1.3549774000421166, 1.5148806003853679, 1.6268830997869372, 2.0593143003061414]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_48.png,bombero,speak,gold,filler,2,F,1,Stim7_Set4,212,211,0,211,211,211,,1179.5094226002693,,,,,,,,,,,,,,,,,,,,,,,1175.3623036006466,1176.4884003000334,1176.4884003000334,1176.4884003000334,1176.4884003000334,1176.4884003000334,1176.4884003000334,1176.4884003000334,0.0014661997556686401,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.07.033.wav,None,,,,,,,,,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_135.png,traje,type,darkblue,nontarget,1,NT,1,Stim3_Set1,213,212,0,212,212,212,,1184.1202972000465,,,,,,,,,,,,,,,,,,,,,,1184.6203163005412,1180.0093616005033,1181.0930842002854,1181.0930842002854,1181.0930842002854,1181.0930842002854,1181.0930842002854,1181.0930842002854,1181.0930842002854,0.0013013994321227074,"['t', 'r', 'a', 'k', 'backspace', 'j', 'e']",0,traje,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.11.648.wav,None,1184.1202972000465,1184.1202972000465,1184.1202972000465,1184.1202972000465,1184.1202972000465,1184.1202972000465,"[1.3131978996098042, 1.457349899224937, 1.6653486993163824, 1.7609479995444417, 2.0966670997440815, 2.624945499934256, 2.7209530994296074]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_135.png,traje,type,darkblue,repeat,1,T,1,Stim3_Set1,214,213,0,213,213,213,,1188.822963600047,,,,,,,,,,,,,,,,,,,,,,,1184.6203163005412,1185.8019805001095,1185.8019805001095,1185.8019805001095,1185.8019805001095,1185.8019805001095,1185.8019805001095,1185.8019805001095,0.0012775994837284088,"['t', 'r', 'a', 'j', 'e']",0,traje,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.16.347.wav,None,,,,,,,"[0.8119575995951891, 0.9558570990338922, 1.164224999025464, 1.404217499308288, 1.5162125993520021]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,nontarget,1,NT,1,Stim5_Set1,215,214,0,214,214,214,,1193.3575966004282,,,,,,,,,,,,,,,,,,,,,,1193.8575212005526,1189.3230558000505,1190.3302476005629,1190.3302476005629,1190.3302476005629,1190.3302476005629,1190.3302476005629,1190.3302476005629,1190.3302476005629,0.001726900227367878,"['p', 'a', 'v', 'o']",0,pavo,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.20.886.wav,None,1193.3575966004282,1193.3575966004282,1193.3575966004282,1193.3575966004282,1193.3575966004282,1193.3575966004282,"[1.1481116991490126, 1.2280639987438917, 1.4516728995367885, 1.5316937994211912]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_19.png,pavo,speak,gold,switch,2,T,1,Stim5_Set1,216,215,0,215,215,215,,1198.0732697006315,,,,,,,,,,,,,,,,,,,,,,1198.573318200186,1193.8575212005526,1195.046220600605,1195.046220600605,1195.046220600605,1195.046220600605,1195.046220600605,1195.046220600605,1195.046220600605,0.001740199513733387,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.25.601.wav,None,1198.0732697006315,1198.0732697006315,1198.0732697006315,1198.0732697006315,1198.0732697006315,1198.0732697006315,,,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_446.png,cerdo,type,darkblue,nontarget,1,NT,2,Stim7_Set2,217,216,0,216,216,216,,1202.6781427003443,,,,,,,,,,,,,,,,,,,,,,1203.1780058005825,1198.573318200186,1199.6509119002149,1199.6509119002149,1199.6509119002149,1199.6509119002149,1199.6509119002149,1199.6509119002149,1199.6509119002149,0.0013844994828104973,"['v', 'backspace', 'c', 'e', 'r', 'd', 'o']",0,cerdo,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.30.206.wav,None,1202.6781427003443,1202.6781427003443,1202.6781427003443,1202.6781427003443,1202.6781427003443,1202.6781427003443,"[0.8996502999216318, 1.379657399840653, 1.4756471998989582, 1.6676166001707315, 1.8276097998023033, 1.9715136997401714, 2.0196083998307586]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_446.png,cerdo,type,darkblue,repeat,1,T,2,Stim7_Set2,218,217,0,217,217,217,,1207.3035182002932,,,,,,,,,,,,,,,,,,,,,,1207.8035635007545,1203.1780058005825,1204.268444900401,1204.268444900401,1204.268444900401,1204.268444900401,1204.268444900401,1204.268444900401,1204.268444900401,0.0014049001038074493,"['c', 'e', 'r', 'd', 'o']",0,cerdo,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.34.831.wav,None,1207.2687841001898,1207.2687841001898,1207.2687841001898,1207.2687841001898,1207.2687841001898,1207.2687841001898,"[1.0172338001430035, 1.1939094001427293, 1.3535853996872902, 1.4975635996088386, 1.561558099463582]",,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
REPSWITCH1/PICTURE_142.png,vaso,speak,gold,filler,2,F,2,Stim7_Set1,219,218,0,218,218,218,,1211.971489100717,,,,,,,,,,,,,,,,,,,,,,,1207.8035635007545,1208.9427423002198,1208.9427423002198,1208.9427423002198,1208.9427423002198,1208.9427423002198,1208.9427423002198,1208.9427423002198,0.0012523001059889793,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h47.39.495.wav,None,1211.971489100717,1211.971489100717,1211.971489100717,1211.971489100717,1211.971489100717,1211.971489100717,,,,,,,010100,001,2023-07-17_16h27.34.455,REPSWITCH1_v2022.2.4,2022.2.4,144.06917648733958,
