image,correctAns,respModal,frameColor,repSwitch,sequence,target,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textCue.started,polygonCol.started,polygonWh.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,79.03545049999957,81.02907839999534,81.53114879998611,81.53114879998611,space,1.7943148000049405,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,,,,,,0,0,0,0,,,,,,92.62640239999746,,,,,84.07618589999038,84.07618589999038,85.27698249998502,85.27698249998502,85.27698249998502,89.27663720000419,89.27663720000419,89.64183259999845,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_142.png,vaso,,,,,,0,1,1,1,,,,,,101.77375950000715,,,,,,93.12640569999348,94.37496899999678,94.37496899999678,94.37496899999678,98.37459089999902,98.37459089999902,98.77299639998819,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_152.png,caracol,,,,,,0,2,2,2,,,,,,111.02181669999845,,,,,,102.27374599999166,103.63955500000156,103.63955500000156,103.63955500000156,107.63940419998835,107.63940419998835,108.02092290000292,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_16.png,cazador,,,,,,0,3,3,3,,,,,,120.1864193000074,,,,,,111.52192930001183,112.80364190001274,112.80364190001274,112.80364190001274,116.80360129999463,116.80360129999463,117.1851425000059,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_175.png,pintor,,,,,,0,4,4,4,,,,,,129.35081209999043,,,,,,120.6864373999997,121.96888100000797,121.96888100000797,121.96888100000797,125.96834240001044,125.96834240001044,126.35007330001099,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_178.png,puente,,,,,,0,5,5,5,,,,,,138.49923889999627,,,,,,129.85141699999804,131.13271499998518,131.13271499998518,131.13271499998518,135.13241290001315,135.13241290001315,135.49767410001368,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_19.png,pavo,,,,,,0,6,6,6,,,,,,147.5963183999993,,,,,,138.99904799999786,140.21431969999685,140.21431969999685,140.21431969999685,144.21387909998884,144.21387909998884,144.595367300004,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_199.png,falda,,,,,,0,7,7,7,,,,,,156.79471449999255,,,,,,148.0967621000018,149.31191109999781,149.31191109999781,149.31191109999781,153.31170419999398,153.31170419999398,153.79324199998518,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_235.png,aguja,,,,,,0,8,8,8,,,,,,165.95867279998492,,,,,,157.2944581999909,158.55958090000786,158.55958090000786,158.55958090000786,162.56064229999902,162.56064229999902,162.95774670000537,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_242.png,cartero,,,,,,0,9,9,9,,,,,,175.25660049999715,,,,,,166.45856560001266,167.85724159999518,167.85724159999518,167.85724159999518,171.85736630001338,171.85736630001338,172.2554686999938,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
