image,correctAns,respModal,frameColor,modalSymb,repSwitch,sequence,target,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcomePractice.started,textBlank500.started,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,imagePractice.started,textCue.started,polygonText.started,textPractice.started,keyPractice.started,micPractice.started,micPractice.stopped,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,micPractice.clip,polygonCol.stopped,polygonWh.stopped,imagePractice.stopped,textCue.stopped,polygonText.stopped,textPractice.stopped,keyPractice.stopped,text.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Practice/PICTURE_733.png,gafas,speak,yellow,REPSWITCH1_Practice/lips.png,switch,1,T,0,9,9,9,,68.337343399995,,,,,68.83731629999238,64.30460099998163,65.3392941999773,65.3392941999773,65.3392941999773,65.3392941999773,65.3392941999773,65.3392941999773,65.3392941999773,65.3392941999773,0.0026040000084321946,1.9997664999973495,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.23.060.wav,68.337343399995,68.337343399995,68.337343399995,68.337343399995,68.337343399995,68.337343399995,68.337343399995,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_614.png,reina,speak,yellow,REPSWITCH1_Practice/lips.png,filler,2,F,0,10,10,10,,73.08628389998921,,,,,,68.83731629999238,70.17043939998257,70.17043939998257,70.17043939998257,70.17043939998257,70.17043939998257,70.17043939998257,70.17043939998257,70.17043939998257,0.0991169000044465,2.0994841999781784,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.27.808.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_110.png,mesa,speak,yellow,REPSWITCH1_Practice/lips.png,nontarget,1,NT,0,11,11,11,,77.7853828999796,,,,,,73.58602139999857,74.77053189999424,74.77053189999424,74.77053189999424,74.77053189999424,74.77053189999424,74.77053189999424,74.77053189999424,74.77053189999424,0.002584100002422929,1.9996518999978434,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.32.508.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_110.png,mesa,type,blue,REPSWITCH1_Practice/keyboard.png,switch,1,T,0,12,12,12,,82.50043429998914,,,,,,78.28500139998505,79.48598959998344,79.48598959998344,79.48598959998344,79.48598959998344,79.48598959998344,79.48598959998344,79.48598959998344,79.48598959998344,0.0029818000039085746,1.9996334000024945,"['m', 'e', 's', 'a']",0,"[0.7855282000091393, 0.9104394000023603, 1.0921491000044625, 1.1600790999946184]",mesa,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.37.223.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_570.png,toro,speak,yellow,REPSWITCH1_Practice/lips.png,filler,2,F,0,13,13,13,,87.09975649998523,,,,,87.59943750000093,83.00047199998517,84.101540499978,84.101540499978,84.101540499978,84.101540499978,84.101540499978,84.101540499978,84.101540499978,84.101540499978,0.002584899979410693,1.9995118999795523,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.41.823.wav,87.09975649998523,87.09975649998523,87.09975649998523,87.09975649998523,87.09975649998523,87.09975649998523,87.09975649998523,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_733.png,gafas,type,blue,REPSWITCH1_Practice/keyboard.png,nontarget,1,NT,0,14,14,14,,91.88203769997926,,,,,,87.59943750000093,88.8669755999872,88.8669755999872,88.8669755999872,88.8669755999872,88.8669755999872,88.8669755999872,88.8669755999872,88.8669755999872,0.0027268999838270247,1.9995295999979135,"['f', 'backspace', 'g', 'a', 'f', 'a', 's']",0,"[1.1281403000175487, 1.4839953999908175, 1.6309730999928433, 1.8693173000065144, 1.9639017000154126, 2.1448826999985613, 2.303724199999124]",gafas,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.46.605.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_733.png,gafas,type,blue,REPSWITCH1_Practice/keyboard.png,repeat,1,T,0,15,15,15,,96.49760129998322,,,,,96.99707419998595,92.38128030000371,93.49899089999963,93.49899089999963,93.49899089999963,93.49899089999963,93.49899089999963,93.49899089999963,93.49899089999963,93.49899089999963,0.0026470000157132745,1.9999448000162374,"['g', 'a', 'f', 'a', 's']",0,"[0.8321102000190876, 1.027810600004159, 1.1471462000044994, 1.2607470999937505, 1.416102699993644]",gafas,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.51.220.wav,96.49760129998322,96.49760129998322,96.49760129998322,96.49760129998322,96.49760129998322,96.49760129998322,96.49760129998322,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_614.png,reina,speak,yellow,REPSWITCH1_Practice/lips.png,filler,2,F,0,16,16,16,,101.1294593999919,,,,,101.62971049998305,96.99707419998595,98.13146539998706,98.13146539998706,98.13146539998706,98.13146539998706,98.13146539998706,98.13146539998706,98.13146539998706,98.13146539998706,0.0029309999954421073,1.99977189998026,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h36.55.852.wav,101.1294593999919,101.1294593999919,101.1294593999919,101.1294593999919,101.1294593999919,101.1294593999919,101.1294593999919,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_612.png,rana,type,blue,REPSWITCH1_Practice/keyboard.png,nontarget,1,NT,0,17,17,17,,105.69568319999962,,,,,106.19486849999521,101.62971049998305,102.69664300000295,102.69664300000295,102.69664300000295,102.69664300000295,102.69664300000295,102.69664300000295,102.69664300000295,102.69664300000295,0.0031088000105228275,2.000206500000786,"['f', 'r', 'o', 'g']",0,"[1.516502299986314, 1.6151761999935843, 1.855359299981501, 2.0367115999979433]",frog,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.00.417.wav,105.69568319999962,105.69568319999962,105.69568319999962,105.69568319999962,105.69568319999962,105.69568319999962,105.69568319999962,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_612.png,rana,type,blue,REPSWITCH1_Practice/keyboard.png,repeat,2,T,0,18,18,18,,110.39393249998102,,,,,,106.19486849999521,107.37936120000086,107.37936120000086,107.37936120000086,107.37936120000086,107.37936120000086,107.37936120000086,107.37936120000086,107.37936120000086,0.003970000019762665,2.0003485000052024,"['f', 'r', 'o', 'g']",0,"[0.8664107999939006, 0.9487383000086993, 1.0673810000007506, 1.2494708000158425]",frog,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.05.116.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_599.png,nube,type,blue,REPSWITCH1_Practice/keyboard.png,filler,2,F,0,19,19,19,,115.05951029999414,,,,,115.55962369998451,110.89401039999211,112.0613760999986,112.0613760999986,112.0613760999986,112.0613760999986,112.0613760999986,112.0613760999986,112.0613760999986,112.0613760999986,0.00245199998607859,2.000460099981865,"['v', 'backspace', 'c', 'l', 'o', 'u', 'd']",0,"[0.8659816999861505, 1.3946568999963347, 1.5522387999808416, 1.784661599987885, 2.1203250999969896, 2.456474699982209, 2.5995692999858875]",cloud,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.09.782.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_12.png,sirena,speak,yellow,REPSWITCH1_Practice/lips.png,nontarget,2,NT,0,20,20,20,,119.74164589997963,,,,,,115.55962369998451,116.72739769998589,116.72739769998589,116.72739769998589,116.72739769998589,116.72739769998589,116.72739769998589,116.72739769998589,116.72739769998589,0.0029884999967180192,2.0168974999978673,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.14.464.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_12.png,sirena,type,blue,REPSWITCH1_Practice/keyboard.png,switch,2,T,0,21,21,21,,124.373746199999,,,,,124.87338149998686,120.24136799998814,121.37599949998548,121.37599949998548,121.37599949998548,121.37599949998548,121.37599949998548,121.37599949998548,121.37599949998548,121.37599949998548,0.0030023000144865364,2.0174196000152733,"['s', 'i', 'r', 'e', 'n', 'a']",0,"[0.7168984999880195, 0.9639291999919806, 1.119890599977225, 1.2003954999963753, 1.2808783999935258, 1.4211864999961108]",sirena,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.19.097.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_614.png,reina,speak,yellow,REPSWITCH1_Practice/lips.png,filler,1,F,0,22,22,22,,129.10597109998344,,,,,,124.87338149998686,126.10621149998042,126.10621149998042,126.10621149998042,126.10621149998042,126.10621149998042,126.10621149998042,126.10621149998042,126.10621149998042,0.004274700011592358,2.0179415000020526,None,0,,,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.23.829.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
REPSWITCH1_Practice/PICTURE_570.png,toro,type,blue,REPSWITCH1_Practice/keyboard.png,filler,1,F,0,23,23,23,,133.75479919998907,,,,,,129.60626339999726,130.7403807999799,130.7403807999799,130.7403807999799,130.7403807999799,130.7403807999799,130.7403807999799,130.7403807999799,130.7403807999799,0.0027799000090453774,1.9990155000123195,"['t', 'o', 'r', 'o']",0,"[1.017459599999711, 1.1648157000017818, 1.2822356999968179, 1.6403616000025067]",toro,D:\GitHub\experiment1\data/1_REPSWITCH_1_Practice_2023-06-09_10h35.28.136_micPractice_recorded\recording_micPractice_2023-06-09_10h37.28.478.wav,,,,,,,,,1,001,2023-06-09_10h35.28.136,REPSWITCH_1_Practice,2022.2.5,60.00520844634695,
,,,,,,,,,,,,,134.25489809998544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7557858999935,,,,,,,
