image,correctAns,respModal,frameColor,repSwitch,sequence,target,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textCue.started,polygonCol.started,polygonWh.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,keyPractice.keys,keyPractice.corr,subjResponse,textCue.stopped,polygonCol.stopped,polygonWh.stopped,imagePractice.stopped,polygonText.stopped,textPractice.stopped,keyPractice.stopped,keyPractice.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,,,,,,0,14,14,14,,,,,,180.36969959997805,,,,,180.86959679998108,171.72203390000504,172.87276649998967,172.87276649998967,172.87276649998967,176.8875973999966,176.8875973999966,177.37060719999135,180.36969959997805,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_354.png,cabra,,,,,,0,15,15,15,,,,,,189.43471129998215,,,,,189.9346835000033,180.86959679998108,181.93718749997788,181.93718749997788,181.93718749997788,185.93530230000033,185.93530230000033,186.43538219999755,189.43471129998215,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_377.png,babero,,,,,,0,16,16,16,,,,,,198.59900529999868,,,,,199.0990165999974,189.9346835000033,191.10148549999576,191.10148549999576,191.10148549999576,195.09972800000105,195.09972800000105,195.59978379998938,198.59900529999868,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_381.png,fresa,,,,,,0,17,17,17,,,,,,207.7634537999984,,,,,208.26365330000408,199.0990165999974,200.26623589999508,200.26623589999508,200.26623589999508,204.28074479999486,204.28074479999486,204.76423839997733,207.7634537999984,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_411.png,puño,,,,,,0,18,18,18,,,,,,216.84446480000042,,,,,217.34453969998867,208.26365330000408,209.34727840000414,209.34727840000414,209.34727840000414,213.36196189999464,213.36196189999464,213.84522719998495,216.84446480000042,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_48.png,bombero,,,,,,0,19,19,19,,,,,,225.99343370000133,,,,,226.49211910000304,217.34453969998867,218.61042399998405,218.61042399998405,218.61042399998405,222.6101718999853,222.6101718999853,222.99309239999275,225.99343370000133,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_487.png,cesta,,,,,,0,20,20,20,,,,,,235.00698129998636,,,,,235.50658499999554,226.49211910000304,227.60805179999443,227.60805179999443,227.60805179999443,231.60799069999484,231.60799069999484,232.00771579999127,235.00698129998636,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,,,,,,0,21,21,21,,,,,,244.3046424999775,,,,,,235.50658499999554,236.79082460000063,236.79082460000063,236.79082460000063,240.80513659998542,240.80513659998542,241.2887858999893,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_552.png,manzana,,,,,,0,22,22,22,,,,,,253.48595050000586,,,,,253.98568369998247,244.80470549999154,245.9883964000037,245.9883964000037,245.9883964000037,249.9869699999981,249.9869699999981,250.48644369997783,253.48595050000586,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
REPSWITCH1_Fam/PICTURE_576.png,guante,,,,,,0,23,23,23,,,,,,262.5673606999917,,,,,263.0667994999967,253.98568369998247,255.08501129999058,255.08501129999058,255.08501129999058,259.0845791999891,259.0845791999891,259.5677184999804,262.5673606999917,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h26.04.804,REPSWITCH_1,2022.2.5,60.00693679882836,
