image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l3.started,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv2l3.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_446.png,cerdo,speak,darkblue,repeat,2,T,2,1,3,2,Stim7_Set2,0,None,251,250,47,0,250,250,250,,,,,,,,,,,,,,,,,,,,,,,1206.2993379998952,1207.3967761998065,1207.3967761998065,1207.3967761998065,1207.3967761998065,1207.3967761998065,1207.3967761998065,1207.3967761998065,1207.3967761998065,1210.4179132999852,1210.4179132999852,1210.4179132999852,1210.4179132999852,1210.4179132999852,1210.4179132999852,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.21.600.wav,1210.4179132999852,1210.917979199905,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_590.png,escoba,type,gold,filler,1,F,2,1,3,2,Extra3,0,None,252,251,48,0,251,251,251,,,,,,,,,,,,,,,,,,,,,,,1210.917979199905,1211.9598332000896,1211.9598332000896,1211.9598332000896,1211.9598332000896,1211.9598332000896,1211.9598332000896,1211.9598332000896,1211.9598332000896,1214.9810198997147,1214.9810198997147,1214.9810198997147,1214.9810198997147,1214.9810198997147,1214.9810198997147,"['e', 's', 'c', 'o', 'v', 'backspace', 'b', 'a']",0,"[0.7582384003326297, 0.9062761999666691, 1.1058825002983212, 1.24447560030967, 1.3999551003798842, 1.891642500180751, 1.9574208003468812, 2.10396910039708]",escoba,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.26.163.wav,1214.9810198997147,1215.4811549996957,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_169.png,espalda,speak,darkblue,filler,2,F,2,1,3,2,Stim8_Set1,0,None,253,252,49,0,252,252,252,,,,,,,,,,,,,,,,,,,,,,,1215.4811549996957,1216.689573300071,1216.689573300071,1216.689573300071,1216.689573300071,1216.689573300071,1216.689573300071,1216.689573300071,1216.689573300071,1219.7107953000814,1219.7107953000814,1219.7107953000814,1219.7107953000814,1219.7107953000814,1219.7107953000814,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.30.893.wav,1219.7107953000814,1220.2108668996952,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_199.png,falda,speak,darkblue,nontarget,2,NT,2,1,3,2,Stim8_Set2,1,repeat,254,253,50,0,253,253,253,,,,,,,,,,,,,,,,,,,,,,,1220.2108668996952,1221.2735913996585,1221.2735913996585,1221.2735913996585,1221.2735913996585,1221.2735913996585,1221.2735913996585,1221.2735913996585,1221.2735913996585,1224.301718099974,1224.301718099974,1224.301718099974,1224.301718099974,1224.301718099974,1224.301718099974,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.35.477.wav,1224.301718099974,,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_199.png,falda,type,gold,switch,1,T,2,1,3,2,Stim8_Set2,0,None,255,254,51,0,254,254,254,,,,,,,,,,,,,,,,,,,,,,,1224.8018391998485,1225.8991561001167,1225.8991561001167,1225.8991561001167,1225.8991561001167,1225.8991561001167,1225.8991561001167,1225.8991561001167,1225.8991561001167,1228.9203808000311,1228.9203808000311,1228.9203808000311,1228.9203808000311,1228.9203808000311,1228.9203808000311,"['f', 'a', 'l', 'd', 'a']",0,"[0.917232200037688, 1.0866791000589728, 1.4624208002351224, 1.6348096001893282, 1.8013710998930037]",falda,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.40.103.wav,1228.9203808000311,1229.4204469998367,space,1229.4204469998367,1229.4204469998367,8.171537200454623,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_576.png,guante,type,gold,nontarget,1,NT,3,1,3,2,Stim1_Set3,0,None,256,255,52,0,255,255,255,,,,,,,,,,,,,,,,,,,,,,,1237.6020316998474,1238.7549836998805,1238.7549836998805,1238.7549836998805,1238.7549836998805,1238.7549836998805,1238.7549836998805,1238.7549836998805,1238.7549836998805,1241.783199599944,1241.783199599944,1241.783199599944,1241.783199599944,1241.783199599944,1241.783199599944,"['g', 'u', 'a', 'n', 't', 'e']",0,"[0.7154266000725329, 0.9222671003080904, 1.014929000288248, 1.1366026001051068, 1.2406848003156483, 1.3656134000048041]",guante,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.52.958.wav,1241.783199599944,,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_576.png,guante,speak,darkblue,switch,2,T,3,1,3,2,Stim1_Set3,0,None,257,256,53,0,256,256,256,,,,,,,,,,,,,,,,,,,,,,,1242.283254900016,1243.3806725000031,1243.3806725000031,1243.3806725000031,1243.3806725000031,1243.3806725000031,1243.3806725000031,1243.3806725000031,1243.3806725000031,1246.4018135000952,1246.4018135000952,1246.4018135000952,1246.4018135000952,1246.4018135000952,1246.4018135000952,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h41.57.583.wav,1246.4018135000952,1246.901871100068,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_646.png,tronco,speak,darkblue,filler,2,F,3,1,3,2,Extra4,0,None,258,257,54,0,257,257,257,,,,,,,,,,,,,,,,,,,,,,,1246.901871100068,1247.943701799959,1247.943701799959,1247.943701799959,1247.943701799959,1247.943701799959,1247.943701799959,1247.943701799959,1247.943701799959,1250.964922199957,1250.964922199957,1250.964922199957,1250.964922199957,1250.964922199957,1250.964922199957,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h42.02.146.wav,1250.964922199957,1251.4649672997184,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_610.png,miel,speak,darkblue,nontarget,2,NT,3,1,3,2,Stim2_Set3,1,repeat,259,258,55,0,258,258,258,,,,,,,,,,,,,,,,,,,,,,,1251.4649672997184,1252.4998786998913,1252.4998786998913,1252.4998786998913,1252.4998786998913,1252.4998786998913,1252.4998786998913,1252.4998786998913,1252.4998786998913,1255.5211356999353,1255.5211356999353,1255.5211356999353,1255.5211356999353,1255.5211356999353,1255.5211356999353,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h42.06.702.wav,1255.5211356999353,1256.021162299905,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_610.png,miel,type,gold,switch,1,T,3,1,3,2,Stim2_Set3,0,None,260,259,56,0,259,259,259,,,,,,,,,,,,,,,,,,,,,,,1256.021162299905,1257.1324134999886,1257.1324134999886,1257.1324134999886,1257.1324134999886,1257.1324134999886,1257.1324134999886,1257.1324134999886,1257.1324134999886,1260.1605944000185,1260.1605944000185,1260.1605944000185,1260.1605944000185,1260.1605944000185,1260.1605944000185,"['m', 'i', 'e', 'l']",0,"[0.861913800239563, 0.990478000137955, 1.0921681998297572, 1.2137619000859559]",miel,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h42.11.336.wav,1260.1605944000185,,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
