image,correctAns,respModal,frameColour,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,textbox.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.448738727835007,22.34218476008391,22.836874294560403,22.836874294560403,space,10.95953677140642,,,,,,,,001,2023-04-28_09h32.59.760,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_1.png,ratón,speak,red,nontarget,2,NT,Stim1_Set1,0,0,0,0,,38.72404423338594,,,,,34.51972214522539,35.94997725065332,35.94997725065332,35.94997725065332,35.94997725065332,35.94997725065332,,001,2023-04-28_09h32.59.760,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_1.png,ratón,speak,red,repeat,2,T,Stim1_Set1,0,1,1,1,,43.27630774729187,,,,,39.22078951069852,40.300659829517826,40.300659829517826,40.300659829517826,40.300659829517826,40.300659829517826,,001,2023-04-28_09h32.59.760,REPSWITCH_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,43.778277081553824,45.07342873100424,45.07342873100424,45.07342873100424,45.07342873100424,45.07342873100424,,,,,,,
