image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micResp.clip,keyPause.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,13.659940900048241,16.15780360001372,16.670332800014876,16.670332800014876,16.670332800014876,16.670332800014876,space,10.312043000012636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,001,2023-07-13_12h10.40.152,REPSWITCH1_v2022.2.4,2022.2.4,59.849454691928926,
,,,,,,,,,,,,,,,,,,,,,,,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,27.034464900032617,space,1.6525289000128396,,,,,,,,,,,,,,,,1307,001,2023-07-13_12h10.40.152,REPSWITCH1_v2022.2.4,2022.2.4,59.849454691928926,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,nontarget,2,NT,1,Stim1_Set1,1,0,0,0,0,0,,33.71839620004175,,,,,,,,,,,,,,,,,,,,,,29.351154100033455,30.80148000002373,30.80148000002373,30.80148000002373,30.80148000002373,30.80148000002373,30.80148000002373,30.80148000002373,0.12659489997895434,['r'],0,[0.1431200000224635],r,D:\GitHub\experiment1\data/1307_REPSWITCH1_v2022.2.4_2023-07-13_12h10.40.152_micResp_recorded\recording_micResp_2023-07-13_12h11.05.882.wav,None,1307,001,2023-07-13_12h10.40.152,REPSWITCH1_v2022.2.4,2022.2.4,59.849454691928926,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,repeat,2,T,1,Stim1_Set1,2,1,0,1,1,1,,38.54104240000015,,,,,,,,,,,,,,,,,,,,,,34.23412660002941,35.48639550001826,35.48639550001826,35.48639550001826,35.48639550001826,35.48639550001826,35.48639550001826,35.48639550001826,0.0027267999830655754,None,0,,,D:\GitHub\experiment1\data/1307_REPSWITCH1_v2022.2.4_2023-07-13_12h10.40.152_micResp_recorded\recording_micResp_2023-07-13_12h11.10.711.wav,None,1307,001,2023-07-13_12h10.40.152,REPSWITCH1_v2022.2.4,2022.2.4,59.849454691928926,
REPSWITCH1/PICTURE_319.png,vaca,type,darkblue,filler,1,F,1,Stim1_Set4,3,2,0,2,2,2,,43.582887099997606,,,,,,,,,,,,,,,,,,,,,,39.05366910004523,40.55206120002549,40.55206120002549,40.55206120002549,40.55206120002549,40.55206120002549,40.55206120002549,40.55206120002549,0.13073599996278062,"['v', 'a', 'c', 'a']",0,"[1.1364655999932438, 1.2348064000252634, 1.4480645000003278, 1.565018700028304]",vaca,D:\GitHub\experiment1\data/1307_REPSWITCH1_v2022.2.4_2023-07-13_12h10.40.152_micResp_recorded\recording_micResp_2023-07-13_12h11.15.676.wav,None,1307,001,2023-07-13_12h10.40.152,REPSWITCH1_v2022.2.4,2022.2.4,59.849454691928926,
REPSWITCH1/PICTURE_142.png,vaso,speak,gold,nontarget,2,NT,1,Stim2_Set1,4,3,0,3,3,3,,48.446011600026395,,,,,,,,,,,,,,,,,,,,,,44.08670720004011,45.41738020000048,45.41738020000048,45.41738020000048,45.41738020000048,45.41738020000048,45.41738020000048,45.41738020000048,0.12056720000691712,None,0,,,D:\GitHub\experiment1\data/1307_REPSWITCH1_v2022.2.4_2023-07-13_12h10.40.152_micResp_recorded\recording_micResp_2023-07-13_12h11.20.541.wav,None,1307,001,2023-07-13_12h10.40.152,REPSWITCH1_v2022.2.4,2022.2.4,59.849454691928926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.96441830002004,50.114729100023396,50.114729100023396,50.114729100023396,50.114729100023396,50.114729100023396,50.114729100023396,50.114729100023396,0.011831100040581077,,,,,,,,,,,,,
