Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column212;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
image;correctAns;famTrials.thisRepN;famTrials.thisTrialN;famTrials.thisN;famTrials.thisIndex;textWelcomeFam.started;textboxInstrFam.started;keyInstrFam.started;keyInstrFam.keys;keyInstrFam.rt;fixationITI.started;fixationITI.stopped;polygonWhiteFam.started;imageFam.started;micFam.started;textFam.started;textFam.stopped;micFam.clip;textBlankLoop.started;textBlankLoop.stopped;;polygonWhiteFam.stopped;imageFam.stopped;textboxEndFam.started;keyEndFam.started;keyEndFam.keys;keyEndFam.rt;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;22.6634353999998;24.666929799999707;24.666929799999707;space;2.3013490999992428;;;;;;;;;;;;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_663.png;columna;0;0;0;43;;;;;;27.12852170000042;28.419975699999668;28.419975699999668;28.419975699999668;28.4199757;31.78286990000015;34.28227160000006;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h15.25.995.wav;34.55933569999979;35.06454190000022;0.5052062;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_142.png;vaso;0;1;1;2;;;;;;35.06454190000022;36.169513499999994;36.169513499999994;36.169513499999994;36.169513499999994;39.63104730000032;42.13058379999984;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h15.33.846.wav;42.28013869999995;42.779400200000055;0.4992615;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_464.png;goma;0;2;2;21;;;;;;42.779400200000055;43.90793550000035;43.90793550000035;43.90793550000035;43.90793550000035;47.295812000000296;49.795393700000204;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h15.41.505.wav;50.01749089999976;50.52751210000042;0.5100212;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_590.png;escoba;0;3;3;41;;;;;;50.52751210000042;51.77134720000049;51.77134720000049;51.77134720000049;51.77134720000049;55.1607426999999;57.66014989999985;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h15.49.379.wav;57.86418860000049;58.37560420000045;0.5114156;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_48.png;bombero;0;4;4;22;;;;;;58.37560420000045;59.64952819999962;59.64952819999962;59.64952819999962;59.64952819999962;63.108779700000014;65.60821469999973;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h15.57.326.wav;65.82193040000038;66.32374479999999;0.5018144;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_673.png;tenedor;0;5;5;44;;;;;;66.32374479999999;67.4778097999997;67.4778097999997;67.4778097999997;67.4778097999997;70.94037349999962;73.43981600000006;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.05.155.wav;73.6239056000004;;;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_552.png;manzana;0;6;6;25;;;;;;74.1385607000002;75.43415679999998;75.43415679999998;75.43415679999998;75.43415679999998;78.8216940000002;81.32109930000024;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.13.031.wav;81.51567909999994;82.02002410000023;0.504345;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_599.png;nube;0;7;7;33;;;;;;82.02002410000023;83.2210500000001;83.2210500000001;83.2210500000001;83.2210500000001;86.70320749999973;89.20263429999977;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.20.916.wav;89.41202160000012;89.91817509999964;0.5061535;89.41202160000012;89.41202160000012;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
