image,correctAns,respModal,frameColor,modalSymb,repSwitch,sequence,target,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcomePractice.started,textBlank500.started,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,imagePractice.started,textCue.started,polygonText.started,textPractice.started,keyPractice.started,micPractice.started,micPractice.stopped,keyPractice.keys,keyPractice.corr,subjResponse,micPractice.clip,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.322721199998341,17.32901739999943,17.82957819999865,17.82957819999865,space,1.2522073000000091,,,,,,,,,,,,,,,,4,001,2023-06-19_13h58.30.261,REPSWITCH_1_Practice,2022.2.5,59.93974856432013,
REPSWITCH1_Practice/PICTURE_612.png,rana,speak,yellow,REPSWITCH1_Practice/lips.png,nontarget,2,NT,0,0,0,0,,23.875844599999255,,,,,19.693599499998527,20.99363910000102,20.99363910000102,20.99363910000102,20.99363910000102,20.99363910000102,20.99363910000102,20.99363910000102,20.99363910000102,0.030800699998508207,2.1657459999987623,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h58.30.261_micPractice_recorded\recording_micPractice_2023-06-19_13h58.45.726.wav,4,001,2023-06-19_13h58.30.261,REPSWITCH_1_Practice,2022.2.5,59.93974856432013,
REPSWITCH1_Practice/PICTURE_612.png,rana,speak,yellow,REPSWITCH1_Practice/lips.png,repeat,2,T,0,1,1,1,,28.591474400000152,,,,,24.345173499998054,25.56018789999871,25.56018789999871,25.56018789999871,25.56018789999871,25.56018789999871,25.56018789999871,25.56018789999871,25.56018789999871,0.012442399998690234,2.016044399999373,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h58.30.261_micPractice_recorded\recording_micPractice_2023-06-19_13h58.50.441.wav,4,001,2023-06-19_13h58.30.261,REPSWITCH_1_Practice,2022.2.5,59.93974856432013,
,,,,,,,,,,,,,,,,,,29.06049509999866,30.21162600000025,30.21162600000025,30.21162600000025,30.21162600000025,30.21162600000025,30.21162600000025,30.21162600000025,30.21162600000025,0.026601699999446282,,,,,,,,,,,,
