image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,polygonWhiteFam.stopped,imageFam.stopped,micFam.stopped,textFam.started,micFam.clip,textFam.stopped,textEndFam.started,textEndFam.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,23,23,23,,301.5964957999822,,,,,302.09659070000635,293.0150233999884,294.21428190000006,294.21428190000006,294.21428190000006,0.10831809998489916,298.22885990000213,298.22885990000213,4.115479300002335,298.5977656999894,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h28.42.241.wav,301.5964957999822,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_91.png,boca,0,24,24,24,,310.6277735999902,,,,,311.1276842999796,302.09659070000635,303.2283810999943,303.2283810999943,303.2283810999943,0.10253550001652911,307.2281637999986,307.2281637999986,4.099210799991852,307.62841919998755,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h28.51.271.wav,310.6277735999902,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,25,25,25,,319.79188969999086,,,,,,311.1276842999796,312.39327219998813,312.39327219998813,312.39327219998813,0.12073610001243651,316.4080216999864,316.4080216999864,4.115382499992847,316.7763045000029,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.00.436.wav,,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,26,26,26,,328.9396165999933,,,,,329.4399424000003,320.2926377999829,321.5410225999949,321.5410225999949,321.5410225999949,0.10558339999988675,325.55593209998915,325.55593209998915,4.099259900016477,325.94053910000366,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.09.584.wav,328.9396165999933,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,27,27,27,,338.1381706999964,,,,,338.6370428999944,329.4399424000003,330.75543049999396,330.75543049999396,330.75543049999396,0.11227290000533685,334.77039269998204,334.77039269998204,4.115610900014872,335.13829249999253,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.18.782.wav,338.1381706999964,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_545.png,braga,0,28,28,28,,347.3520523000043,,,,,347.851846799982,338.6370428999944,339.9698573999922,339.9698573999922,339.9698573999922,0.11613099998794496,343.9693841999979,343.9693841999979,4.11583709999104,344.35291270000744,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.27.996.wav,347.3520523000043,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,29,29,29,,356.4000382999948,,,,,356.89987739999196,347.851846799982,349.0172072999994,349.0172072999994,349.0172072999994,0.11968229999183677,353.01795129998936,353.01795129998936,4.115743599977577,353.40061529999366,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.37.044.wav,356.4000382999948,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_546.png,puerta,0,30,30,30,,365.5973656999995,,,,,366.0973888000008,356.89987739999196,358.11586089999764,358.11586089999764,358.11586089999764,0.00998020000406541,362.1159348000074,362.1159348000074,4.015538799983915,362.5986386000004,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.46.241.wav,365.5973656999995,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,31,31,31,,374.87871180000366,,,,,375.37884789999225,366.0973888000008,367.3966516999935,367.3966516999935,367.3966516999935,0.009292500006267801,371.3969259999867,371.3969259999867,4.015273299999535,371.87960339998244,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h29.55.523.wav,374.87871180000366,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
,,,,,,,375.37884789999225,,,,,375.8785344999924,,,,,,,,,,,,375.8785344999924,380.59249579999596,,,,,,,
