image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_30.png,granja,0,12,12,12,,138.744182800001,,,,,,130.19614960000035,131.2448299000098,131.2448299000098,131.2448299000098,135.24581170000602,135.24581170000602,135.72814990000916,,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_319.png,vaca,0,13,13,13,,147.87521560001187,,,,,148.37561970000388,139.24406530000851,140.37764170000446,140.37764170000446,140.37764170000446,144.37604430000647,144.37604430000647,144.87589039999875,147.87521560001187,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_320.png,iglesia,0,14,14,14,,157.02288340000086,,,,,157.52260870000464,148.37561970000388,149.54055599999265,149.54055599999265,149.54055599999265,153.5403268999944,153.5403268999944,154.02379179999116,157.02288340000086,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_354.png,cabra,0,15,15,15,,166.08746100001736,,,,,166.58745530000306,157.52260870000464,158.5901690000028,158.5901690000028,158.5901690000028,162.58844680001494,162.58844680001494,163.08799500000896,166.08746100001736,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_377.png,babero,0,16,16,16,,175.36841530000675,,,,,,166.58745530000306,167.8547011000046,167.8547011000046,167.8547011000046,171.86963729999843,171.86963729999843,172.35336500001722,,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_381.png,fresa,0,17,17,17,,184.5164286000072,,,,,185.01651800001855,175.86841690001893,177.03394839999964,177.03394839999964,177.03394839999964,181.0335405000078,181.0335405000078,181.51685139999609,184.5164286000072,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_411.png,puño,0,18,18,18,,193.57980910001788,,,,,194.07974200000172,185.01651800001855,186.0833091000095,186.0833091000095,186.0833091000095,190.0820851000026,190.0820851000026,190.58075300001656,193.57980910001788,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_48.png,bombero,0,19,19,19,,202.72876590001397,,,,,203.22886170001584,194.07974200000172,195.2318188000063,195.2318188000063,195.2318188000063,199.246249000018,199.246249000018,199.72915860000649,202.72876590001397,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_487.png,cesta,0,20,20,20,,211.80961950001074,,,,,212.30984480000916,203.22886170001584,204.3125532999984,204.3125532999984,204.3125532999984,208.32738830000744,208.32738830000744,208.81054770000628,211.80961950001074,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_517.png,cuerda,0,21,21,21,,220.95746689999942,,,,,221.45771260000765,212.30984480000916,213.46010060000117,213.46010060000117,213.46010060000117,217.4586738999933,217.4586738999933,217.95833620001213,220.95746689999942,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_552.png,manzana,0,22,22,22,,230.0721145000134,,,,,230.57199039999978,221.45771260000765,222.5748190000013,222.5748190000013,222.5748190000013,226.57253330000094,226.57253330000094,227.07301890000235,230.0721145000134,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_576.png,guante,0,23,23,23,,239.1362713999988,,,,,239.63631390000228,230.57199039999978,231.63933279999765,231.63933279999765,231.63933279999765,235.64036459999625,235.64036459999625,236.1238616000046,239.1362713999988,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_610.png,miel,0,24,24,24,,248.21679579999181,,,,,,239.63631390000228,240.78562360000797,240.78562360000797,240.78562360000797,244.78488290001405,244.78488290001405,245.20185010001296,,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_622.png,tiza,0,25,25,25,,257.27127339999424,,,,,,248.71692870001425,249.78338700000313,249.78338700000313,249.78338700000313,253.78342449999764,253.78342449999764,254.26622620000853,,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_636.png,oveja,0,26,26,26,,266.7963068000099,,,,,267.29642779999995,258.2324670999951,259.39718570001423,259.39718570001423,259.39718570001423,263.3975817000028,263.3975817000028,263.7976105000125,266.7963068000099,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_664.png,vestido,0,27,27,27,,275.87750719999894,,,,,276.37780210000346,267.29642779999995,268.3802513999981,268.3802513999981,268.3802513999981,272.37868620001245,272.37868620001245,272.8784520000045,275.87750719999894,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_687.png,camisa,0,28,28,28,,284.925848200015,,,,,285.4251417000196,276.37780210000346,277.4282104000158,277.4282104000158,277.4282104000158,281.4432624000183,281.4432624000183,281.9262094000005,284.925848200015,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_719.png,baño,0,29,29,29,,294.04002479999326,,,,,294.5397493999917,285.4251417000196,286.54380089999177,286.54380089999177,286.54380089999177,290.55743320001056,290.55743320001056,291.0409309999959,294.04002479999326,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
REPSWITCH1/PICTURE_8.png,pierna,0,30,30,30,,303.2046874999942,,,,,303.7047198000073,294.5397493999917,295.7068383000151,295.7068383000151,295.7068383000151,299.70554990001256,299.70554990001256,300.20550410001306,303.2046874999942,,001,2023-05-26_12h11.47.795,REPSWITCH_1,2022.2.5,60.27538618324371,
