image,correctAns,respModal,frameColor,repSwitch,sequence,target,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,polygonCol.started,polygonWh.started,imagePractice.started,textCue.started,polygonText.started,textPractice.started,keyPractice.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_552.png,manzana,,,,,,0,22,22,22,,,,,,318.5337346000015,,,,,319.0333355999901,309.98548869998194,311.05137960001593,311.05137960001593,311.05137960001593,315.0516690000077,315.0516690000077,315.5349042000016,318.5337346000015,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_576.png,guante,,,,,,0,23,23,23,,,,,,327.66494879999664,,,,,328.1650594000239,319.0333355999901,320.1673953999998,320.1673953999998,320.1673953999998,324.1827443999937,324.1827443999937,324.6653898000368,327.66494879999664,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_610.png,miel,,,,,,0,24,24,24,,,,,,336.7628683000221,,,,,337.2626656999928,328.1650594000239,329.26546810002765,329.26546810002765,329.26546810002765,333.2633210000349,333.2633210000349,333.7635480000172,336.7628683000221,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_622.png,tiza,,,,,,0,25,25,25,,,,,,345.9111724999966,,,,,346.41062390001025,337.2626656999928,338.4281875999877,338.4281875999877,338.4281875999877,342.4277971999836,342.4277971999836,342.9110104999854,345.9111724999966,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_636.png,oveja,,,,,,0,26,26,26,,,,,,355.14153459999943,,,,,355.64132110000355,346.41062390001025,347.69215700001223,347.69215700001223,347.69215700001223,351.6930319000385,351.6930319000385,352.1261174000101,355.14153459999943,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_664.png,vestido,,,,,,0,27,27,27,,,,,,364.29035419999855,,,,,364.7893028000253,355.64132110000355,356.79205970000476,356.79205970000476,356.79205970000476,360.8069184999913,360.8069184999913,361.2899504000088,364.29035419999855,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_687.png,camisa,,,,,,0,28,28,28,,,,,,373.5204158999841,,,,,,364.7893028000253,366.0065862000338,366.0065862000338,366.0065862000338,370.00503519998165,370.00503519998165,370.50896659999853,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_719.png,baño,,,,,,0,29,29,29,,,,,,382.66888170002494,,,,,,374.020929899998,375.15409600001294,375.15409600001294,375.15409600001294,379.1524755000137,379.1524755000137,379.65285050001694,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_8.png,pierna,,,,,,0,30,30,30,,,,,,391.73320100002456,,,,,392.2327021000092,383.16870259999996,384.36712990002707,384.36712990002707,384.36712990002707,388.3673133000266,388.3673133000266,388.7169386000023,391.7163430000073,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_91.png,boca,,,,,,0,31,31,31,,,,,,400.9142553000129,,,,,401.41391150001436,392.2327021000092,393.5483063000138,393.5483063000138,393.5483063000138,397.5481381000136,397.5481381000136,397.91480110003613,400.9142553000129,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
,,,,,,,,,,,,,,,,401.41391150001436,,,,,401.9149775999831,,,,,,,,,401.9149775999831,401.9149775999831,space,16.20267969998531,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Practice/PICTURE_612.png,rana,speak,yellow,nontarget,2,NT,,,,,0,0,0,0,,423.2239009999903,,,,,419.058161700028,419.058161700028,420.22586639999645,,,,,,,,,,,420.22586639999645,420.22586639999645,420.22586639999645,420.22586639999645,420.22586639999645,420.22586639999645,420.22586639999645,"['f', 'r', 'o', 'g']",0,"[0.9233235000283457, 1.1121087000356056, 1.181992900033947, 1.3215012000291608]",,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
,,,,,,,,,,,,,,,,,,,,,,423.60927290003747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
