image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,micResp.clip,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_128.png,muñeca,type,darkblue,nontarget,1,NT,1,Stim4_Set1,9,8,0,8,8,8,,77.67478869995102,,,,,,,,,,,,,,,,,,,,,,73.09973829996306,74.89417929993942,74.89417929993942,74.89417929993942,74.89417929993942,74.89417929993942,74.89417929993942,74.89417929993942,0.6292188999941573,"['m', 'u', 'n', 'e', 'c']",0,munec,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.33.768.wav,None,,,,,,,"[1.4226141000399366, 1.687012100010179, 1.951311600045301, 2.119873500079848, 2.2995193999959156]",,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_128.png,muñeca,speak,gold,switch,2,T,1,Stim4_Set1,10,9,0,9,9,9,,82.59091659996193,,,,,,,,,,,,,,,,,,,,,,78.17963749996852,79.40894009999465,79.40894009999465,79.40894009999465,79.40894009999465,79.40894009999465,79.40894009999465,79.40894009999465,0.0036808999720960855,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.38.899.wav,None,82.59091659996193,82.59091659996193,82.59091659996193,82.59091659996193,82.59091659996193,82.59091659996193,,83.09553159994539,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_8.png,pierna,speak,gold,filler,2,F,1,Stim3_Set4,11,10,0,10,10,10,,87.62273409997579,,,,,,,,,,,,,,,,,,,,,,83.09553159994539,84.713326600031,84.713326600031,84.713326600031,84.713326600031,84.713326600031,84.713326600031,84.713326600031,0.2442871000384912,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.43.972.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_19.png,pavo,speak,gold,nontarget,2,NT,1,Stim5_Set1,12,11,0,11,11,11,,92.46895300003234,,,,,,,,,,,,,,,,,,,,,,88.12674420000985,89.3415771999862,89.3415771999862,89.3415771999862,89.3415771999862,89.3415771999862,89.3415771999862,89.3415771999862,0.04329010006040335,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.48.803.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,switch,1,T,1,Stim5_Set1,13,12,0,12,12,12,,97.2680441000266,,,,,,,,,,,,,,,,,,,,,,92.97317020001356,94.11982419993728,94.11982419993728,94.11982419993728,94.11982419993728,94.11982419993728,94.11982419993728,94.11982419993728,0.0031778999837115407,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.53.618.wav,None,97.2680441000266,97.2680441000266,97.2680441000266,97.2680441000266,97.2680441000266,97.2680441000266,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_498.png,taza,speak,gold,filler,2,F,1,Stim4_Set4,14,13,0,13,13,13,,101.9861980000278,,,,,,,,,,,,,,,,,,,,,,97.77422360004857,99.03802660002839,99.03802660002839,99.03802660002839,99.03802660002839,99.03802660002839,99.03802660002839,99.03802660002839,0.18374540004879236,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.58.368.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,nontarget,1,NT,1,Stim6_Set1,15,14,0,14,14,14,,106.95184610004071,,,,,,,,,,,,,,,,,,,,,,102.4902636000188,103.8202001999598,103.8202001999598,103.8202001999598,103.8202001999598,103.8202001999598,103.8202001999598,103.8202001999598,0.014375100028701127,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,cazador,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h36.03.298.wav,None,,,,,,,"[1.027472500107251, 1.1051761000417173, 1.3517114000860602, 1.5634551000548527, 1.6842345000477508, 1.7993502001045272, 1.9169274000450969]",107.45653379999567,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,repeat,1,T,1,Stim6_Set1,16,15,0,15,15,15,,111.85051290004048,,,,,,,,,,,,,,,,,,,,,,107.45653379999567,108.48614359996282,108.48614359996282,108.48614359996282,108.48614359996282,108.48614359996282,108.48614359996282,108.48614359996282,0.003652899991720915,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,cazador,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h36.07.984.wav,None,111.85051290004048,111.85051290004048,111.85051290004048,111.85051290004048,111.85051290004048,111.85051290004048,"[1.0819962000241503, 1.1414573000511155, 1.6355748999631032, 1.735071900067851, 1.9533970999764279, 2.019544600043446, 2.1219528999645263]",,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_687.png,camisa,speak,gold,filler,2,F,1,Stim5_Set4,17,16,0,16,16,16,,117.0320905999979,,,,,,,,,,,,,,,,,,,,,,112.35439360002056,113.80073270003777,113.80073270003777,113.80073270003777,113.80073270003777,113.80073270003777,113.80073270003777,113.80073270003777,0.12126689997967333,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h36.13.164.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,nontarget,1,NT,1,Stim7_Set1,18,17,0,17,17,17,,122.88117069995496,,,,,,,,,,,,,,,,,,,,,,117.53640300000552,118.73301860003266,118.73301860003266,118.73301860003266,118.73301860003266,118.73301860003266,118.73301860003266,118.73301860003266,0.003950400045141578,"['v', 'a', 's', 'o']",0,vaso,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h36.18.230.wav,None,122.88117069995496,122.88117069995496,122.88117069995496,122.88117069995496,122.88117069995496,122.88117069995496,"[0.8011588999070227, 0.9008916999446228, 1.1390077999094501, 1.2848667999496683]",,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.40959599998314,124.54906210000627,124.54906210000627,124.54906210000627,124.54906210000627,124.54906210000627,124.54906210000627,124.54906210000627,0.0032985000871121883,,,,,,,,,,,,,,,,,,,,
