image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textBlankLoop.started,textBlankLoop.stopped,polygonWhiteFam.stopped,imageFam.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,26,26,3,,,,,,220.70376630011015,221.79419440007769,221.79419440007769,221.79419440007769,221.79419440007769,225.2875865001697,227.7879155999981,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.05.775.wav,227.82267690007575,228.32270150003023,227.82267690007575,227.82267690007575,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,27,27,1,,,,,,228.32270150003023,229.41314920014702,229.41314920014702,229.41314920014702,229.41314920014702,232.90665860008448,235.4069566000253,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.13.394.wav,235.44171490008011,235.94176389998756,235.44171490008011,235.44171490008011,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,28,28,7,,,,,,235.94176389998756,237.02526510017924,237.02526510017924,237.02526510017924,237.02526510017924,240.51882200012915,243.0190741000697,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.21.006.wav,243.05378130008467,243.5538429999724,243.05378130008467,243.05378130008467,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,29,29,14,,,,,,243.5538429999724,244.58870680001564,244.58870680001564,244.58870680001564,244.58870680001564,248.08223400008865,250.58255220018327,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.28.571.wav,250.61724040005356,251.11734160012566,250.61724040005356,250.61724040005356,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,30,30,17,,,,,,251.11734160012566,252.24250870011747,252.24250870011747,252.24250870011747,252.24250870011747,255.73595330002718,258.23638290003873,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.36.224.wav,258.2711091001984,258.7711087001953,258.2711091001984,258.2711091001984,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_590.png,escoba,0,31,31,41,,,,,,258.7711087001953,260.0490290001035,260.0490290001035,260.0490290001035,260.0490290001035,263.5425383001566,266.04285280010663,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.44.029.wav,266.0776079001371,266.5776681001298,266.0776079001371,266.0776079001371,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,32,32,22,,,,,,266.5776681001298,267.66112040006556,267.66112040006556,267.66112040006556,267.66112040006556,271.1546460001264,273.65492960019037,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.51.641.wav,273.68974380008876,274.1898146001622,273.68974380008876,273.68974380008876,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,33,33,6,,,,,,274.1898146001622,275.3704689000733,275.3704689000733,275.3704689000733,275.3704689000733,278.86394560011104,281.3642977999989,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h05.59.351.wav,281.39902160014026,281.89908210001886,281.39902160014026,281.39902160014026,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,34,34,16,,,,,,281.89908210001886,282.9200389001053,282.9200389001053,282.9200389001053,282.9200389001053,286.41355759999715,288.9138529000338,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.06.901.wav,288.94860210013576,289.4486683001742,288.94860210013576,288.94860210013576,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,35,35,18,,,,,,289.4486683001742,290.56687710015103,290.56687710015103,290.56687710015103,290.56687710015103,294.0603728001006,296.56068410002626,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.14.548.wav,296.5954927999992,297.09548979997635,296.5954927999992,296.5954927999992,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,36,36,5,,,,,,297.09548979997635,298.22758510010317,298.22758510010317,298.22758510010317,298.22758510010317,301.72108880011365,304.22140830010176,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.22.209.wav,304.2561099000741,304.7562667001039,304.2561099000741,304.2561099000741,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,37,37,28,,,,,,304.7562667001039,305.9160558001604,305.9160558001604,305.9160558001604,305.9160558001604,309.40956000005826,311.90985759999603,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.29.896.wav,311.9446112001315,312.44464720017277,311.9446112001315,311.9446112001315,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_498.png,taza,0,38,38,23,,,,,,312.44464720017277,313.56286599999294,313.56286599999294,313.56286599999294,313.56286599999294,317.05638410011306,319.5566834001802,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.37.543.wav,319.59144310001284,320.0915724001825,319.59144310001284,319.59144310001284,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,39,39,4,,,,,,320.0915724001825,321.2444745001849,321.2444745001849,321.2444745001849,321.2444745001849,324.73789740004577,327.23825530009344,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.45.225.wav,327.2730283001438,327.77304410003126,327.2730283001438,327.2730283001438,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_391.png,cadena,0,40,40,40,,,,,,327.77304410003126,328.8495883999858,328.8495883999858,328.8495883999858,328.8495883999858,332.3430765001103,334.8433889001608,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h06.52.831.wav,334.87819600012153,335.3781545001548,334.87819600012153,334.87819600012153,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_340.png,espejo,0,41,41,39,,,,,,335.3781545001548,336.5380828001071,336.5380828001071,336.5380828001071,336.5380828001071,340.0315656000748,342.53196890000254,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h07.00.519.wav,342.5667113000527,343.0667626000941,342.5667113000527,342.5667113000527,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,42,42,19,,,,,,343.0667626000941,344.15016050008126,344.15016050008126,344.15016050008126,344.15016050008126,347.6436586000491,350.14396060002036,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h07.08.131.wav,350.17877180012874,350.678821900161,350.17877180012874,350.17877180012874,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,43,43,0,,,,,,350.678821900161,351.7344822001178,351.7344822001178,351.7344822001178,351.7344822001178,355.22795119998045,357.72828959999606,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h07.15.715.wav,357.76302110007964,358.2630700999871,357.76302110007964,357.76302110007964,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,44,44,30,,,,,,358.2630700999871,359.30494330008514,359.30494330008514,359.30494330008514,359.30494330008514,362.7983810000587,365.2986858000513,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h07.23.285.wav,365.33353740000166,365.8335022001993,365.33353740000166,365.33353740000166,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
,,,,,,,,,,,,,,,,,,,,,,,365.8335022001993,365.8335022001993,space,4.434000999899581,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
