image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_128.png,muñeca,type,darkblue,nontarget,1,NT,1,Stim4_Set1,9,8,0,8,8,8,,57.983960000099614,,,,,,,,,,,,,,,,,,,,,,,53.73535110009834,54.98479430004954,54.98479430004954,54.98479430004954,54.98479430004954,54.98479430004954,54.98479430004954,54.98479430004954,0.0024904999881982803,"['m', 'u', 'n', 'e', 'c', 'a']",0,"[0.8440787999425083, 1.0840888998936862, 1.3633381999097764, 1.48606859985739, 1.6670452998951077, 1.727031199960038]",muneca,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_128.png,muñeca,speak,yellow,switch,2,T,1,Stim4_Set1,10,9,0,9,9,9,,62.666448100004345,,,,,,,,,,,,,,,,,,,,,,,58.484263099962845,59.66714929998852,59.66714929998852,59.66714929998852,59.66714929998852,59.66714929998852,59.66714929998852,59.66714929998852,0.0026755998842418194,"['m', 'u', 'n', 'e', 'c', 'a']",0,"[0.7486681998707354, 0.9360015999991447, 1.1626707999967039, 1.2159023999702185, 1.3796659000217915, 1.4465628999751061]",muneca,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_8.png,pierna,speak,yellow,filler,2,F,1,Stim3_Set4,11,10,0,10,10,10,,67.23205099999905,,,,,,,,,,,,,,,,,,,,,,,63.16630970011465,64.23433170001954,64.23433170001954,64.23433170001954,64.23433170001954,64.23433170001954,64.23433170001954,64.23433170001954,0.002423300174996257,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_19.png,pavo,speak,yellow,nontarget,2,NT,1,Stim5_Set1,12,11,0,11,11,11,,71.83097189990804,,,,,,,,,,,,,,,,,,,,,,,67.73208680003881,68.83128329995088,68.83128329995088,68.83128329995088,68.83128329995088,68.83128329995088,68.83128329995088,68.83128329995088,0.003162599867209792,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,switch,1,T,1,Stim5_Set1,13,12,0,12,12,12,,76.59656629990786,,,,,,,,,,,,,,,,,,,,,,77.09623200003989,72.33078949991614,73.61351789999753,73.61351789999753,73.61351789999753,73.61351789999753,73.61351789999753,73.61351789999753,73.61351789999753,0.002908499911427498,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_498.png,taza,speak,yellow,filler,2,F,1,Stim4_Set4,14,13,0,13,13,13,,81.17877439991571,,,,,,,,,,,,,,,,,,,,,,,77.09623200003989,78.17947220010683,78.17947220010683,78.17947220010683,78.17947220010683,78.17947220010683,78.17947220010683,78.17947220010683,0.00230529997497797,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,nontarget,1,NT,1,Stim6_Set1,15,14,0,14,14,14,,85.76115379994735,,,,,,,,,,,,,,,,,,,,,,,81.67856679996476,82.7613313999027,82.7613313999027,82.7613313999027,82.7613313999027,82.7613313999027,82.7613313999027,82.7613313999027,0.0026817000471055508,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,repeat,1,T,1,Stim6_Set1,16,15,0,15,15,15,,90.55939020006917,,,,,,,,,,,,,,,,,,,,,,,86.26064039999619,87.56405410007574,87.56405410007574,87.56405410007574,87.56405410007574,87.56405410007574,87.56405410007574,87.56405410007574,0.002787400037050247,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_687.png,camisa,speak,yellow,filler,2,F,1,Stim5_Set4,17,16,0,16,16,16,,95.27525490010157,,,,,,,,,,,,,,,,,,,,,,95.7751372999046,91.05949379992671,92.29272800008766,92.29272800008766,92.29272800008766,92.29272800008766,92.29272800008766,92.29272800008766,92.29272800008766,0.002297600032761693,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,nontarget,1,NT,1,Stim7_Set1,18,17,0,17,17,17,,99.8905601000879,,,,,,,,,,,,,,,,,,,,,,,95.7751372999046,96.89123860001564,96.89123860001564,96.89123860001564,96.89123860001564,96.89123860001564,96.89123860001564,96.89123860001564,0.002171600004658103,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,repeat,1,T,1,Stim7_Set1,19,18,0,18,18,18,,104.57336929999292,,,,,,,,,,,,,,,,,,,,,,105.07296729995869,100.39080619998276,101.59018509997986,101.59018509997986,101.59018509997986,101.59018509997986,101.59018509997986,101.59018509997986,101.59018509997986,0.002218300011008978,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_338.png,regalo,speak,yellow,filler,2,F,1,Stim6_Set4,20,19,0,19,19,19,,109.20523139997385,,,,,,,,,,,,,,,,,,,,,,,105.07296729995869,106.20573260006495,106.20573260006495,106.20573260006495,106.20573260006495,106.20573260006495,106.20573260006495,106.20573260006495,0.00268060015514493,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_169.png,espalda,type,darkblue,nontarget,1,NT,1,Stim8_Set1,21,20,0,20,20,20,,113.73740059998818,,,,,,,,,,,,,,,,,,,,,,,109.70510190003552,110.73784979991615,110.73784979991615,110.73784979991615,110.73784979991615,110.73784979991615,110.73784979991615,110.73784979991615,0.002243499970063567,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_169.png,espalda,speak,yellow,switch,2,T,1,Stim8_Set1,22,21,0,21,21,21,,118.70255080005154,,,,,,,,,,,,,,,,,,,,,,,114.2373210999649,115.68822230002843,115.68822230002843,115.68822230002843,115.68822230002843,115.68822230002843,115.68822230002843,115.68822230002843,0.002337600104510784,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_48.png,bombero,type,darkblue,filler,1,F,1,Stim7_Set4,23,22,0,22,22,22,,123.50174840004183,,,,,,,,,,,,,,,,,,,,,,,119.2024940000847,120.502293900121,120.502293900121,120.502293900121,120.502293900121,120.502293900121,120.502293900121,120.502293900121,0.0024733999744057655,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_728.png,pulpo,type,darkblue,filler,1,F,1,Stim8_Set4,24,23,0,23,23,23,,128.08407149999402,,,,,,,,,,,,,,,,,,,,,,,124.00141320005059,125.25120780011639,125.25120780011639,125.25120780011639,125.25120780011639,125.25120780011639,125.25120780011639,125.25120780011639,0.0022597000934183598,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
