image,correctAns,respModal,frameColor,modalSymb,repSwitch,sequence,target,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcomePractice.started,textWelcomePractice.stopped,textBlank500.started,textBlank500.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,textCue.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,micPractice.started,micPractice.stopped,keyPractice.keys,keyPractice.corr,subjResponse,micPractice.clip,keyPractice.rt,textEndPractice.started,textEndPractice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Practice/PICTURE_733.png,gafas,SPEAK,yellow,REPSWITCH1_Practice/lips.png,switch,1,T,0,9,9,9,,,62.90520709997509,63.40537469999981,,,,,58.673222299985355,59.907987799990224,59.907987799990224,59.907987799990224,59.907987799990224,59.907987799990224,59.907987799990224,59.907987799990224,59.907987799990224,0.006013000005623326,2.000500900001498,None,0,,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.02.611.wav,,,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_614.png,reina,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,filler,2,F,0,10,10,10,,,67.5542712000024,68.05433319997974,,,,,63.40537469999981,64.65459809999447,64.65459809999447,64.65459809999447,64.65459809999447,64.65459809999447,64.65459809999447,64.65459809999447,64.65459809999447,0.10709590002079494,2.100551000010455,"['r', 'e', 'i', 'n', 'e']",0,reine,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.07.260.wav,"[1.5245442999876104, 1.5878568000043742, 1.7225119000067934, 1.909256799990544, 2.0033667999960016]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_110.png,mesa,SPEAK,yellow,REPSWITCH1_Practice/lips.png,nontarget,1,NT,0,11,11,11,,,72.06975869997405,72.56990599998971,,,,,68.05433319997974,69.07228939997731,69.07228939997731,69.07228939997731,69.07228939997731,69.07228939997731,69.07228939997731,69.07228939997731,69.07228939997731,0.006388899986632168,2.0005743999790866,None,0,,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.11.776.wav,,,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_110.png,mesa,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,switch,1,T,0,12,12,12,,,76.81859629999963,77.31872439998551,,,,,72.56990599998971,73.82153439999092,73.82153439999092,73.82153439999092,73.82153439999092,73.82153439999092,73.82153439999092,73.82153439999092,73.82153439999092,0.007820800004992634,2.000675899995258,"['t', 'a', 'b', 'l', 'e']",0,table,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.16.525.wav,"[0.8483536999847274, 0.9766420999949332, 1.0485614000062924, 1.1968586999864783, 1.2619827000016812]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_570.png,toro,SPEAK,yellow,REPSWITCH1_Practice/lips.png,filler,2,F,0,13,13,13,,,81.53438299999107,82.03460829998949,,,,,77.31872439998551,78.53671239997493,78.53671239997493,78.53671239997493,78.53671239997493,78.53671239997493,78.53671239997493,78.53671239997493,78.53671239997493,0.006702200014842674,2.0006066000205465,None,0,,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.21.241.wav,,,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,nontarget,1,NT,0,14,14,14,,,86.24993759999052,86.74977759999456,,,,,82.03460829998949,83.25353950000135,83.25353950000135,83.25353950000135,83.25353950000135,83.25353950000135,83.25353950000135,83.25353950000135,83.25353950000135,0.008304899994982406,2.0173224000027403,"['l', 'u', 'n', 'e', 't', 't', 'e', 's']",0,lunettes,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.25.956.wav,"[1.1338730999850668, 1.2952272999973502, 1.507389600010356, 1.5902884000097401, 1.7766255000024103, 1.9404729999951087, 1.9958513999881689, 2.1116809000086505]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,repeat,1,T,0,15,15,15,,,90.79880829999456,91.2986539999838,,,,,86.74977759999456,87.8013175999804,87.8013175999804,87.8013175999804,87.8013175999804,87.8013175999804,87.8013175999804,87.8013175999804,87.8013175999804,0.004013099998701364,2.0004482000076678,"['l', 'u', 'n', 'e', 't', 't', 'e', 's']",0,lunettes,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.30.505.wav,"[0.9425408999959473, 1.1120744999789167, 1.3031641999841668, 1.358169099985389, 1.5137688999820966, 1.694228899985319, 1.744463299983181, 1.8583716999855824]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_614.png,reina,SPEAK,yellow,REPSWITCH1_Practice/lips.png,filler,2,F,0,16,16,16,,,95.4476699999941,95.9475496999803,,,,,91.2986539999838,92.45051840000087,92.45051840000087,92.45051840000087,92.45051840000087,92.45051840000087,92.45051840000087,92.45051840000087,92.45051840000087,0.005038800009060651,2.0006614000012632,None,0,,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.35.154.wav,,,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_612.png,rana,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,nontarget,1,NT,0,17,17,17,,,100.26292769997963,100.76302679997752,,,,,95.9475496999803,97.26568149999366,97.26568149999366,97.26568149999366,97.26568149999366,97.26568149999366,97.26568149999366,97.26568149999366,97.26568149999366,0.005263600003672764,2.0005328000115696,"['g', 'r', 'e', 'n', 'o', 'u', 'i', 'l', 'l', 'e']",0,grenouille,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.39.969.wav,"[1.1263271999778226, 1.1998249999887776, 1.409151199972257, 1.5084963999979664, 1.6341927999746986, 1.720848599972669, 1.8565996999968775, 2.0078696999989916, 2.156610099977115, 2.219768299983116]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_612.png,rana,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,repeat,2,T,0,18,18,18,,,104.92860619997373,105.4284750999941,,,,,100.76302679997752,101.93142179999268,101.93142179999268,101.93142179999268,101.93142179999268,101.93142179999268,101.93142179999268,101.93142179999268,101.93142179999268,0.00545530000817962,2.0003321999975014,"['g', 'r', 'r', 'e', 'backspace', 'backspace', 'e', 'n']",0,gren,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.44.635.wav,"[1.1222491999797057, 1.2150043999718037, 1.6600345999759156, 1.8200322999909986, 2.392167199985124, 2.515390999993542, 2.6547501999884844, 2.798801299970364]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_599.png,nube,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,filler,2,F,0,19,19,19,,,109.51067799999146,110.01084039997659,,,,,105.4284750999941,106.51323519999278,106.51323519999278,106.51323519999278,106.51323519999278,106.51323519999278,106.51323519999278,106.51323519999278,106.51323519999278,0.004229699989082292,2.001020099996822,"['n', 'u', 'e', 'a', 'g', 'e']",0,nueage,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.49.217.wav,"[0.9471787000074983, 1.0722636000136845, 1.158872900006827, 1.401522100000875, 1.5012563999916892, 1.6392224000010174]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_12.png,sirena,SPEAK,yellow,REPSWITCH1_Practice/lips.png,nontarget,2,NT,0,20,20,20,,,114.1265833999787,114.62630099998205,,,,,110.01084039997659,111.13141959998757,111.13141959998757,111.13141959998757,111.13141959998757,111.13141959998757,111.13141959998757,111.13141959998757,111.13141959998757,0.008331699995324016,2.0176617999968585,None,0,,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.53.833.wav,,,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_12.png,sirena,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,switch,2,T,0,21,21,21,,,118.82548239998869,119.32510399998864,,,,,114.62630099998205,115.82997749999049,115.82997749999049,115.82997749999049,115.82997749999049,115.82997749999049,115.82997749999049,115.82997749999049,115.82997749999049,0.008967500005383044,2.01724300000933,"['s', 'i', 'r', 'e', 'n', 'e']",0,sirene,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h34.58.531.wav,"[1.181405100011034, 1.330987199995434, 1.5112197000125889, 1.567305700009456, 1.6896453000081237, 1.7574457000009716]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_614.png,reina,SPEAK,yellow,REPSWITCH1_Practice/lips.png,filler,1,F,0,22,22,22,,,123.34101829997962,123.84078699999372,,,,,119.32510399998864,120.34355449999566,120.34355449999566,120.34355449999566,120.34355449999566,120.34355449999566,120.34355449999566,120.34355449999566,120.34355449999566,0.004557100008241832,2.0003525000065565,None,0,,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h35.03.047.wav,,,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
REPSWITCH1_Practice/PICTURE_570.png,toro,TYPE,indigo,REPSWITCH1_Practice/keyboard.png,filler,1,F,0,23,23,23,,,128.1730583999888,128.67292789998464,,,,,123.84078699999372,125.17851060000248,125.17851060000248,125.17851060000248,125.17851060000248,125.17851060000248,125.17851060000248,125.17851060000248,125.17851060000248,0.00859189999755472,2.0173271000094246,"['t', 'a', 'u', 'r', 'e', 'a', 'u']",0,taureau,D:\GitHub\experiment1\data/956826_REPSWITCH_1_Practice_2023-06-21_11h33.04.563_micPractice_recorded\recording_micPractice_2023-06-21_11h35.07.879.wav,"[1.321121699991636, 1.4566927000123542, 1.5769388999906369, 1.684876000013901, 1.7334542000025976, 1.845709799992619, 1.9655399000039324]",,,956826,001,2023-06-21_11h33.04.563,REPSWITCH_1_Practice,2022.2.5,60.019290196530214,
,,,,,,,,,,,,,,128.67292789998464,129.17337979999138,,,,,,,,,,,,,,,,,,,,,129.17337979999138,133.49841519998154,,,,,,,
