image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.started,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l2.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l2.clip,textBlankLoop.started,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textBlankLoop.stopped,textboxPause.started,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_19.png,pavo,speak,darkblue,switch,2,T,1,3,2,2,Stim5_Set1,0,None,26,25,26,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,127.33194479999975,128.4065903999999,128.4065903999999,128.4065903999999,128.4065903999999,128.4065903999999,128.4065903999999,128.4065903999999,0.0017869999996946717,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.23.907.wav,131.43064479999975,None,131.43064479999975,131.43064479999975,131.43064479999975,131.43064479999975,131.43064479999975,131.43064479999975,,131.93049560000009,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,filler,2,F,2,3,2,2,Stim7_Set1,0,None,27,26,27,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,131.93049560000009,132.97458149999966,132.97458149999966,132.97458149999966,132.97458149999966,132.97458149999966,132.97458149999966,132.97458149999966,0.0012676000001192733,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.28.485.wav,136.00978179999993,None,136.00978179999993,136.00978179999993,136.00978179999993,136.00978179999993,136.00978179999993,136.00978179999993,,,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_135.png,traje,type,gold,filler,1,F,2,3,2,2,Stim3_Set1,0,None,28,27,28,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,136.50958730000002,137.6708834000001,137.6708834000001,137.6708834000001,137.6708834000001,137.6708834000001,137.6708834000001,137.6708834000001,0.0012693999997281935,"['t', 'r', 'a', 'j', 'e']",0,traje,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.33.169.wav,140.6916038999998,None,,,,,,,"[0.8990117000003011, 0.9790061000003334, 1.1863398000004963, 1.2661775000001398, 1.4109252000002925]",141.19142809999994,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_446.png,cerdo,type,gold,nontarget,1,NT,2,3,2,2,Stim7_Set2,0,None,29,28,29,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,141.19142809999994,142.27788229999987,142.27788229999987,142.27788229999987,142.27788229999987,142.27788229999987,142.27788229999987,142.27788229999987,0.0015209000002869288,"['c', 'e', 'r', 'd', 'o']",0,cerdo,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.37.773.wav,145.29567629999974,None,,,,,,,"[1.812025000000176, 2.1479804999999033, 2.2913453999999547, 2.4675952000002326, 2.6590480999998363]",145.79551189999984,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_446.png,cerdo,type,gold,repeat,1,T,2,3,2,2,Stim7_Set2,0,None,30,29,30,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,145.79551189999984,146.92108979999966,146.92108979999966,146.92108979999966,146.92108979999966,146.92108979999966,146.92108979999966,146.92108979999966,0.0014941999997972744,"['c', 'e', 'r', 'd', 'o']",0,cerdo,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.42.426.wav,149.95307569999977,None,,,,,,,"[0.9448970000003101, 1.0718772000000172, 1.2482187000000522, 1.4238546999999926, 1.6806209000001218]",,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,filler,2,F,2,3,2,2,Stim6_Set1,0,None,31,30,31,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,150.4523661999997,151.47996609999973,151.47996609999973,151.47996609999973,151.47996609999973,151.47996609999973,151.47996609999973,151.47996609999973,0.0015967999997883453,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.46.981.wav,154.50386019999996,None,,,,,,,,155.00369499999988,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_552.png,manzana,type,gold,nontarget,1,NT,2,3,2,2,Stim6_Set2,1,switch,32,31,32,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,155.00369499999988,156.05702840000004,156.05702840000004,156.05702840000004,156.05702840000004,156.05702840000004,156.05702840000004,156.05702840000004,0.0016098999999485386,"['m', 'a', 'n', 'z', 'a', 'n', 'a']",0,manzana,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.51.552.wav,159.07462719999967,None,,,,,,,"[0.9280235999999604, 1.0568473000002996, 1.1840808000001743, 1.3763880000001336, 1.5999288000002707, 1.7123616000003494, 2.5119220000001405]",159.57445819999975,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_552.png,manzana,type,gold,repeat,1,T,2,3,2,2,Stim6_Set2,0,None,33,32,33,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,159.57445819999975,160.64631310000004,160.64631310000004,160.64631310000004,160.64631310000004,160.64631310000004,160.64631310000004,160.64631310000004,0.0015118999999685911,"['m', 'a', 'n', 'z', 'a', 'n', 'a']",0,manzana,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h44.56.147.wav,163.67038269999966,None,163.67038269999966,163.67038269999966,163.67038269999966,163.67038269999966,163.67038269999966,163.67038269999966,"[0.6748354999999719, 0.7547960000001694, 0.9473262999999861, 1.0912660000003598, 1.2669841000001725, 1.3630852000001141, 1.8428504000003159]",164.17351849999977,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_517.png,cuerda,type,gold,nontarget,1,NT,2,3,2,2,Stim4_Set2,0,None,34,33,34,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,164.17351849999977,165.26707110000007,165.26707110000007,165.26707110000007,165.26707110000007,165.26707110000007,165.26707110000007,165.26707110000007,0.0015252999996846484,"['c', 'u', 'e', 'r', 'd', 'a']",0,cuerda,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h45.00.778.wav,168.302866,None,168.302866,168.302866,168.302866,168.302866,168.302866,168.302866,"[0.9185848000001897, 1.1105729000000792, 1.22254410000005, 1.3187701000001653, 1.4940968999999313, 1.5903545000001031]",,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_517.png,cuerda,speak,darkblue,switch,2,T,2,3,2,2,Stim4_Set2,0,None,35,34,35,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,168.8020779999997,169.88781549999976,169.88781549999976,169.88781549999976,169.88781549999976,169.88781549999976,169.88781549999976,169.88781549999976,0.0015229000000545057,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h45.05.389.wav,172.91189349999968,None,172.91189349999968,172.91189349999968,172.91189349999968,172.91189349999968,172.91189349999968,172.91189349999968,,173.4117210999998,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
