image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstrMain1.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textInstrMain2.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,12.327526499982923,14.325441400054842,14.825402399990708,14.825402399990708,space,0.5679291002452374,,,,,,,,,,,,,,,,,,,,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
,,,,,,,,,,,,,,,,,,,,,15.425364699913189,15.425364699913189,space,0.49094390007667243,,,,,,,,,,,,,,,,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_178.png,puente,speak,yellow,nontarget,2,NT,1,Stim1_Set1,1,0,0,0,0,0,,20.62321210000664,,,,,,,,,16.57323139999062,16.57323139999062,17.65716649987735,17.65716649987735,17.65716649987735,17.65716649987735,17.65716649987735,17.65716649987735,17.65716649987735,0.007212299853563309,"['p', 'u', 'e', 'n', 't', 'e']",0,"[0.6066401000134647, 0.8266042000614107, 0.9386049001477659, 1.0552633001934737, 1.1235609999857843, 1.2208054000511765]",puente,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_178.png,puente,speak,yellow,repeat,2,T,1,Stim1_Set1,2,1,0,1,1,1,,25.405922699952498,,,,,,,,,,21.123366199899465,22.506263399962336,22.506263399962336,22.506263399962336,22.506263399962336,22.506263399962336,22.506263399962336,22.506263399962336,0.0024723000824451447,"['p', 'u', 'e', 'n', 't', 'e']",0,"[0.5716353999450803, 0.7968021999113262, 0.9233023999258876, 1.0527304999995977, 1.1621314999647439, 1.2511001001112163]",puente,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_319.png,vaca,type,darkblue,filler,1,F,1,Stim1_Set4,3,2,0,2,2,2,,30.270827499916777,,,,,,,,,30.771078699966893,25.90533179999329,27.388513499870896,27.388513499870896,27.388513499870896,27.388513499870896,27.388513499870896,27.388513499870896,27.388513499870896,0.10007250006310642,"['v', 'a', 'c', 'a']",0,"[0.9019511002115905, 1.045884600142017, 1.682454600231722, 1.7558431001380086]",vaca,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,nontarget,2,NT,1,Stim2_Set1,4,3,0,3,3,3,,34.870185599895194,,,,,,,,,,30.771078699966893,31.970480900024995,31.970480900024995,31.970480900024995,31.970480900024995,31.970480900024995,31.970480900024995,31.970480900024995,0.10227719997055829,"['v', 'a', 's', 'o']",0,"[0.7077593000140041, 0.7973633001092821, 1.0328776999376714, 1.1712104000616819]",vaso,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,repeat,2,T,1,Stim2_Set1,5,4,0,4,4,4,,39.43579520005733,,,,,,,,,,35.369923799997196,36.436285299947485,36.436285299947485,36.436285299947485,36.436285299947485,36.436285299947485,36.436285299947485,36.436285299947485,0.0024061999283730984,"['v', 'a', 's', 'o']",0,"[0.8587340002413839, 0.9301708000712097, 1.069722100161016, 1.207558800233528]",vaso,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_719.png,baño,type,darkblue,filler,1,F,1,Stim2_Set4,6,5,0,5,5,5,,44.167751899920404,,,,,,,,,,39.93565519992262,41.23487439984456,41.23487439984456,41.23487439984456,41.23487439984456,41.23487439984456,41.23487439984456,41.23487439984456,0.0658013999927789,"['b', 'a', 'n', 'o']",0,"[1.4610286001116037, 1.6086164999287575, 2.1481759001035243, 2.3327059999573976]",bano,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_135.png,traje,speak,yellow,nontarget,2,NT,1,Stim3_Set1,7,6,0,6,6,6,,48.716880299849436,,,,,,,,,,44.66782739991322,45.73342649987899,45.73342649987899,45.73342649987899,45.73342649987899,45.73342649987899,45.73342649987899,45.73342649987899,0.025898499879986048,"['t', 'r', 'a', 'j', 'e']",0,"[1.1184475000482053, 1.3127566000912338, 1.4174852001015097, 1.6085532000288367, 1.718228500103578]",traje,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_135.png,traje,type,darkblue,switch,1,T,1,Stim3_Set1,8,7,0,7,7,7,,53.43236520001665,,,,,,,,,53.93211210006848,49.216614600038156,50.43403319991194,50.43403319991194,50.43403319991194,50.43403319991194,50.43403319991194,50.43403319991194,50.43403319991194,0.002350500086322427,"['t', 'r', 'a', 'j', 'e']",0,"[0.875331399962306, 0.9579682999756187, 1.174571800045669, 1.2532876001205295, 1.3903854000382125]",traje,None,53.43236520001665,53.43236520001665,53.43236520001665,53.43236520001665,53.43236520001665,53.43236520001665,2.999740800121799,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
