image,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,imageObject.started,textboxType.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,44.60907039999438,46.57852959999582,47.0775081999891,47.0775081999891,space,1.65643380000256,,,,,,,001,2023-04-25_15h33.00.812,REPSWITCH_1,2022.2.5,59.71111761510588,
REPSWITCH1/PICTURE_1.png,ratón,speak,nontarget,2,NT,Stim1_Set1,0,0,0,0,,53.74208169999474,,,,,49.457236199988984,49.457236199988984,50.94080499999109,50.94080499999109,50.94080499999109,,001,2023-04-25_15h33.00.812,REPSWITCH_1,2022.2.5,59.71111761510588,
,,,,,,,,,,,,,,,,,,54.241597100000945,55.25769630000286,55.25769630000286,55.25769630000286,,,,,,,
