image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l2.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l2.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_719.png,baño,type,gold,filler,1,F,1,3,2,2,Stim2_Set4,0,None,9,8,9,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,58.66672130022198,59.77100619999692,59.77100619999692,59.77100619999692,59.77100619999692,59.77100619999692,59.77100619999692,59.77100619999692,59.77100619999692,"['b', 'a', 'ñ', 'o']",0,baño,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.16.974.wav,62.79221310000867,63.29229260003194,None,62.79221310000867,62.79221310000867,62.79221310000867,62.79221310000867,62.79221310000867,62.79221310000867,"[1.1874577002599835, 1.2930705002509058, 1.6651339000090957, 1.8263397002592683]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_169.png,espalda,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim8_Set1,0,None,10,9,10,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,63.29229260003194,64.35495130019262,64.35495130019262,64.35495130019262,64.35495130019262,64.35495130019262,64.35495130019262,64.35495130019262,64.35495130019262,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.21.557.wav,67.37616700027138,67.87622720003128,None,67.37616700027138,67.37616700027138,67.37616700027138,67.37616700027138,67.37616700027138,67.37616700027138,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_169.png,espalda,type,gold,switch,1,T,1,3,2,2,Stim8_Set1,0,None,11,10,11,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,67.87622720003128,69.00137110007927,69.00137110007927,69.00137110007927,69.00137110007927,69.00137110007927,69.00137110007927,69.00137110007927,69.00137110007927,"['e', 's', 'p', 'l', 'backspace', 'a']",0,espa,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.26.205.wav,72.02257220027968,72.52264600014314,None,72.02257220027968,72.02257220027968,72.02257220027968,72.02257220027968,72.02257220027968,72.02257220027968,"[0.8508325996808708, 1.019825799856335, 1.1525910999625921, 1.374845499638468, 2.672305699903518, 2.7749532996676862]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_687.png,camisa,type,gold,filler,1,F,1,3,2,2,Stim5_Set4,0,None,12,11,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,72.52264600014314,73.57147810002789,73.57147810002789,73.57147810002789,73.57147810002789,73.57147810002789,73.57147810002789,73.57147810002789,73.57147810002789,"['c', 'a', 'i', 'o', 's', 'a']",0,caiosa,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.30.774.wav,76.59956240002066,,None,76.59956240002066,76.59956240002066,76.59956240002066,76.59956240002066,76.59956240002066,76.59956240002066,"[1.4629920003935695, 1.655321600381285, 2.4479845999740064, 2.4519238001666963, 2.54963820008561, 2.7818569000810385]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_178.png,puente,type,gold,nontarget,1,NT,1,3,2,2,Stim1_Set1,1,repeat,13,12,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,77.09963429998606,78.18314890004694,78.18314890004694,78.18314890004694,78.18314890004694,78.18314890004694,78.18314890004694,78.18314890004694,78.18314890004694,"['p', 'u', 'e', 'n', 't', 'e']",0,puente,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.35.387.wav,81.21135450014845,,None,81.21135450014845,81.21135450014845,81.21135450014845,81.21135450014845,81.21135450014845,81.21135450014845,"[0.9436225001700222, 1.2525844001211226, 1.5251061003655195, 1.6509596002288163, 2.256891000084579, 2.4023895002901554]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_178.png,puente,speak,darkblue,switch,2,T,1,3,2,2,Stim1_Set1,0,None,14,13,14,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,81.71137760020792,82.76010710000992,82.76010710000992,82.76010710000992,82.76010710000992,82.76010710000992,82.76010710000992,82.76010710000992,82.76010710000992,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.39.963.wav,85.78135569998994,86.28149279998615,None,85.78135569998994,85.78135569998994,85.78135569998994,85.78135569998994,85.78135569998994,85.78135569998994,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_128.png,muñeca,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim4_Set1,1,repeat,15,14,15,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,86.28149279998615,87.34413790004328,87.34413790004328,87.34413790004328,87.34413790004328,87.34413790004328,87.34413790004328,87.34413790004328,87.34413790004328,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.44.547.wav,90.36525300005451,90.86535380035639,None,90.36525300005451,90.36525300005451,90.36525300005451,90.36525300005451,90.36525300005451,90.36525300005451,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_128.png,muñeca,type,gold,switch,1,T,1,3,2,2,Stim4_Set1,0,None,16,15,16,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,90.86535380035639,92.01133120013401,92.01133120013401,92.01133120013401,92.01133120013401,92.01133120013401,92.01133120013401,92.01133120013401,92.01133120013401,"['m', 'u', 'ñ', 'e', 'c', 'a']",0,muñeca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.49.213.wav,95.03254230041057,95.53260630043224,None,95.03254230041057,95.03254230041057,95.03254230041057,95.03254230041057,95.03254230041057,95.03254230041057,"[1.2067791000008583, 1.3921766001731157, 1.8203939003869891, 2.015723400283605, 2.2161026000976562, 2.320746600162238]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_319.png,vaca,speak,darkblue,filler,2,F,1,3,2,2,Stim1_Set4,1,switch,17,16,17,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,95.53260630043224,96.68557370034978,96.68557370034978,96.68557370034978,96.68557370034978,96.68557370034978,96.68557370034978,96.68557370034978,96.68557370034978,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.53.888.wav,99.70681820018217,100.20685700001195,None,99.70681820018217,99.70681820018217,99.70681820018217,99.70681820018217,99.70681820018217,99.70681820018217,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_728.png,pulpo,speak,darkblue,filler,2,F,1,3,2,2,Stim8_Set4,0,None,18,17,18,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,100.20685700001195,101.35978080006316,101.35978080006316,101.35978080006316,101.35978080006316,101.35978080006316,101.35978080006316,101.35978080006316,101.35978080006316,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.58.562.wav,104.38100450020283,104.88108050031587,None,104.38100450020283,104.38100450020283,104.38100450020283,104.38100450020283,104.38100450020283,104.38100450020283,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_381.png,fresa,type,gold,nontarget,1,NT,1,3,2,2,Stim2_Set1,1,switch,19,18,19,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,104.88108050031587,105.97842520009726,105.97842520009726,105.97842520009726,105.97842520009726,105.97842520009726,105.97842520009726,105.97842520009726,105.97842520009726,"['f', 'r', 'e', 's', 'a']",0,fresa,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.03.181.wav,108.99967400031164,109.49972850037739,None,108.99967400031164,108.99967400031164,108.99967400031164,108.99967400031164,108.99967400031164,108.99967400031164,"[1.324791599996388, 1.4610248999670148, 1.610523299779743, 1.7946148999035358, 2.0001441999338567]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_381.png,fresa,type,gold,repeat,1,T,1,3,2,2,Stim2_Set1,0,None,20,19,20,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,109.49972850037739,110.57630780013278,110.57630780013278,110.57630780013278,110.57630780013278,110.57630780013278,110.57630780013278,110.57630780013278,110.57630780013278,"['f', 'r', 'e', 's', 'a']",0,fresa,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.07.779.wav,113.59747350029647,114.09756090026349,None,113.59747350029647,113.59747350029647,113.59747350029647,113.59747350029647,113.59747350029647,113.59747350029647,"[1.0829448997974396, 1.2244691997766495, 1.3041910999454558, 1.4749233997426927, 1.6792073999531567]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_8.png,pierna,speak,darkblue,filler,2,F,1,3,2,2,Stim3_Set4,0,None,21,20,21,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,114.09756090026349,115.2227440001443,115.2227440001443,115.2227440001443,115.2227440001443,115.2227440001443,115.2227440001443,115.2227440001443,115.2227440001443,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.12.425.wav,118.24401989998296,118.7440069001168,None,118.24401989998296,118.24401989998296,118.24401989998296,118.24401989998296,118.24401989998296,118.24401989998296,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_48.png,bombero,speak,darkblue,filler,2,F,1,3,2,2,Stim7_Set4,0,None,22,21,22,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,118.7440069001168,119.8205141001381,119.8205141001381,119.8205141001381,119.8205141001381,119.8205141001381,119.8205141001381,119.8205141001381,119.8205141001381,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.17.024.wav,122.84172670030966,123.34189320029691,None,122.84172670030966,122.84172670030966,122.84172670030966,122.84172670030966,122.84172670030966,122.84172670030966,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_135.png,traje,type,gold,nontarget,1,NT,1,3,2,2,Stim3_Set1,1,switch,23,22,23,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,123.34189320029691,124.46699540037662,124.46699540037662,124.46699540037662,124.46699540037662,124.46699540037662,124.46699540037662,124.46699540037662,124.46699540037662,"['t', 'r', 'a', 'j', 'e']",0,traje,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.21.670.wav,127.48820310039446,127.98825620021671,None,127.48820310039446,127.48820310039446,127.48820310039446,127.48820310039446,127.48820310039446,127.48820310039446,"[1.1572904996573925, 1.303795199841261, 1.378510299604386, 2.1256887996569276, 2.2302819998003542]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_135.png,traje,type,gold,repeat,1,T,1,3,2,2,Stim3_Set1,0,None,24,23,24,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,127.98825620021671,129.07180960010737,129.07180960010737,129.07180960010737,129.07180960010737,129.07180960010737,129.07180960010737,129.07180960010737,129.07180960010737,"['t', 'r', 'a', 'j', 'e']",0,traje,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.26.274.wav,132.09293860010803,132.59303170023486,None,132.09293860010803,132.09293860010803,132.09293860010803,132.09293860010803,132.09293860010803,132.09293860010803,"[0.913583000190556, 1.0514771998859942, 1.1411700998432934, 1.481081500183791, 1.649831300135702]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_19.png,pavo,type,gold,nontarget,1,NT,1,3,2,2,Stim5_Set1,1,repeat,25,24,25,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,132.59303170023486,133.80158910015598,133.80158910015598,133.80158910015598,133.80158910015598,133.80158910015598,133.80158910015598,133.80158910015598,133.80158910015598,"['p', 'a', 'v', 'o']",0,pavo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h50.31.005.wav,136.8297005002387,,None,136.8297005002387,136.8297005002387,136.8297005002387,136.8297005002387,136.8297005002387,136.8297005002387,"[1.2152462000958622, 1.3118751998990774, 1.6469697998836637, 1.8202634998597205]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
