image,typedAns,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,imageObject.started,textboxType.started,textboxType.text,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.999063299997943,17.992243400003645,18.493221099997754,18.493221099997754,space,2.7615887000138173,,,,,,,001,2023-04-25_15h35.54.078,REPSWITCH_1,2022.2.5,60.12018024381098,
REPSWITCH1/PICTURE_1.png,None,ratón,speak,nontarget,2,NT,Stim1_Set1,0,0,0,0,,26.156760400001076,,,,,21.92243020000751,23.338384500006214,23.338384500006214,23.338384500006214,Non,,001,2023-04-25_15h35.54.078,REPSWITCH_1,2022.2.5,60.12018024381098,
,,,,,,,,,,,,,30.822371100002783,,,,,26.657445799995912,27.82171410000592,27.82171410000592,27.82171410000592,Nratonone,,,,,,,
