image,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,polygon.started,imageObject.started,textbox.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_1.png,ratón,speak,nontarget,2,NT,Stim1_Set1,0,35,35,35,,199.2870897790126,,,,,195.0098847495392,196.31365724018542,196.31365724018542,196.31365724018542,196.31365724018542,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_1.png,ratón,type,switch,1,T,Stim1_Set1,0,36,36,36,,203.90593133791117,,,,,199.81378319163923,200.9257135297521,200.9257135297521,200.9257135297521,200.9257135297521,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_675.png,molino,speak,filler,2,F,Stim7_Set3,0,37,37,37,,208.56290153134614,,,,,204.39993448572932,205.5728360756475,205.5728360756475,205.5728360756475,205.5728360756475,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_199.png,falda,type,nontarget,1,NT,Stim8_Set1,0,38,38,38,,213.2801766054472,,,,,209.05567347913166,210.29280738995294,210.29280738995294,210.29280738995294,210.29280738995294,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_199.png,falda,type,repeat,1,T,Stim8_Set1,0,39,39,39,,218.0464228806086,,,,,213.76977291633375,215.0658775009797,215.0658775009797,215.0658775009797,215.0658775009797,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_599.png,nube,speak,filler,2,F,Stim1_Set3,0,40,40,40,,222.94982493724092,,,,,218.54186910029966,219.96302445608308,219.96302445608308,219.96302445608308,219.96302445608308,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_141.png,girasol,type,nontarget,1,NT,Stim5_Set1,0,41,41,41,,227.71832174059818,,,,,223.4764846651815,224.73857893544482,224.73857893544482,224.73857893544482,224.73857893544482,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_141.png,girasol,type,repeat,1,T,Stim5_Set1,0,42,42,42,,232.58986637429916,,,,,228.24500343683758,229.60329729234218,229.60329729234218,229.60329729234218,229.60329729234218,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_614.png,reina,type,filler,1,F,Stim3_Set3,0,43,43,43,,237.45866302028298,,,,,233.0872082124406,234.47757868550252,234.47757868550252,234.47757868550252,234.47757868550252,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_66.png,tejado,speak,filler,2,F,Stim5_Set3,0,44,44,44,,242.2693335507647,,,,,237.95670442609116,239.28499205238768,239.28499205238768,239.28499205238768,239.28499205238768,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_184.png,bruja,type,nontarget,1,NT,Stim7_Set1,0,45,45,45,,246.98023391826428,,,,,242.76268106745556,244.00645818607882,244.00645818607882,244.00645818607882,244.00645818607882,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,247.47588761616498,,,,,,,,,,,
