image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textEndFam.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Practice/PICTURE_733.png,gafas,0,13,13,35,,151.29103409999516,,,,,,143.12781769991852,144.35979449993465,144.35979449993465,144.35979449993465,0.11779010004829615,148.72695949999616,151.22637859999668,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h16.45.155.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Practice/PICTURE_612.png,rana,0,14,14,32,,160.05582369992044,,,,,,151.7588078000117,153.04188059992157,153.04188059992157,153.04188059992157,0.009896000032313168,157.50808549998328,160.0075632999651,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h16.53.937.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_546.png,puerta,0,15,15,30,,168.7535359999165,,,,,,160.54023909999523,161.7557197000133,161.7557197000133,161.7557197000133,0.02737829997204244,166.222536199959,168.72235970001202,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.02.633.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,16,16,5,,177.4011610999005,,,,,,169.23790329997428,170.37071980000474,170.37071980000474,170.37071980000474,0.009702600073069334,174.83719270001166,177.33673270000145,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.11.267.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,17,17,16,,185.96590589999687,,,,,,177.87030519999098,179.01814659999218,179.01814659999218,179.01814659999218,0.10193400003481656,183.41856539994478,185.91836519993376,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.19.834.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Practice/PICTURE_614.png,reina,0,18,18,36,,194.59729979990516,,,,,,186.433864899911,187.55151219991967,187.55151219991967,187.55151219991967,0.003033700049854815,192.03318209992722,194.53257599996869,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.28.465.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,19,19,22,,203.24485039990395,,,,,,195.06505949993152,196.21433369989973,196.21433369989973,196.21433369989973,0.010551100014708936,200.6968531999737,203.19691910000984,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.37.112.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_545.png,braga,0,20,20,28,,211.992730799946,,,,,,203.71322169993073,204.96242949995212,204.96242949995212,204.96242949995212,0.009058599942363799,209.42908219993114,211.92838109994773,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.45.856.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,21,21,29,,220.69144439999945,,,,,,212.46077929995954,213.67694129992742,213.67694129992742,213.67694129992742,0.009763200068846345,218.1601983999135,220.6595468999585,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h17.54.573.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,22,22,25,,229.4224635999417,,,,,,221.17543149995618,222.4908609999111,222.4908609999111,222.4908609999111,0.11192639998625964,226.8581656999886,229.35756229993422,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.03.289.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
