image;correctAns;respModal;frameColor;modalSymb;repSwitch;sequence;target;trialsPractice.thisRepN;trialsPractice.thisTrialN;trialsPractice.thisN;trialsPractice.thisIndex;textWelcomePractice.started;textBlank500.started;textInstrPractice.started;keyInstrPractice.started;keyInstrPractice.keys;keyInstrPractice.rt;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonCol.started;polygonWh.started;imagePractice.started;textCue.started;polygonText.started;textPractice.started;keyPractice.started;micPractice.started;micPractice.stopped;keyPractice.keys;keyPractice.corr;subjResponse;micPractice.clip;keyPractice.rt;polygonCol.stopped;polygonWh.stopped;imagePractice.stopped;textCue.stopped;polygonText.stopped;textPractice.stopped;keyPractice.stopped;text.started;participant;session;date;expName;psychopyVersion;frameRate;Column1
REPSWITCH1_Practice/PICTURE_733.png;gafas;speak;yellow;REPSWITCH1_Practice/lips.png;switch;1;T;0;9;9;9;;7,13596E+13;;;;;;6,71787E+14;6,83469E+15;6,83469E+15;6,83469E+15;6,83469E+15;6,83469E+15;6,83469E+15;6,83469E+15;6,83469E+15;2,5898E+15;2,01627E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.31.706.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_614.png;reina;type;blue;REPSWITCH1_Practice/keyboard.png;filler;2;F;0;10;10;10;;7,60265E+15;;;;;7,65268E+14;7,18615E+14;7,31439E+15;7,31439E+15;7,31439E+15;7,31439E+15;7,31439E+15;7,31439E+15;7,31439E+15;7,31439E+15;1,04601E+16;2,117E+16;['r', 'e', 'i', 'n', 'a'];0;reina;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.36.388.wav;[0.9716705000028014, 1.0732884999597445, 1.175543099991046, 1.3011877000099048, 1.4975096000125632];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_110.png;mesa;speak;yellow;REPSWITCH1_Practice/lips.png;nontarget;1;NT;0;11;11;11;;8,07928E+15;;;;;8,12925E+15;7,65268E+14;7,77947E+15;7,77947E+15;7,77947E+15;7,77947E+15;7,77947E+15;7,77947E+15;7,77947E+15;7,77947E+15;2,6889E+15;2,01681E+15;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.41.153.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_110.png;mesa;type;blue;REPSWITCH1_Practice/keyboard.png;switch;1;T;0;12;12;12;;8,54748E+14;;;;;8,59744E+15;8,12925E+15;8,24764E+15;8,24764E+15;8,24764E+15;8,24764E+15;8,24764E+15;8,24764E+15;8,24764E+15;8,24764E+15;3,3172E+16;2,00028E+15;['m', 'e', 's', 's', 'a'];0;messa;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.45.835.wav;[0.5762374000041746, 0.7121026000240818, 1.0077965999953449, 1.1332629999960773, 1.616928100003861];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_570.png;toro;speak;yellow;REPSWITCH1_Practice/lips.png;filler;2;F;0;13;13;13;;9,02239E+15;;;;;9,07234E+15;8,59744E+15;8,72253E+15;8,72253E+15;8,72253E+15;8,72253E+15;8,72253E+15;8,72253E+15;8,72253E+15;8,72253E+15;2,7758E+15;1,99949E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.50.584.wav;;9,02239E+15;9,02239E+15;9,02239E+15;9,02239E+15;9,02239E+15;9,02239E+15;9,02239E+15;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_733.png;gafas;type;blue;REPSWITCH1_Practice/keyboard.png;nontarget;1;NT;0;14;14;14;;9,47896E+15;;;;;;9,07234E+15;9,17746E+15;9,17746E+15;9,17746E+15;9,17746E+15;9,17746E+15;9,17746E+15;9,17746E+15;9,17746E+15;2,5534E+15;2,00013E+16;['g', 'a', 'f', 'a', 's'];0;gafas;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.55.151.wav;[1.1476177999866195, 1.3188972999923863, 1.4829698000103235, 1.5769988000392914, 1.709641500026919];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_733.png;gafas;type;blue;REPSWITCH1_Practice/keyboard.png;repeat;1;T;0;15;15;15;;9,94884E+15;;;;;9,99875E+15;9,52894E+15;9,64894E+15;9,64894E+15;9,64894E+15;9,64894E+15;9,64894E+15;9,64894E+15;9,64894E+15;9,64894E+15;2,5579E+16;1,99995E+16;['g', 'a', 'f', 'a', 's'];0;gafas;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.59.849.wav;[0.9274589999695309, 1.077013199974317, 1.2172259999788366, 1.3278097999864258, 1.4369237999781035];9,94884E+15;9,94884E+15;9,94884E+15;9,94884E+15;9,94884E+15;9,94884E+15;9,94884E+15;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_614.png;reina;speak;yellow;REPSWITCH1_Practice/lips.png;filler;2;F;0;16;16;16;;1,04037E+16;;;;;1,04537E+15;9,99875E+15;1,01039E+16;1,01039E+16;1,01039E+16;1,01039E+16;1,01039E+16;1,01039E+16;1,01039E+16;1,01039E+16;2,8161E+16;1,99954E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.04.398.wav;;1,04037E+16;1,04037E+16;1,04037E+16;1,04037E+16;1,04037E+16;1,04037E+16;1,04037E+16;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_612.png;rana;type;blue;REPSWITCH1_Practice/keyboard.png;nontarget;1;NT;0;17;17;17;;1,08686E+16;;;;;;1,04537E+15;1,05671E+15;1,05671E+15;1,05671E+15;1,05671E+15;1,05671E+15;1,05671E+15;1,05671E+15;1,05671E+15;3,441E+16;2,00182E+16;['f', 'r', 'o', 'g'];0;frog;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.09.046.wav;[2.2715135000180453, 2.4429497999954037, 2.5491840000031516, 2.6786944000050426];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_612.png;rana;type;blue;REPSWITCH1_Practice/keyboard.png;repeat;2;T;0;18;18;18;;1,13502E+15;;;;;1,14001E+16;1,09186E+16;1,10503E+16;1,10503E+16;1,10503E+16;1,10503E+16;1,10503E+16;1,10503E+16;1,10503E+16;1,10503E+16;3,2048E+16;2,00026E+15;['f', 'r', 'o', 'g'];0;frog;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.13.863.wav;[0.7410837999777868, 0.921184099977836, 1.0581216999562457, 1.1997550000087358];1,13502E+15;1,13502E+15;1,13502E+15;1,13502E+15;1,13502E+15;1,13502E+15;1,13502E+15;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_599.png;nube;type;blue;REPSWITCH1_Practice/keyboard.png;filler;2;F;0;19;19;19;;1,18167E+16;;;;;;1,14001E+16;1,15152E+16;1,15152E+16;1,15152E+16;1,15152E+16;1,15152E+16;1,15152E+16;1,15152E+16;1,15152E+16;3,4352E+16;1,99957E+16;['c', 'l', 'o', 'u', 'd'];0;cloud;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.18.527.wav;[0.8573562999954447, 0.9929840000113472, 1.1889650000375696, 1.4125452000298537, 1.4324546999996528];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_12.png;sirena;speak;yellow;REPSWITCH1_Practice/lips.png;nontarget;2;NT;0;20;20;20;;1,22733E+16;;;;;1,23233E+15;1,18667E+15;1,19734E+16;1,19734E+16;1,19734E+16;1,19734E+16;1,19734E+16;1,19734E+16;1,19734E+16;1,19734E+16;2,9355E+15;1,99995E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.23.094.wav;;1,22733E+16;1,22733E+16;1,22733E+16;1,22733E+16;1,22733E+16;1,22733E+16;1,22733E+16;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_12.png;sirena;type;blue;REPSWITCH1_Practice/keyboard.png;switch;2;T;0;21;21;21;;1,27463E+16;;;;;;1,23233E+15;1,24433E+16;1,24433E+16;1,24433E+16;1,24433E+16;1,24433E+16;1,24433E+16;1,24433E+16;1,24433E+16;3,0323E+16;2,00074E+15;['s', 'i', 'r', 'e', 'n', 'a'];0;sirena;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.27.809.wav;[0.8470542000140995, 1.0056381999747828, 1.1656267999787815, 1.2217973999795504, 1.3996350999805145, 1.5792379999766126];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_614.png;reina;speak;yellow;REPSWITCH1_Practice/lips.png;filler;1;F;0;22;22;22;;1,32064E+16;;;;;1,32564E+15;1,27949E+16;1,29066E+15;1,29066E+15;1,29066E+15;1,29066E+15;1,29066E+15;1,29066E+15;1,29066E+15;1,29066E+15;2,9868E+16;2,01621E+15;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.32.424.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_570.png;toro;type;blue;REPSWITCH1_Practice/keyboard.png;filler;1;F;0;23;23;23;;1,36662E+16;;;;;;1,32564E+15;1,33663E+16;1,33663E+16;1,33663E+16;1,33663E+16;1,33663E+16;1,33663E+16;1,33663E+16;1,33663E+16;6,0382E+15;2,01549E+15;['r', 'backspace', 't', 'o', 'r', 'o'];0;toro;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h55.37.023.wav;[0.7820056999917142, 1.3689233000040986, 1.619676599977538, 1.712911400012672, 1.8624472999945283, 1.9772571999928914];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
;;;;;;;;;;;;;1,37162E+13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,37663E+16;;;;;;;
