image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,16.80556899961084,18.791996699757874,19.298917000181973,19.298917000181973,space,1.9374229004606605,,,,,,,,,,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,0,0,10,,29.01538740005344,,,,,21.75683659967035,21.75683659967035,22.99429429974407,22.99429429974407,22.99429429974407,0.006690099835395813,26.47265370003879,28.97386569995433,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.08.089.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,1,1,19,,36.564903900027275,,,,,,29.48063430003822,30.54361109994352,30.54361109994352,30.54361109994352,0.0016371998935937881,34.029178999364376,36.530465699732304,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.15.640.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,2,2,22,,44.134417300112545,,,,,,37.03706720005721,38.10690530017018,38.10690530017018,38.10690530017018,0.0013054003939032555,41.59266889933497,44.09273299947381,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.23.212.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,3,3,0,,51.70474089961499,,,,,,44.600072199478745,45.6773528996855,45.6773528996855,45.6773528996855,0.0012215999886393547,49.16293499991298,51.66310639958829,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.30.782.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,4,4,5,,59.26132079958916,,,,,,52.177044299431145,53.233633699826896,53.233633699826896,53.233633699826896,0.0011211000382900238,56.71986569929868,59.219523100182414,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.38.338.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,5,5,3,,66.83150650002062,,,,,,59.72714590001851,60.80409900005907,60.80409900005907,60.80409900005907,0.0013830997049808502,64.28956819977611,66.78980659972876,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.45.910.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,6,6,4,,74.50599539931864,,,,,,67.30375889968127,68.47847360000014,68.47847360000014,68.47847360000014,0.0014205006882548332,71.96400559972972,74.46433139964938,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h51.53.584.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,7,7,38,,82.15977529995143,,,,,,74.97828179970384,76.13225609995425,76.13225609995425,76.13225609995425,0.0013250000774860382,79.61765890009701,82.11799110006541,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.01.237.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Practice/PICTURE_570.png,toro,0,8,8,34,,89.73076630011201,,,,,,82.62514179944992,83.70951979979873,83.70951979979873,83.70951979979873,0.0013912003487348557,87.19558290019631,89.69591399934143,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.08.805.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
