image,correctAns,respModal,frameColour,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.rt,subjResponse,micResp.clip,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,98.70805789998849,100.6874259999895,101.1878546999942,101.1878546999942,space,1.18954899997334,,,,,,,,,,,,,,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_1.png,ratón,speak,red,nontarget,2,NT,Stim1_Set1,0,0,0,0,,107.35074349999195,,,,,103.08464079999248,103.08464079999248,104.40236849998473,104.40236849998473,104.40236849998473,104.40236849998473,104.40236849998473,104.40236849998473,0.04173190001165494,"['m', 'o', 'u', 's', 'e']","[1.8676676000177395, 2.017674000002444, 2.105528400017647, 2.2123447000049055, 2.2655549999908544]",mouse,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h10.40.941.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_1.png,ratón,speak,red,repeat,2,T,Stim1_Set1,0,1,1,1,,111.88301679998403,,,,,,107.8355634000036,108.8693255999824,108.8693255999824,108.8693255999824,108.8693255999824,108.8693255999824,108.8693255999824,0.002500599977793172,"['m', 'o', 'u', 's', 'e']","[0.9979500999907032, 1.1382602999801748, 1.2525391999806743, 1.3428114999842364, 1.4396156999864615]",mouse,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h10.45.467.wav,111.88301679998403,111.88301679998403,111.88301679998403,111.88301679998403,111.88301679998403,2.9994279999809805,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_599.png,nube,type,blue,filler,1,F,Stim1_Set3,0,2,2,2,,116.56519160000607,,,,,,112.38405639998382,113.6503323999932,113.6503323999932,113.6503323999932,113.6503323999932,113.6503323999932,113.6503323999932,0.10946159999002703,"['c', 'l', 'o', 'u', 'd']","[1.594191399984993, 1.6903485000075307, 1.8664787999878172, 1.9440153999894392, 2.0413911000068765]",cloud,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h10.50.150.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_110.png,mesa,speak,red,nontarget,2,NT,Stim2_Set1,0,3,3,3,,121.34725520000211,,,,,,117.04993969999487,118.43232989998069,118.43232989998069,118.43232989998069,118.43232989998069,118.43232989998069,118.43232989998069,0.10742660000687465,"['m', 'e', 's', 'a']","[0.8684107000008225, 1.0609429999894928, 1.220777700014878, 1.3965052000130527]",mesa,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h10.54.930.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_110.png,mesa,speak,red,repeat,2,T,Stim2_Set1,0,4,4,4,,126.17965259999619,,,,,,121.832241600001,123.16594889998669,123.16594889998669,123.16594889998669,123.16594889998669,123.16594889998669,123.16594889998669,0.002523800008930266,"['m', 'e', 's', 'a']","[1.7232751999981701, 1.8195049999922048, 1.897704100003466, 2.028884500003187]",mesa,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h10.59.762.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_610.png,miel,type,blue,filler,1,F,Stim2_Set3,0,5,5,5,,130.84510139998747,,,,,,126.68098780000582,127.91363209998235,127.91363209998235,127.91363209998235,127.91363209998235,127.91363209998235,127.91363209998235,0.10089060000609607,"['h', 'o', 'n', 'e', 'y']","[1.2641653000027873, 1.3942166000197176, 1.5846138000197243, 1.6908621000184212, 1.8357207000080962]",honey,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.04.430.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_12.png,sirena,speak,red,nontarget,2,NT,Stim3_Set1,0,6,6,6,,135.44364599999972,,,,,,131.33003219999955,132.5290445999999,132.5290445999999,132.5290445999999,132.5290445999999,132.5290445999999,132.5290445999999,0.11044330001459457,"['s', 'i', 'r', 'e', 'n', 'e']","[1.3142157999973278, 1.4896498000016436, 1.6622041999944486, 1.7461919999914244, 2.140258700004779, 2.2294383000116795]",sirene,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.09.030.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_12.png,sirena,type,blue,switch,1,T,Stim3_Set1,0,7,7,7,,140.17611830000533,,,,,,135.9290921999782,137.16246599997976,137.16246599997976,137.16246599997976,137.16246599997976,137.16246599997976,137.16246599997976,0.0026694000116549432,"['s', 'i', 'r', 'e', 'n', 'e']","[1.2788630000140984, 1.3965024999924935, 1.5255102000082843, 1.5946266000100877, 1.7080125999927986, 1.7651592000038363]",sirene,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.13.761.wav,140.17611830000533,140.17611830000533,140.17611830000533,140.17611830000533,140.17611830000533,2.9997418000129983,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_128.png,muñeca,type,blue,nontarget,1,NT,Stim4_Set1,0,8,8,8,,145.05830999999307,,,,,,140.6779542999866,142.06048369998462,142.06048369998462,142.06048369998462,142.06048369998462,142.06048369998462,142.06048369998462,0.00952969997888431,"['p', 'o', 'u', 'e', 'p', 'backspace']","[1.1984527000167873, 1.3346336999966297, 1.4115158000204246, 1.6186798000126146, 1.6762172000017017, 2.5341426000231877]",poue,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.18.639.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_128.png,muñeca,speak,red,switch,2,T,Stim4_Set1,0,9,9,9,,149.72375989999273,,,,,,145.5598192999896,146.7102193000028,146.7102193000028,146.7102193000028,146.7102193000028,146.7102193000028,146.7102193000028,0.002391599991824478,"['p', 'o', 'u', 'e', 'p', 'e', 'e']","[1.1191195000137668, 1.2451100000180304, 1.3796731000184081, 1.5367799999949057, 1.6407733999949414, 1.7373382000077982, 1.8926037000201177]",pouepee,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.23.307.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_614.png,reina,speak,red,filler,2,F,Stim3_Set3,0,10,10,10,,154.50558599998476,,,,,,150.22567679997883,151.60749259998556,151.60749259998556,151.60749259998556,151.60749259998556,151.60749259998556,151.60749259998556,0.121940299984999,None,,,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.28.093.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_141.png,girasol,speak,red,nontarget,2,NT,Stim5_Set1,0,11,11,11,,159.17125319998013,,,,,,154.99125739999,156.1734720999957,156.1734720999957,156.1734720999957,156.1734720999957,156.1734720999957,156.1734720999957,0.007721200003288686,"['t', 'o', 'u', 'r', 'n', 'e', 's', 'o', 'l', 'l']","[0.9879165999882389, 1.1026116000139154, 1.1346350999956485, 1.2512909999932162, 1.3900023000023793, 1.4398071999894455, 1.6162764999899082, 1.6948229999979958, 1.8544272999861278, 2.691169700003229]",tourneso,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.32.760.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_141.png,girasol,type,blue,switch,1,T,Stim5_Set1,0,12,12,12,,163.82017389999237,,,,,,159.67326469998807,160.8073599000054,160.8073599000054,160.8073599000054,160.8073599000054,160.8073599000054,160.8073599000054,0.003972600010456517,"['t', 'o', 'u', 'r', 'n', 'e', 'l', 'backspace', 's', 'o', 'l', 'l']","[0.7449579999956768, 0.8604932999878656, 0.9093586999806575, 1.0163365999760572, 1.1238256999931764, 1.1916400999762118, 1.3274973999941722, 1.8293881999852601, 1.9403548999980558, 2.0823608999780845, 2.2375742999720387, 2.689158099994529]",tourneso,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.37.407.wav,163.82017389999237,163.82017389999237,163.82017389999237,163.82017389999237,163.82017389999237,2.9995630999910645,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_631.png,ladrón,speak,red,filler,2,F,Stim4_Set3,0,13,13,13,,168.4192403999914,,,,,,164.3220519000024,165.42090460000327,165.42090460000327,165.42090460000327,165.42090460000327,165.42090460000327,165.42090460000327,0.03302659999462776,['l'],[2.746609099995112],l,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.42.008.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_16.png,cazador,type,blue,nontarget,1,NT,Stim6_Set1,0,14,14,14,,173.23460699999123,,,,,,168.90448789999937,170.21983759998693,170.21983759998693,170.21983759998693,170.21983759998693,170.21983759998693,170.21983759998693,0.008733699971344322,"['l', 'a', 'd', 'r', 'o', 'n', 'n', 'l', 'k', 'k', 'k', 'k', 'k']","[0.4108554999984335, 0.5327066000027116, 0.6093407000007574, 0.7829084999975748, 0.852592299983371, 1.119318299985025, 1.3357692999998108, 1.6189833999960683, 1.9846062999858987, 2.1673479999881238, 2.3362687999906484, 2.50876120000612, 2.713525600003777]",ladronnl,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.46.818.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_16.png,cazador,type,blue,repeat,1,T,Stim6_Set1,0,15,15,15,,177.8839283999987,,,,,,173.71962699998403,174.85460190000595,174.85460190000595,174.85460190000595,174.85460190000595,174.85460190000595,174.85460190000595,0.0038305999769363552,None,,,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.51.474.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_66.png,tejado,speak,red,filler,2,F,Stim5_Set3,0,16,16,16,,182.4995844999794,,,,,,178.3687066999846,179.56784780000453,179.56784780000453,179.56784780000453,179.56784780000453,179.56784780000453,179.56784780000453,0.10411230000318028,"['t', 'o', 'i', 't']","[1.0678244000009727, 1.174038199998904, 1.2159018999955151, 1.3512937999912538]",toit,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h11.56.089.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
REPSWITCH1/PICTURE_184.png,bruja,type,blue,nontarget,1,NT,Stim7_Set1,0,17,17,17,,187.23166099999798,,,,,,182.9846577999997,184.3165743999998,184.3165743999998,184.3165743999998,184.3165743999998,184.3165743999998,184.3165743999998,0.10991339999600314,"['s', 'o', 'r', 'c', 'i', 'e', 'r', 'e']","[1.8833297000091989, 1.9703812999941874, 2.057068900001468, 2.2625746999983676, 2.3330469999928027, 2.412266900006216, 2.5097969000053126, 2.5809407999913674]",sorciere,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_10h10.24.394_micResp_recorded\recording_micResp_2023-05-08_10h12.00.818.wav,,,,,,,,001,2023-05-08_10h10.24.394,REPSWITCH_1,2022.2.5,60.58241510448269,
