image,correctAns,respModal,frameColour,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textBlank500.stopped,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonText.started,textInput.started,keyResp.started,micResp.started,micResp.stopped,keyResp.keys,keyResp.rt,subjResponse,micResp.clip,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.909138199989684,13.905664299993077,14.405681799980812,14.405681799980812,14.405681799980812,space,0.7169044999754988,,,,,,,,,,,,,,,,001,2023-05-08_16h31.28.951,REPSWITCH_1,2022.2.5,60.017345015524604,
REPSWITCH1/PICTURE_1.png,ratón,speak,yellow,nontarget,2,NT,Stim1_Set1,0,0,0,0,,19.820924699975876,15.670587499975227,,,,,15.670587499975227,16.85471939999843,16.85471939999843,16.85471939999843,16.85471939999843,16.85471939999843,16.85471939999843,16.85471939999843,0.004181399999652058,2.0499937999993563,"['r', 'a', 't', 'o', 'n']","[0.31944530000328086, 0.43612679999205284, 0.5626468000118621, 0.744630800007144, 0.8019106000137981]",raton,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-08_16h31.28.951_micResp_recorded\recording_micResp_2023-05-08_16h31.41.817.wav,,001,2023-05-08_16h31.28.951,REPSWITCH_1,2022.2.5,60.017345015524604,
,,,,,,,,,,,,,,,,,,,20.320727299986174,,,,,,,,,,,,,,,,,,,,
