image,typedAns,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,imageObject.started,textboxType.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,23.074453900000663,25.08434319999651,25.586205699990387,25.586205699990387,space,1.297395100002177,,,,,,,001,2023-04-25_15h40.43.245,REPSWITCH_1,2022.2.5,59.938706679343625,
REPSWITCH1/PICTURE_1.png,None,ratón,speak,nontarget,2,NT,Stim1_Set1,0,0,0,0,,31.566452599989134,,,,,27.464760399991064,27.464760399991064,29.048159899990424,29.048159899990424,29.048159899990424,,001,2023-04-25_15h40.43.245,REPSWITCH_1,2022.2.5,59.938706679343625,
,,,,,,,,,,,,,,,,,,,32.066582499988726,33.181807899993146,33.181807899993146,33.181807899993146,,,,,,,
