image,correctAns,respModal,frameColour,repSwitch,sequence,target,set,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textWelcome.stopped,textBlank500.started,textBlank500.stopped,textInstrMain.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,micResp.stopped,keyResp.keys,keyResp.corr,subjResponse,micResp.clip,keyPause.keys,keyResp.rt,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textPause.started,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_19.png,pavo,speak,yellow,switch,2,T,1,Stim4_Set1,0,9,9,9,,,67.2531650000019,67.75286519998917,,,,,62.92071129998658,64.25557999999728,64.25557999999728,64.25557999999728,64.25557999999728,64.25557999999728,64.25557999999728,64.25557999999728,0.005039100011344999,2.0004819000023417,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.01.642.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_381.png,fresa,speak,yellow,filler,2,F,1,Stim3_Set4,0,10,10,10,,,71.8187145999982,72.31864599999972,,,,,67.75286519998917,68.8383006999793,68.8383006999793,68.8383006999793,68.8383006999793,68.8383006999793,68.8383006999793,68.8383006999793,0.025740699988091365,2.0338878000038676,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.06.207.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_199.png,falda,speak,yellow,nontarget,2,NT,1,Stim5_Set1,0,11,11,11,,,76.55094069999177,77.05077469997923,,,,,72.31864599999972,73.89896729998873,73.89896729998873,73.89896729998873,73.89896729998873,73.89896729998873,73.89896729998873,73.89896729998873,0.35620160002144985,2.3502889999945182,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.10.940.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_199.png,falda,type,indigo,switch,1,T,1,Stim5_Set1,0,12,12,12,,,81.13287229998969,81.63289310000255,,,,,77.05077469997923,78.13559039999382,78.13559039999382,78.13559039999382,78.13559039999382,78.13559039999382,78.13559039999382,78.13559039999382,0.003103800001554191,2.0010047999967355,"['f', 'a', 'l', 'd', 'a']",0,falda,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.15.522.wav,None,"[0.8632629000057932, 0.9573246999934781, 1.061442000005627, 1.1747164000116754, 1.2580995000025723]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_546.png,puerta,speak,yellow,filler,2,F,1,Stim4_Set4,0,13,13,13,,,85.79864629998337,86.2984927999787,,,,,81.63289310000255,82.92474429999129,82.92474429999129,82.92474429999129,82.92474429999129,82.92474429999129,82.92474429999129,82.92474429999129,0.13010849998681806,2.1337995999783743,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.20.187.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_235.png,aguja,type,indigo,nontarget,1,NT,1,Stim6_Set1,0,14,14,14,,,90.78080129998852,,,,,,86.2984927999787,87.76994440000271,87.76994440000271,87.76994440000271,87.76994440000271,87.76994440000271,87.76994440000271,87.76994440000271,0.01194899997790344,2.0166076999739744,"['a', 'g', 'u', 'j', 'a']",0,aguja,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.25.170.wav,None,"[1.2680320000217762, 1.510733800008893, 1.6257190000033006, 1.809267800010275, 1.8525935000216123]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_235.png,aguja,type,indigo,repeat,1,T,1,Stim6_Set1,0,15,15,15,,,95.34669439998106,95.84644209998078,,,,,91.28063169997768,92.34880409998004,92.34880409998004,92.34880409998004,92.34880409998004,92.34880409998004,92.34880409998004,92.34880409998004,0.00369810001575388,2.0005653999978676,"['a', 'g', 'u', 'j', 'a']",0,aguja,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.29.735.wav,None,"[1.070895400014706, 1.2849625000089873, 1.3734031000058167, 1.5520427000010386, 1.7712151000159793]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_636.png,oveja,speak,yellow,filler,2,F,1,Stim5_Set4,0,16,16,16,,,99.99534279998625,100.49511429999257,,,,,95.84644209998078,97.00153919999138,97.00153919999138,97.00153919999138,97.00153919999138,97.00153919999138,97.00153919999138,97.00153919999138,0.013394100009463727,2.0177192999981344,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.34.384.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_264.png,mano,type,indigo,nontarget,1,NT,1,Stim7_Set1,0,17,17,17,,,104.66114660000312,105.16040170000633,,,,,100.49511429999257,101.67141459998675,101.67141459998675,101.67141459998675,101.67141459998675,101.67141459998675,101.67141459998675,101.67141459998675,0.01680300000589341,2.016788999986602,"['m', 'a', 'n', 'o']",0,mano,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.39.050.wav,None,"[1.2616553000116255, 1.358477000001585, 1.4740158999920823, 1.5518135000020266]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_264.png,mano,type,indigo,repeat,1,T,1,Stim7_Set1,0,18,18,18,,,109.3427326999954,,,,,,105.16040170000633,106.3350017000048,106.3350017000048,106.3350017000048,106.3350017000048,106.3350017000048,106.3350017000048,106.3350017000048,0.009093700005905703,2.0163502999930643,"['m', 'a', 'n', 'o']",0,mano,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.43.732.wav,None,"[0.6934984999825247, 0.7926044999912847, 0.8911341999773867, 0.9786040999752004]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_545.png,braga,speak,yellow,filler,2,F,1,Stim6_Set4,0,19,19,19,,,114.00860299999476,114.5083522000059,,,,,109.84287409999524,111.01474419998704,111.01474419998704,111.01474419998704,111.01474419998704,111.01474419998704,111.01474419998704,111.01474419998704,0.011568499990971759,2.0180332000018097,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.48.397.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_271.png,conejo,type,indigo,nontarget,1,NT,1,Stim8_Set1,0,20,20,20,,,118.70744629998808,119.2073262000049,,,,,114.5083522000059,115.71193570000469,115.71193570000469,115.71193570000469,115.71193570000469,115.71193570000469,115.71193570000469,115.71193570000469,0.009352499997476116,2.016940000001341,"['c', 'o', 'n', 'e', 'j', 'o']",0,conejo,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.53.096.wav,None,"[1.2875895999895874, 1.4233259999891743, 1.6402565999887884, 1.9197816999803763, 2.0532337999902666, 2.3175896999891847]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_271.png,conejo,speak,yellow,switch,2,T,1,Stim8_Set1,0,21,21,21,,,123.43960099999094,123.94006029999582,,,,,119.2073262000049,120.44207910000114,120.44207910000114,120.44207910000114,120.44207910000114,120.44207910000114,120.44207910000114,120.44207910000114,0.004471199994441122,2.000766199984355,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h40.57.828.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_8.png,pierna,type,indigo,filler,1,F,1,Stim7_Set4,0,22,22,22,,,128.10490969999228,128.60529499998665,,,,,123.94006029999582,125.43926789998659,125.43926789998659,125.43926789998659,125.43926789998659,125.43926789998659,125.43926789998659,125.43926789998659,0.3412845999991987,2.333894000010332,"['p', 'i', 'e', 'r', 'n', 'a']",0,pierna,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h41.02.493.wav,None,"[1.3654701999912504, 1.5014151000068523, 1.5377334000077099, 1.6455499000148848, 1.7901303000107873, 1.8439231000083964]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_91.png,boca,type,indigo,filler,1,F,1,Stim8_Set4,0,23,23,23,,,132.73725320000085,133.2372761000006,,,,,128.60529499998665,129.8304105999996,129.8304105999996,129.8304105999996,129.8304105999996,129.8304105999996,129.8304105999996,129.8304105999996,0.09901790000731125,2.1005714000202715,"['b', 'o', 'c', 'a']",0,boca,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h41.07.126.wav,None,"[0.9139217000047211, 1.0674346000014339, 1.2252477000001818, 1.3192321000096854]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_128.png,muñeca,speak,yellow,filler,2,F,2,Stim1_Set1,0,24,24,24,,,137.48596619997988,137.9861557999975,,,,,133.2372761000006,134.4885996999801,134.4885996999801,134.4885996999801,134.4885996999801,134.4885996999801,134.4885996999801,134.4885996999801,0.0039676999731455,2.0008951999770943,None,0,,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h41.11.875.wav,None,,,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
REPSWITCH1/PICTURE_16.png,cazador,type,indigo,nontarget,1,NT,2,Stim1_Set2,0,25,25,25,,,142.20176209998317,142.70174449999467,,,,,137.9861557999975,139.28423970000586,139.28423970000586,139.28423970000586,139.28423970000586,139.28423970000586,139.28423970000586,139.28423970000586,0.08999390000826679,2.0837272999924608,"['c', 'a', 'z', 'a', 's', 'backspace', 'd', 'p']",0,cazadp,D:\GitHub\experiment1\data/301929_REPSWITCH_1_2023-06-21_11h38.59.143_micResp_recorded\recording_micResp_2023-06-21_11h41.16.591.wav,None,"[1.0579466999915894, 1.1899780000094324, 1.5707817999937106, 1.7846022000012454, 2.047527099988656, 2.350287599983858, 2.526125900010811, 2.6553067000058945]",,,,,,,,,301929,001,2023-06-21_11h38.59.143,REPSWITCH_1,2022.2.5,60.00283214127184,
