image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,12.72213529999135,14.736748999974225,15.236693899991224,15.236693899991224,space,0.4964301000291016,,,,,,,,,,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_128.png,muñeca,0,0,0,0,,24.435166999988724,,,,,16.268325199984247,16.268325199984247,17.485564499977045,17.485564499977045,17.485564499977045,20.484989999997197,20.484989999997197,20.95202719999361,,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_142.png,vaso,0,1,1,1,,32.03263129998231,,,,,32.532285099994624,24.467577099974733,25.535242499987362,25.535242499987362,25.535242499987362,28.53367459998117,28.53367459998117,29.016323799995007,32.016069599980256,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_152.png,caracol,0,2,2,2,,40.18072309999843,,,,,40.68036790000042,32.532285099994624,33.682766999991145,33.682766999991145,33.682766999991145,36.69801419999567,36.69801419999567,37.16440129998955,40.163658999983454,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_16.png,cazador,0,3,3,3,,48.37814859999344,,,,,48.87825699997484,40.68036790000042,41.88092809999944,41.88092809999944,41.88092809999944,44.879484899982344,44.879484899982344,45.37863739999011,48.37814859999344,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_175.png,pintor,0,4,4,4,,56.443374599999515,,,,,56.94329869997455,48.87825699997484,49.945441199990455,49.945441199990455,49.945441199990455,52.94428060000064,52.94428060000064,53.44389969998156,56.443374599999515,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_178.png,puente,0,5,5,5,,64.64109369998914,,,,,65.14113979999092,56.94329869997455,58.17502599998261,58.17502599998261,58.17502599998261,61.175524499994935,61.175524499994935,61.64171689999057,64.64109369998914,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_19.png,pavo,0,6,6,6,,72.73936739997589,,,,,73.23908309999388,65.14113979999092,66.3562267999805,66.3562267999805,66.3562267999805,69.35663709999062,69.35663709999062,69.74006159999408,72.73936739997589,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_199.png,falda,0,7,7,7,,80.85423549998086,,,,,81.3549908999994,73.23908309999388,74.47134819999337,74.47134819999337,74.47134819999337,77.47156799997902,77.47156799997902,77.8379014999955,80.83799709999585,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_235.png,aguja,0,8,8,8,,89.06859419998364,,,,,89.56852179998532,81.3549908999994,82.68620399999782,82.68620399999782,82.68620399999782,85.68638599998667,85.68638599998667,86.06909379997524,89.06859419998364,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_242.png,cartero,0,9,9,9,,97.15001009998377,,,,,97.6498816999956,89.56852179998532,90.76726649998454,90.76726649998454,90.76726649998454,93.76763899999787,93.76763899999787,94.15110279998044,97.15001009998377,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_264.png,mano,0,10,10,10,,105.39777439998579,,,,,105.89792369998759,97.6498816999956,98.93217759998515,98.93217759998515,98.93217759998515,101.93248279998079,101.93248279998079,102.38246069999877,105.39777439998579,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
REPSWITCH1/PICTURE_271.png,conejo,0,11,11,11,,113.52933459999622,,,,,114.02930139997625,105.89792369998759,107.1139678999898,107.1139678999898,107.1139678999898,110.11349009998958,110.11349009998958,110.52981670000008,113.52933459999622,,001,2023-05-26_11h50.32.976,REPSWITCH_1,2022.2.5,59.825107272945054,
,,,,,,,,,,,,,114.02930139997625,115.22856239997782,115.22856239997782,115.22856239997782,,,,,,,,,,,
