image,correctAns,respModal,frameColour,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygon.started,textInput.started,keyResp.started,micResp.started,micResp.stopped,keyResp.keys,keyResp.rt,subjResponse,micResp.clip,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygon.stopped,textInput.stopped,keyResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,103.72327389998827,105.72066469999845,106.22095399998943,106.22095399998943,space,2.203923399996711,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-18_10h30.12.117,REPSWITCH_1,2022.2.5,59.84275717218746,
REPSWITCH1/PICTURE_1.png,ratón,speak,yellow,nontarget,2,NT,Stim1_Set1,0,0,0,0,,113.46709739998914,,,,,109.3350070999877,109.3350070999877,110.63595960001112,110.63595960001112,110.63595960001112,110.63595960001112,110.63595960001112,110.63595960001112,110.63595960001112,0.08837830001721159,2.24956320002093,"['m', 'o', 'u', 's', 'e']","[1.3248896000150125, 1.4620949999953154, 1.6302773999923375, 1.7102626000123564, 1.8649685000127647]",mouse,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-18_10h30.12.117_micResp_recorded\recording_micResp_2023-05-18_10h30.46.021.wav,,,,,,,,001,2023-05-18_10h30.12.117,REPSWITCH_1,2022.2.5,59.84275717218746,
REPSWITCH1/PICTURE_1.png,ratón,speak,yellow,repeat,2,T,Stim1_Set1,0,1,1,1,,118.06724020000547,,,,,118.56734109998797,113.90206120000221,115.069255600014,115.069255600014,115.069255600014,115.069255600014,115.069255600014,115.069255600014,115.069255600014,0.002957000018795952,2.000301899999613,None,,,D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-18_10h30.12.117_micResp_recorded\recording_micResp_2023-05-18_10h30.50.640.wav,118.06724020000547,118.06724020000547,118.06724020000547,118.06724020000547,118.06724020000547,118.06724020000547,,001,2023-05-18_10h30.12.117,REPSWITCH_1,2022.2.5,59.84275717218746,
,,,,,,,,,,,,,,,,,,,118.56734109998797,119.65020629999344,119.65020629999344,119.65020629999344,119.65020629999344,119.65020629999344,119.65020629999344,119.65020629999344,0.023119499994209036,,,,,,,,,,,,,,,,,,
