image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank2.started,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,polygonWhiteFam.stopped,imageFam.stopped,textBlank3.started,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,15,15,2,,,,,,,,119.17088969999998,120.27113199999997,120.27113199999997,120.27113199999997,0.0049283000000741595,123.76435170000002,126.29988800000012,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h31.18.768.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_673.png,tenedor,0,16,16,44,,,,,,,,126.29988800000012,127.3460397,127.3460397,127.3460397,0.0037260000001424487,130.83933839999997,133.33872210000015,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h31.25.844.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,17,17,19,,,,,,,,133.3748369000001,134.39933380000014,134.39933380000014,134.39933380000014,0.004970799999910014,137.89264490000016,140.39228650000007,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h31.32.899.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,18,18,4,,,,,,,,140.4311652,141.5164691000001,141.5164691000001,141.5164691000001,0.004898400000001857,145.0098223000001,147.50904950000006,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h31.40.016.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,19,19,21,,,,,,,,147.54789310000012,148.61424909999994,148.61424909999994,148.61424909999994,0.0045328999999583175,152.10755540000002,154.60679850000008,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h31.47.113.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,20,20,26,,,,,,,,154.6456763,155.79075380000006,155.79075380000006,155.79075380000006,0.005114899999853151,159.28357390000008,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h31.54.283.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_663.png,columna,0,21,21,43,,,,,,,,161.81574970000008,162.8597049000001,162.8597049000001,162.8597049000001,0.003787800000054631,166.35300570000015,168.89192370000012,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.01.358.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,22,22,3,,,,,,,,168.89192370000012,169.92750130000002,169.92750130000002,169.92750130000002,0.005314699999871664,173.42300360000002,175.95639949999997,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.08.424.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,23,23,8,,,,,,,,175.95639949999997,177.02184799999998,177.02184799999998,177.02184799999998,0.005132499999945139,180.51512850000006,183.0574702,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.15.521.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_570.png,toro,0,24,24,34,,,,,,,,183.0574702,184.10565980000013,184.10565980000013,184.10565980000013,0.004786299999977928,187.59901849999994,190.13858240000002,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.22.604.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
