image,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,imageObject.started,textboxType.started,textboxType.text,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,17.443572400006815,19.433627400008845,19.93403690001287,19.93403690001287,space,0.6696882999822265,,,,,,,001,2023-04-25_15h34.25.291,REPSWITCH_1,2022.2.5,60.05187280597808,
REPSWITCH1/PICTURE_1.png,ratón,speak,nontarget,2,NT,Stim1_Set1,0,0,0,0,,25.53046780001023,,,,,21.247520000004442,22.780194100007066,22.780194100007066,22.780194100007066,RratonEPSWITCH1/PICTURE_1.png,,001,2023-04-25_15h34.25.291,REPSWITCH_1,2022.2.5,60.05187280597808,
REPSWITCH1/PICTURE_1.png,ratón,speak,repeat,2,T,Stim1_Set1,0,1,1,1,,30.147786200002884,,,,,25.99896609999996,27.163828400007333,27.163828400007333,27.163828400007333,REPSWITCH1/PICTURE_1.png,,001,2023-04-25_15h34.25.291,REPSWITCH_1,2022.2.5,60.05187280597808,
,,,,,,,,,,,,,,,,,30.647449100011727,32.030086600003415,32.030086600003415,32.030086600003415,,,,,,,,
