image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,16.22576040000422,18.235585199989146,18.735630499984836,18.735630499984836,space,15.466416200011736,,,,,,,,,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,0,0,0,,43.53024409999489,,,,,34.78004799998598,34.78004799998598,36.313912499987055,36.313912499987055,36.313912499987055,40.31431019998854,40.31431019998854,40.528948799998034,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,1,1,1,,52.578309100004844,,,,,,44.03025529999286,45.1957024000003,45.1957024000003,45.1957024000003,49.194947599986335,49.194947599986335,49.57708289998118,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,2,2,2,,61.643012899992755,,,,,,53.07855589999235,54.34316839999519,54.34316839999519,54.34316839999519,58.34297249998781,58.34297249998781,58.642278499988606,61.643012899992755,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,3,3,3,,70.74107049999293,,,,,,62.15842940000584,63.390767000004416,63.390767000004416,63.390767000004416,67.39106039999751,67.39106039999751,67.73948580000433,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,4,4,4,,79.8372626999917,,,,,,71.24002679999103,72.45552689998294,72.45552689998294,72.45552689998294,76.45622249998269,76.45622249998269,76.83688039999106,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,5,5,5,,89.00223779998487,,,,,89.50217490000068,80.33695569998235,81.5366459999932,81.5366459999932,81.5366459999932,85.5373574999976,85.5373574999976,86.00171939999564,89.00223779998487,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,6,6,6,,98.1669014999934,,,,,,89.50217490000068,90.7011860999919,90.7011860999919,90.7011860999919,94.70144010000513,94.70144010000513,95.16585620000842,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,7,7,7,,107.28142590000061,,,,,,98.66718540000147,99.79883799998788,99.79883799998788,99.79883799998788,103.7989716999873,103.7989716999873,104.2803217000037,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,8,8,8,,116.31212980000419,,,,,,107.7811354000005,108.94658759998856,108.94658759998856,108.94658759998856,112.94711249999818,112.94711249999818,113.31137189999572,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,9,9,9,,125.62673099999665,,,,,,116.8128546999942,118.14437910000561,118.14437910000561,118.14437910000561,122.1442476999946,122.1442476999946,122.62591119998251,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,10,10,10,,134.85809110000264,,,,,,126.12705589999678,127.47552129998803,127.47552129998803,127.47552129998803,131.4766713999852,131.4766713999852,131.85712739999872,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,11,11,11,,144.0224106000096,,,,,,135.35830110000097,136.5732264999824,136.5732264999824,136.5732264999824,140.57421610000893,140.57421610000893,141.0216387999826,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,12,12,12,,153.15352859999985,,,,,,144.52325669999118,145.82104199999594,145.82104199999594,145.82104199999594,149.8250748999999,149.8250748999999,150.15290059999097,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,13,13,13,,162.2854229999939,,,,,,153.65347950000432,154.8021768000035,154.8021768000035,154.8021768000035,158.80222769998363,158.80222769998363,159.28434379998362,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,14,14,14,,171.36815349999233,,,,,,162.78475530000287,163.90014979999978,163.90014979999978,163.90014979999978,167.90009469998768,167.90009469998768,168.36502199998358,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_354.png,cabra,0,15,15,15,,180.4151268999849,,,,,,171.86630039999727,172.96496700000716,172.96496700000716,172.96496700000716,176.96535019998555,176.96535019998555,177.41288260000874,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_377.png,babero,0,16,16,16,,189.5272408000019,,,,,,180.9143066999968,182.0633123999869,182.0633123999869,182.0633123999869,186.06284159998177,186.06284159998177,186.5272413000057,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,17,17,17,,198.77960380000877,,,,,,190.02737289998913,191.39304269998684,191.39304269998684,191.39304269998684,195.39357359998394,195.39357359998394,195.77513960000942,,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
REPSWITCH1_Fam/PICTURE_411.png,puño,0,18,18,18,,208.0403895000054,,,,,208.54068360000383,199.27927909998107,200.59139960000175,200.59139960000175,200.59139960000175,204.59454759999062,204.59454759999062,205.03975579998223,208.0403895000054,,001,2023-05-26_12h50.21.137,REPSWITCH_1,2022.2.5,59.82618101343004,
,,,,,,,,,,,,,208.54068360000383,209.72215980000328,209.72215980000328,209.72215980000328,,,,,,,,,,,
