image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,polygonWhiteFam.stopped,imageFam.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,10,10,15,,100.38080600000103,,,,,100.88246700000309,93.1176059999998,94.43351370000164,94.43351370000164,94.43351370000164,0.13185109999903943,97.81591289999778,100.38080600000103,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h40.28.329.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,11,11,16,,107.97918159999244,,,,,108.48080639999534,100.88246700000309,101.94856019999133,101.94856019999133,101.94856019999133,0.049270900010014884,105.41427300000214,107.97918159999244,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h40.35.926.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,12,12,24,,115.7115383999917,,,,,,108.48080639999534,109.72999269999855,109.72999269999855,109.72999269999855,0.15076190000399947,113.09550349999336,115.7115383999917,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h40.43.608.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,13,13,1,,123.35871220000263,,,,,,116.21209709999675,117.31118089999654,117.31118089999654,117.31118089999654,0.04989850000129081,120.77683639999304,123.35871220000263,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h40.51.289.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,14,14,12,,131.12361120000423,,,,,131.62582060000568,123.8604262000008,125.17604920000304,125.17604920000304,125.17604920000304,0.13218760000017937,128.55856839999615,131.12361120000423,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h40.59.072.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_446.png,cerdo,0,15,15,20,,138.80503289999615,,,,,,131.62582060000568,132.85768289999396,132.85768289999396,132.85768289999396,0.13077059999341145,136.2398882999987,138.80503289999615,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.06.752.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,16,16,14,,146.62004850000085,,,,,147.12197579999338,139.3066020999977,140.7057621999993,140.7057621999993,140.7057621999993,0.15360750000400003,144.05475399999705,146.62004850000085,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.14.570.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_498.png,taza,0,17,17,23,,154.2509457999986,,,,,154.75269649999973,147.12197579999338,148.22066089999862,148.22066089999862,148.22066089999862,0.02669550001155585,151.68710450000071,154.18698569999833,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.22.208.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,18,18,17,,162.14953799999785,,,,,162.65123249999306,154.75269649999973,156.10151330000372,156.10151330000372,156.10151330000372,0.026006599990068935,159.56763849999697,162.06858680000005,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.30.091.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,19,19,11,,169.9972695000033,,,,,170.49895829999878,162.65123249999306,163.9493705999921,163.9493705999921,163.9493705999921,0.017474299995228648,167.43384810000134,169.93311670000548,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.37.953.wav,169.9972695000033,169.9972695000033,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
